Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,1.325,-3.899999999999999,-0.6985791118119491,0.002793775908646353,68.0,102139.16666666667,3.8833333333333333,215.83333333333334,-13.53154604489373,257.6666666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,5.25,3.0,8325.383249442706,1.290819970045371,36.38533567690417,-68.65523502068294,166.31842991967915,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.126014384758967 
 01/01  02:00:00,0.08333333333333333,-4.191666666666666,-1.4881784720609816,0.0027421823307461624,73.0,102265.83333333333,4.125,225.0,-16.956488997289284,244.25,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,4.0,3.0,6942.196162788309,1.2983880241628738,62.02002945409614,-60.05141848952414,151.31842991967915,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.126014384758967 
 01/01  03:00:00,-0.05833333333333333,-4.3999999999999995,-1.615641341309529,0.0027122537039026818,73.0,102264.16666666667,3.65,212.16666666666666,-17.284607600902348,243.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,4.583333333333333,3.0,6724.274332149408,1.2991025710516562,77.57835262472324,-49.4260235178902,136.31842991967915,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.126014384758967 
 01/01  04:00:00,-0.625,-4.3999999999999995,-2.005764155683185,0.002671096929810707,75.33333333333333,102242.5,3.0500000000000003,203.0,-17.284607600902348,243.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,5.0,3.0,6049.132414626855,1.3016148288540113,88.78533961043688,-38.18487181884934,121.31842991967915,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.126014384758967 
 01/01  05:00:00,-1.2916666666666667,-4.3999999999999995,-2.469345209251026,0.0026229954921397187,78.16666666666667,102224.16666666667,2.3333333333333335,215.83333333333334,-18.05669982191443,240.08333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,5.0,2.4166666666666665,5255.740974234087,1.3046724939486252,98.22044463776399,-26.88075707873021,106.31842991967913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.126014384758967 
 01/01  06:00:00,-1.8499999999999999,-4.691666666666666,-2.918396634577867,0.002549269556918491,79.58333333333333,102214.16666666667,2.1166666666666667,225.0,-19.395385950645974,235.08333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,5.0,1.4166666666666667,4507.857778113267,1.3073841076733077,107.11150724457639,-15.827793393437034,91.31842991967913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.126014384758967 
 01/01  07:00:00,-1.6333333333333335,-4.608333333333334,-2.7229634721626894,0.00259074785657688,79.41666666666667,102210.0,2.025,225.0,-20.117249677595897,232.41666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,4.416666666666667,1.5833333333333333,4830.216981866295,1.3062012919679784,116.19089608428588,-5.295950105877897,76.31842991967913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.126014384758967 
 01/01  08:00:00,-0.7166666666666667,-4.108333333333333,-1.9487617419534125,0.0027406010360126747,77.83333333333333,102210.0,1.9000000000000001,225.0,-19.440375154425258,234.91666666666666,32.75,27.5,0.0,0.0,6.969873549314169,18.0,13.0,16.0,4.583333333333333,2.0,6130.315928122755,1.3014945341383537,126.00570897298668,4.409094617640039,61.318429919679126,0.0,1.0,3762.9454954536595,120.54242094444324,1284.1182173695167,115.59649077994573,46.63572300429298,1.217389244307573,0.2744009856869396,0.0,1.0,10.126014384758967 
 01/01  09:00:00,1.1583333333333334,-3.608333333333333,-0.6427203206310942,0.002889190512373874,71.16666666666667,102204.16666666667,2.0749999999999997,212.16666666666666,-17.946458387685585,240.5,80.91666666666667,11.833333333333334,0.0,0.0,16.677613111232134,18.0,13.0,16.0,3.25,2.0,8395.896008684453,1.2922246633749424,137.0109101999648,12.899205935052814,46.318429919679126,0.0,1.0,9076.556730103424,117.3690179914765,577.882519940577,112.1762164400274,46.64448513654773,1.0425712049837388,0.25637105332643767,0.0,1.0,10.126014384758967 
 01/01  10:00:00,1.7916666666666667,-2.875,-0.10869606922886753,0.0029979354383333923,70.5,102194.16666666667,1.675,255.5,-16.369372084160347,246.5,108.58333333333333,2.3333333333333326,0.0,0.0,21.87428034807421,18.0,13.0,16.0,3.75,2.5833333333333335,9307.968816786642,1.2888892148844275,149.52626235591055,19.68265587862057,31.31842991967913,0.0,1.0,12389.080224723968,46.42760036870269,135.93359126713236,114.16928172925181,57.307218668681344,1.0072395171646091,0.22720016666197154,0.0,1.0,10.126014384758967 
