Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,6.925,-2.533333333333333,3.02646335824014,0.0031452017264482577,51.0,100785.83333333333,1.7416666666666665,293.0,-16.624375251343285,245.58333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.0,0.0,14865.030436243282,1.2475581609500017,44.23654207240366,-72.92050933814066,166.98842991967916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.588890793865056 
 01/01  02:00:00,5.125,-2.6999999999999997,2.0011443724096725,0.0031175755042203122,57.166666666666664,100878.33333333333,1.4916666666666665,305.8333333333333,-18.99072805962791,236.58333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.0,0.0,12976.373771513774,1.2568123719072954,69.97003219779424,-62.65391166030984,151.98842991967913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.588890793865056 
 01/01  03:00:00,4.941666666666666,-2.233333333333334,2.036786474136567,0.003218473186350534,59.75,100852.5,1.875,315.0,-19.035502050272072,236.41666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.0,0.0,13044.356439471958,1.2571158728544918,83.25379263764786,-50.815008372205206,136.98842991967916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.588890793865056 
 01/01  04:00:00,5.425,-0.7916666666666666,2.77962350744833,0.0035671258947492413,63.916666666666664,100787.5,1.7083333333333333,288.75,-18.522534232473788,238.33333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.0,0.0,14408.467467745204,1.2534286974940285,92.53567108034088,-38.65147751007594,121.98842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.588890793865056 
 01/01  05:00:00,5.9750000000000005,0.2333333333333333,3.429163850865811,0.003828892885538183,66.0,100715.0,1.5,270.0,-17.460808241548552,242.33333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.0,0.0,15622.282469758526,1.2495345976645296,100.45294997071129,-26.553533248948508,106.98842991967912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.588890793865056 
 01/01  06:00:00,4.991666666666666,0.39999999999999997,2.973177678989908,0.0038911739632418903,71.83333333333333,100660.83333333333,1.4416666666666667,191.25,-17.32862336303353,242.83333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.0,0.0,14783.517966653022,1.2531572037720238,108.10749350531695,-14.750697024848513,91.98842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.588890793865056 
 01/01  07:00:00,4.958333333333334,0.8083333333333332,3.1241637535354574,0.004018095818422991,74.25,100634.16666666667,1.925,187.5,-17.702453505832263,241.41666666666666,3.4166666666666665,3.9166666666666665,0.0,0.0,0.6977658863667341,18.0,13.0,16.0,0.0,0.0,15068.424085062128,1.2527194112057438,116.15798812748609,-3.466695697675372,76.98842991967915,0.0,0.0,397.54084285249934,1.2643834717162996,68.62498389709563,19.392236236707287,2.920212080727474,0.20570237727139373,0.06309066824625757,0.0,1.0,14.588890793865056 
 01/01  08:00:00,6.608333333333334,0.8666666666666667,4.082218851229203,0.004071695517798675,67.16666666666667,100630.0,1.6583333333333332,185.91666666666666,-16.891836518093196,244.5,43.583333333333336,132.24999999999997,0.0,0.0,12.927244930353481,18.0,13.0,16.0,0.0,0.0,16873.381478830383,1.2451749151785636,125.14092087987774,7.015592770869137,61.98842991967914,0.0,0.0,5607.835703009428,1347.1385191498396,8154.515663045878,126.63245404405238,52.596703539202196,1.6689532056652931,0.25032263015021106,0.0,1.0,14.588890793865056 
 01/01  09:00:00,9.85,1.6333333333333335,6.059064028811021,0.004320409435229195,57.166666666666664,100630.0,3.475,197.08333333333334,-14.441292904727277,254.0,71.5,574.25,0.0,0.0,47.30102707001115,18.0,13.0,16.0,0.0,0.0,20782.161153831912,1.2304416409964822,135.56473926668548,16.30428400095013,46.98842991967914,0.0,0.0,10591.751749961919,14103.336171319495,48690.977324150874,148.0268414622171,83.86647755365301,3.525560822669967,0.18300155176567998,0.0,1.0,14.588890793865056 
 01/01  10:00:00,12.066666666666668,1.95,7.240252406272961,0.004391327828687871,50.083333333333336,100606.66666666667,5.916666666666667,225.0,-11.72420453879898,264.8333333333333,65.08333333333333,791.4166666666666,0.0,0.0,77.19670353362034,18.0,13.0,16.0,0.0,0.0,23205.995172419436,1.2204354004793503,147.85859102089344,23.86099947798321,31.988429919679145,0.0,0.0,9941.720662691605,30913.918616441206,76158.81773105926,152.7689816799806,96.17014204147084,5.693405836546564,0.11492553207136343,0.0,1.0,14.588890793865056 
