Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,1.741666666666667,0.7916666666666666,1.396582888920853,0.004003666284448274,94.25,102296.66666666667,2.125,174.66666666666666,-6.292261678849106,287.5833333333333,0.0,0.0,3.4722222222222224e-7,0.00125,0.0,18.0,13.0,16.0,8.416666666666666,5.25,11776.31064681474,1.2883550495445253,32.426242121847245,-74.48243289001908,170.86842991967913,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.078091238347143 
 01/01  02:00:00,0.525,-0.5,0.15890935471200304,0.003628556700422312,93.58333333333333,102444.16666666667,1.4416666666666667,203.0,-9.368707932375685,274.5,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,7.416666666666667,3.4166666666666665,9605.886873063124,1.2967135223032524,64.20107289904182,-65.36191622529752,155.86842991967913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.078091238347143 
 01/01  03:00:00,0.2833333333333333,-0.5,-0.03376687921209096,0.003600085124407643,94.58333333333333,102542.5,1.2833333333333334,203.0,-11.68432470774699,265.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,5.833333333333333,2.4166666666666665,9290.198255091042,1.2991643541075446,79.75337656510305,-53.853642853227,140.86842991967913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.078091238347143 
 01/01  04:00:00,-0.09166666666666663,-0.5,-0.30848872105722974,0.003555424079561137,96.16666666666667,102603.33333333333,1.375,215.83333333333334,-15.297893532618597,250.66666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,3.8333333333333335,1.4166666666666667,8799.191434394856,1.3018135930803603,89.91595095696913,-41.80328764949815,125.86842991967914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.078091238347143 
 01/01  05:00:00,-0.8833333333333333,-1.1416666666666666,-1.0140209572104795,0.003378411425818765,97.58333333333333,102643.33333333333,1.5583333333333333,212.16666666666666,-19.67496018552931,234.08333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.8333333333333333,1.0,7556.08536449933,1.3064788627800026,98.20179205651563,-29.729652356944328,110.86842991967912,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.078091238347143 
 01/01  06:00:00,-1.6500000000000001,-2.3583333333333334,-1.9661221421549475,0.003048069923658215,93.91666666666667,102700.83333333333,2.0083333333333333,189.58333333333334,-23.240276721789794,221.16666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.5833333333333333,0.4166666666666667,5955.739402089542,1.3115940431888522,105.96961527316746,-17.890588394044702,95.86842991967914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.078091238347143 
 01/01  07:00:00,-1.55,-3.1916666666666664,-2.1776858093326728,0.002879504417732737,88.08333333333333,102730.0,1.8333333333333333,193.41666666666666,-23.59124468524573,219.91666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.0,0.0,5635.66707780751,1.3118368767758053,113.95925712960018,-6.508352654670926,80.86842991967914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.078091238347143 
 01/01  08:00:00,-0.9500000000000001,-3.108333333333333,-1.7753425639314422,0.002915622275007097,84.83333333333333,102730.0,1.9083333333333332,203.0,-22.184652589559942,224.91666666666666,34.61111111111111,111.58333333333333,0.0,0.0,8.829487447951962,18.0,13.0,16.0,2.0,0.5833333333333334,6332.056306189198,1.3088696257158396,122.7276227670858,4.15215704558148,65.86842991967914,0.0,1.0,4293.362550614133,429.476196625147,4363.562519424263,103.8519471074589,32.99593396795587,1.4904929590358897,0.2660456281320009,0.0,1.0,13.078091238347143 
 01/01  09:00:00,-0.2916666666666667,-2.6666666666666665,-1.2590021023221045,0.0030067096427311047,82.83333333333333,102730.0,1.6166666666666665,203.0,-20.3238835978382,231.66666666666666,87.08333333333333,75.0,0.0,0.0,20.783000325124778,18.0,13.0,16.0,3.1666666666666665,1.0,7224.902570063704,1.3055215781531944,132.78630827277587,13.731510519285251,50.86842991967915,0.0,1.0,10056.224301276861,1333.1819102861016,5850.957308451066,115.72856670679137,79.93574005477734,1.2586281461054827,0.25896990798407266,0.0,1.0,13.078091238347143 
 01/01  10:00:00,0.35000000000000003,-1.5083333333333337,-0.4725453054318747,0.0032861502978620977,86.08333333333333,102724.16666666667,1.2583333333333333,189.58333333333334,-18.01431886219603,240.25,132.08333333333334,80.58333333333333,0.0,0.0,32.8268655680756,18.0,13.0,16.0,4.0,2.75,8572.334070452283,1.3018026361601525,144.59025608775366,21.734165365529307,35.86842991967914,0.0,1.0,15265.454369074932,2984.2880185765644,7485.713318650044,115.31877717172478,82.1147950923155,1.2091911054109608,0.25228595236557133,0.0,1.0,13.078091238347143 
