Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,9.091666666666667,-0.008333333333333378,5.027755423142214,0.003740938160995995,52.583333333333336,101780.0,1.8833333333333337,187.5,-3.751841029167688,299.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.3333333333333335,1.1666666666666667,18555.112204639903,1.2489926341051236,20.430871464517008,-78.54053797021923,176.70842991967916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.547795327421836 
 01/01  02:00:00,10.533333333333333,1.0250000000000001,6.108801743728666,0.004014694606407579,51.25,101683.33333333333,2.15,225.0,2.288626291940981,326.3333333333333,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,4.0,1.4166666666666667,20703.42892688386,1.24090895601751,60.54279005978248,-70.72206284267666,161.70842991967913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.547795327421836 
 01/01  03:00:00,10.758333333333333,0.8416666666666667,6.172602469872875,0.003978591472899091,50.0,101620.83333333333,2.341666666666667,238.41666666666666,2.0243034185957924,325.0833333333333,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,3.4166666666666665,1.0,20840.19131767941,1.2392346335612905,78.69613380176914,-59.01822434497447,146.70842991967913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.547795327421836 
 01/01  04:00:00,10.683333333333335,0.21666666666666667,5.936618616562858,0.0038211816082277575,48.25,101576.66666666667,2.475,260.8333333333333,-1.7153108170705405,307.8333333333333,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,3.0,1.0,20367.4831313224,1.2393350267429204,88.93379830784494,-46.619169554683374,131.70842991967913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.547795327421836 
 01/01  05:00:00,10.483333333333333,0.20833333333333334,5.819088315341876,0.003811672021993087,48.75,101507.5,2.4250000000000003,270.0,-4.385684383775981,295.8333333333333,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.4166666666666665,1.0,20141.11185949114,1.239383207312719,96.78159746090564,-34.15829507116394,116.70842991967913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.547795327421836 
 01/01  06:00:00,10.049999999999999,0.5,5.7474487877702,0.00393329355520178,51.75,101452.5,1.7166666666666668,257.1666666666667,-3.914234814721832,297.9166666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.0,1.0,20009.050263679623,1.2403663658968385,103.94100499702297,-21.881765199124278,101.70842991967913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.547795327421836 
 01/01  07:00:00,10.208333333333334,0.2666666666666667,5.775878356184587,0.003890506774367076,50.666666666666664,101475.0,1.5333333333333332,260.8333333333333,-0.9946613507413437,311.0833333333333,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.0,1.0,20061.48146508477,1.2400330451365988,111.21424783368523,-9.982003356459858,86.70842991967913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.547795327421836 
 01/01  08:00:00,10.325000000000001,-0.075,5.657075773604375,0.0037445583948021027,48.416666666666664,101540.83333333333,1.7583333333333335,270.0,1.1029815738197708,320.75,8.666666666666666,0.0,0.0,0.0,1.7333333333333332,18.0,13.0,16.0,2.5833333333333335,1.0,19811.767692775273,1.2406159625547544,119.16392864221734,1.315763977901569,71.70842991967913,0.0,0.0,1001.8515490574719,0.0,0.0,77.11290614242994,0.0,0.66666523622427,0.08677436925111794,0.0,1.0,15.547795327421836 
 01/01  09:00:00,10.375,-0.024999999999999998,5.6589756292170525,0.003722130418203013,48.0,101605.0,1.6833333333333333,270.0,1.3699733062306336,322.0,40.666666666666664,0.0,0.0,0.0,8.133333333333333,18.0,13.0,16.0,4.166666666666667,1.0,19805.83040233967,1.2412253321846756,128.31382666603716,11.700789907979273,56.70842991967914,0.0,0.0,4754.117827175455,0.0,0.0,116.82103588391196,18.020635956409535,0.9999992934833534,0.13914178516735523,0.0,1.0,15.547795327421836 
 01/01  10:00:00,10.733333333333334,0.5666666666666667,6.070215701226313,0.0039049519938887146,49.166666666666664,101641.66666666667,1.95,270.0,0.9960388974519958,320.25,81.33333333333333,0.0,0.0,0.0,16.26666666666667,18.0,13.0,16.0,3.8333333333333335,1.5833333333333333,20629.263647930395,1.2397438979643975,139.18970846552034,20.725795394370575,41.70842991967914,0.0,0.0,9536.658992827464,0.0,0.0,117.28523579145995,50.71764453046759,0.9999995576816131,0.16188556836584264,0.0,1.0,15.547795327421836 
 01/01  11:00:00,11.25,0.43333333333333335,6.3436138880845805,0.003917240450122567,47.666666666666664,101632.5,2.5500000000000003,270.0,1.1029815738197708,320.75,127.25,0.0,0.0,0.0,25.450000000000003,18.0,13.0,16.0,2.4166666666666665,1.4166666666666667,21183.139700490203,1.2373559784767487,152.20103336307108,27.77262962135055,26.708429919679144,0.0,0.0,14887.71353885455,0.0,0.0,116.98591462504511,65.34956255389885,0.9999996625699109,0.1944067899967357,0.0,1.0,15.547795327421836 
 01/01  12:00:00,11.558333333333332,1.0916666666666666,6.724046940126828,0.00410749740467886,48.916666666666664,101579.16666666667,2.6833333333333336,270.0,2.1122195443197618,325.5,140.16666666666666,0.49999999999999994,0.0,0.0,28.087644838231757,18.0,13.0,16.0,2.5833333333333335,1.5833333333333333,21975.14222884772,1.234991636322878,167.3021310681195,32.104001792012355,11.708429919679142,0.0,0.0,16546.81020832172,18.903045422336717,34.80219621094351,118.07196687816092,68.0375752086496,1.0016320919309558,0.18770217399715164,0.0,1.0,15.547795327421836 
 01/01  13:00:00,11.600000000000001,1.9749999999999999,7.029641359314617,0.004347237600898723,51.583333333333336,101520.83333333333,3.0666666666666664,283.4166666666667,3.2505400303253302,330.9166666666667,187.41666666666666,20.916666666666668,0.0,0.0,39.75208656402087,18.0,13.0,16.0,3.0,2.0,22622.067454714663,1.2336292809180618,183.6048242991218,33.096682200694794,-3.2915700803208576,0.0,0.0,21641.86350026726,1035.4048974589703,1910.1583298802743,115.58258842478494,81.06905572667637,1.0507541692758218,0.24463069568294563,0.0,1.0,15.547795327421836 
 01/01  14:00:00,12.008333333333333,1.1666666666666667,6.986180617486684,0.0041459629526422485,47.916666666666664,101505.83333333333,3.6333333333333333,293.0,0.5902037573654392,318.4166666666667,222.25,179.08333333333334,0.0,0.0,62.327782554387454,18.0,13.0,16.0,2.4166666666666665,2.0,22527.7640923506,1.2320771630418144,199.5476204050026,30.584164839300215,-18.291570080320856,0.0,0.0,25555.69124682393,8689.264848885376,17409.904117395086,115.12506897677126,97.01230061924531,1.3807126077215015,0.31083223793709747,0.0,1.0,15.547795327421836 
 01/01  15:00:00,12.241666666666667,0.2666666666666667,6.7456060970305955,0.0038508843486437963,43.833333333333336,101521.66666666667,3.4499999999999997,279.5833333333333,-6.4466299239412495,287.0,146.41666666666666,520.4166666666666,0.0,0.0,72.97360499218391,18.0,13.0,16.0,2.0,2.0,22019.383307290136,1.2318419782430368,213.78529710109646,24.969739717887013,-33.29157008032086,0.0,0.0,19010.955751656078,20334.175534508187,48386.73123672758,130.0726736285594,93.0664581876684,2.431708520792458,0.24581631799870926,0.0,1.0,15.547795327421836 
 01/01  16:00:00,11.966666666666669,-1.4749999999999999,6.001415210532783,0.003355207338902882,38.916666666666664,101553.33333333333,2.966666666666667,270.0,-10.394993828595167,270.25,99.75,445.5833333333333,0.0,0.0,46.594076772003156,18.0,13.0,16.0,0.8333333333333334,0.8333333333333334,20490.437601324622,1.2343929236056017,225.8277811447622,16.968005975287394,-48.29157008032086,0.0,0.0,13235.172782657077,11298.266993297033,37535.05389117613,132.72018575065496,83.44266659124503,2.4146897376375294,0.24221226665544449,0.0,1.0,15.547795327421836 
