Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,1.2000000000000004,-4.383333333333334,-0.7958084718012565,0.002840483727872174,69.83333333333333,100786.66666666667,1.7,221.75,-19.736030578369878,233.83333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.75,0.5833333333333334,8315.385002654495,1.2742378446715263,40.76745374277036,-71.15677381277033,166.61842991967913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.05340154627681 
 01/01  02:00:00,-0.7416666666666667,-2.3000000000000003,-1.3174129764266598,0.0031889803906896257,89.58333333333333,100955.83333333333,0.7583333333333333,203.0,-18.299839132752584,239.16666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,3.0,1.0,7225.7965611264735,1.2847190257712569,66.59174576339515,-61.58237877562227,151.61842991967913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.05340154627681 
 01/01  03:00:00,-0.7583333333333333,-2.066666666666667,-1.2783040108998667,0.0032243325374523998,90.58333333333333,100828.33333333333,0.8583333333333334,176.75,-18.54455669008421,238.25,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,3.0,0.4166666666666667,7297.312993448472,1.2831023591553607,80.91320212136745,-50.22426071750723,136.61842991967913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.05340154627681 
 01/01  04:00:00,-0.9166666666666666,-1.9000000000000001,-1.3777694279871036,0.0032222732917238403,91.58333333333333,100676.66666666667,0.7833333333333333,170.83333333333334,-19.824141478609366,233.5,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.4166666666666665,0.0,7132.118355740943,1.2819216409390657,91.02200801755971,-38.42207719209879,121.61842991967914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.05340154627681 
 01/01  05:00:00,-1.0,-1.9000000000000001,-1.3725415423702838,0.0032602422401385735,93.16666666666667,100534.16666666667,0.6416666666666667,140.91666666666666,-20.663367329523293,230.41666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.5833333333333335,0.0,7142.769600739858,1.2804214775842881,99.57894519820962,-26.636923234980998,106.61842991967912,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.05340154627681 
 01/01  06:00:00,-0.8250000000000001,-1.9000000000000001,-1.252105961273063,0.00327953284719741,92.25,100404.16666666667,1.1833333333333333,218.0,-21.42066761078095,227.66666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.25,0.0,7367.891327503782,1.2779048407485236,107.75320919013116,-15.133082283182672,91.61842991967914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.05340154627681 
 01/01  07:00:00,-0.8166666666666665,-1.9000000000000001,-1.2485728946473698,0.0032808809416724743,92.16666666666667,100344.16666666667,1.1916666666666669,305.8333333333333,-23.19180700332906,221.33333333333334,2.5833333333333335,25.833333333333332,0.0,0.0,0.5381732261809606,18.0,13.0,16.0,0.0,0.0,7379.685684486186,1.2770991321458407,116.23937101490695,-4.1534777737830195,76.61842991967914,0.0,1.0,356.22317690283995,1.6860060950061613,405.0406800341794,22.982140445344513,2.6131656776398673,0.49981765471721246,0.061992062040022396,0.0,1.0,12.05340154627681 
 01/01  08:00:00,0.6749999999999999,-1.6666666666666667,-0.27827816425217133,0.003362691777783696,84.25,100340.0,1.3666666666666665,275.9166666666667,-23.308021346892854,220.91666666666666,32.083333333333336,342.5,0.0,0.0,14.486745401065038,18.0,13.0,16.0,0.0,0.0,9092.405153873275,1.2699332818157294,125.58053783165703,6.0086575107262155,61.61842991967914,0.0,1.0,4860.98880735118,2511.2579387475744,19619.82678597292,150.72772087901004,53.47986866919621,3.488366449342108,0.21380582630637893,0.0,1.0,12.05340154627681 
 01/01  09:00:00,4.191666666666666,-0.8583333333333334,2.082654123288569,0.0035826948589070596,69.83333333333333,100363.33333333333,1.6416666666666666,274.25,-20.46516333135725,231.16666666666666,54.75,656.5,0.0,0.0,45.33002701975323,18.0,13.0,16.0,0.0,0.0,13200.168259725471,1.2536935186559648,136.26272658912157,14.961284695199694,46.61842991967914,0.0,1.0,8479.174018684547,14669.807624320974,55500.76623090056,154.83501850106745,83.99063115180276,4.6033422606335215,0.1505351535869172,0.0,1.0,12.05340154627681 
 01/01  10:00:00,6.716666666666666,-1.2750000000000001,3.3502215535579247,0.00348565873288272,57.0,100374.16666666667,3.7583333333333333,305.8333333333333,-17.178967278677387,243.41666666666666,66.33333333333333,795.3333333333334,0.0,0.0,73.35902391662417,18.0,13.0,16.0,0.5833333333333334,0.5833333333333334,15510.035896835745,1.24268949924072,148.66506963366095,22.183693391684262,31.61842991967914,0.0,1.0,10109.042656320931,28438.088192057607,75216.96397877664,152.83164625532902,94.55334440133221,5.4801011567736255,0.1232838493146292,0.0,1.0,12.05340154627681 
 01/01  11:00:00,7.6499999999999995,-1.6666666666666667,3.678808376288737,0.0033570829552498154,51.416666666666664,100329.16666666667,4.25,315.0,-15.37617945016469,250.33333333333334,115.5,756.25,0.0,0.0,91.78857337470201,18.0,13.0,16.0,1.0,1.0,16130.636787686946,1.2382566443194878,162.85334331173274,27.05403148585931,16.61842991967914,0.0,1.0,16458.10755137052,32912.998187339275,72469.58124170231,142.8518645632148,95.83286342619208,3.7925988964287476,0.17897235416861904,0.0,1.0,12.05340154627681 
 01/01  12:00:00,7.783333333333334,-1.0916666666666666,3.9059941275085426,0.003478135060482704,52.75,100270.83333333333,4.141666666666667,302.1666666666667,-13.615684543545408,257.25,161.58333333333334,592.0000000000001,0.0,0.0,89.69552577297456,18.0,13.0,16.0,2.1666666666666665,1.5833333333333333,16569.93169347188,1.2367093250220453,178.30168361002643,28.99713610815506,1.6184299196791392,0.0,1.0,21104.38621116342,27558.027260431398,56864.917140189755,130.969670667951,96.06157265321674,2.6518231068553706,0.23564428836182427,0.0,1.0,12.05340154627681 
 01/01  13:00:00,7.116666666666667,-0.7999999999999999,3.6907475856208234,0.0035858295476548074,56.916666666666664,100255.83333333333,4.833333333333333,293.0,-11.948599986088018,263.9166666666667,203.75,334.0833333333333,0.0,0.0,72.02034226623341,18.0,13.0,16.0,2.4166666666666665,2.0,16166.484277374626,1.2392535017386777,193.88834356809912,27.736836211968022,-13.381570080320861,0.0,1.0,24015.647066138186,15115.758752385611,32297.778731289724,117.94255727211431,96.65839856058712,1.7086626195671781,0.30980208224094447,0.0,1.0,12.05340154627681 
 01/01  14:00:00,6.933333333333334,-1.7333333333333334,3.3668402838529197,0.0034153442462648135,54.916666666666664,100271.66666666667,4.4750000000000005,293.0,-11.865706505392458,264.25,183.5,118.58333333333333,0.0,0.0,46.35907355252104,18.0,13.0,16.0,2.5833333333333335,2.0,15552.46038567716,1.2405974819493095,208.41693919724105,23.455658095930314,-28.381570080320866,0.0,1.0,20905.240835900684,4560.147719926304,11188.751784903505,113.85231362874855,93.90853527120846,1.2434911509341953,0.32496012875006447,0.0,1.0,12.05340154627681 
