Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,3.7666666666666675,0.19166666666666665,2.2280323631828067,0.0037697081923975598,77.0,102285.0,1.1666666666666667,315.0,-13.258580479594874,258.6666666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,5.166666666666667,0.0,13239.113578266823,1.279254162027349,35.34451161947229,-74.77777716479515,170.32842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.836967680010313 
 01/01  02:00:00,3.775,0.075,2.2760299766336742,0.003799563792178681,77.58333333333333,102315.83333333333,0.9416666666666669,281.25,-11.989392382995106,263.75,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,6.0,0.0,13322.421506277833,1.279540023020245,66.24388664857061,-65.24107371357246,155.32842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.836967680010313 
 01/01  03:00:00,3.725,0.43333333333333335,2.3369129914337745,0.0038630123672796332,79.16666666666667,102331.66666666667,0.8416666666666667,0.0,-11.824289767533761,264.4166666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,5.416666666666667,0.0,13430.940231922476,1.2798393749088344,81.06547979955702,-53.53188231876327,140.32842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.836967680010313 
 01/01  04:00:00,3.775,0.3666666666666667,2.321364546809932,0.0038313842244135526,78.25,102334.16666666667,0.975,347.1666666666667,-11.78311986673316,264.5833333333333,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,5.583333333333333,0.5833333333333334,13402.216959502404,1.2797042083330534,90.8197812438612,-41.361101298801614,125.32842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.836967680010313 
 01/01  05:00:00,3.6666666666666665,0.6666666666666666,2.3718991932539404,0.003910752854753049,80.5,102359.16666666667,0.9833333333333334,245.83333333333334,-10.96444306662815,267.9166666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,5.416666666666667,1.0,13491.616984618397,1.2803555153021267,98.85211553210893,-29.1986630834928,110.32842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.836967680010313 
 01/01  06:00:00,3.85,1.175,2.6765004758947195,0.004054836852102275,82.41666666666667,102426.66666666667,0.7833333333333333,140.91666666666666,-10.031147634014028,271.75,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,5.583333333333333,2.75,14038.568786172129,1.2800572947280198,106.44904102723005,-17.285854206900332,95.32842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.836967680010313 
 01/01  07:00:00,3.983333333333333,1.3,2.8150921072751376,0.004098771814176232,82.58333333333333,102495.0,0.7000000000000001,125.83333333333333,-9.588272669535371,273.5833333333333,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,5.416666666666667,3.4166666666666665,14283.746020568118,1.2802049233401953,114.32199752759544,-5.8389628230388055,80.32842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.836967680010313 
 01/01  08:00:00,4.483333333333333,1.4749999999999999,3.114464726094982,0.004114793771549455,80.08333333333333,102525.83333333333,0.6416666666666667,56.25,-10.619602511918012,269.3333333333333,31.0,74.99999999999999,0.0,0.0,8.285673273734028,18.0,13.0,16.0,3.8333333333333335,2.4166666666666665,14830.183569339553,1.2782522968506156,123.01966704453103,4.877787749114776,65.32842991967914,0.0,0.0,3893.251228110441,589.2898082094215,4151.575421906057,120.46203525246608,26.020370030398123,1.387399465266132,0.22974836863259696,0.0,1.0,13.836967680010313 
 01/01  09:00:00,5.716666666666666,1.4250000000000005,3.773006892825229,0.004103327730970825,73.33333333333333,102559.16666666667,1.125,320.9166666666667,-12.155039025709868,263.0833333333333,83.33333333333333,471.6666666666667,0.0,0.0,41.2194740912318,18.0,13.0,16.0,2.4166666666666665,1.4166666666666667,16050.10690579518,1.2730370694618462,133.05711529084724,14.500850210739051,50.328429919679145,0.0,0.0,11482.088229655075,9942.009085108415,37706.07723329365,138.04142432022505,78.32274171897484,2.7123478197751845,0.23961353959263634,0.0,1.0,13.836967680010313 
 01/01  10:00:00,7.291666666666667,1.7083333333333333,4.719159825766327,0.004184601039509427,67.08333333333333,102585.83333333333,1.4416666666666667,293.0,-12.964253813123852,259.8333333333333,63.166666666666664,782.75,0.0,0.0,72.86679011065145,18.0,13.0,16.0,0.8333333333333334,0.4166666666666667,17849.161083278213,1.2660539030499638,144.89830201168422,22.5245348387873,35.328429919679145,0.0,0.0,9701.307586285002,28673.49961527622,74377.66563440113,153.6176938752493,94.86523897371312,5.649079130069123,0.118178041552903,0.0,1.0,13.836967680010313 
