Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,4.2250000000000005,0.14166666666666675,2.514455535032012,0.003785109453450945,74.91666666666667,102484.16666666667,2.0166666666666666,23.0,-15.076982438563638,251.5,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,3.4166666666666665,0.5833333333333334,13741.68086735092,1.2795999065430381,23.639217569841204,-77.27751425952773,174.62842991967912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.153968504068002 
 01/01  02:00:00,3.6,-0.8416666666666667,1.7740476514912482,0.003500976346128819,72.58333333333333,102559.16666666667,1.2166666666666668,23.0,-16.173405486314834,247.25,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.4166666666666665,1.0,12396.585087010499,1.2840066431321,62.11513356532095,-68.83035940268587,159.62842991967912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.153968504068002 
 01/01  03:00:00,3.4250000000000003,-0.7999999999999999,1.7206566777000465,0.0035309654077338992,74.16666666666667,102632.5,1.3583333333333334,23.0,-16.956488997289284,244.25,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.0,0.4166666666666667,12294.790157805024,1.2856763517843766,79.11605753716539,-57.17153268797701,144.62842991967912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.153968504068002 
 01/01  04:00:00,3.0666666666666664,-0.7999999999999999,1.4834889936744962,0.003506426184867883,75.58333333333333,102687.5,1.8083333333333333,23.0,-17.901584661495914,240.66666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.4166666666666667,0.0,11870.863471764234,1.2880847217032636,89.28640525292612,-44.88357972876391,129.62842991967912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.153968504068002 
 01/01  05:00:00,2.6666666666666665,-0.5666666666666667,1.2898469438425233,0.0035302922646539953,78.33333333333333,102740.83333333333,1.925,9.583333333333334,-19.125951951873972,236.08333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.0,0.0,11526.11813845,1.2905734951875456,97.27203264718224,-32.547982415564654,114.6284299196791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.153968504068002 
 01/01  06:00:00,2.3250000000000006,-0.6333333333333333,1.0760412553801944,0.003516490058810409,80.0,102816.66666666667,1.8,13.416666666666666,-20.481797032701035,231.08333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.4166666666666667,0.0,11145.985665174769,1.2931564036923817,104.63389834643421,-20.413735368730872,99.62842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.153968504068002 
 01/01  07:00:00,2.141666666666667,-0.7999999999999999,0.9766890568650224,0.003519187353283253,81.16666666666667,102879.16666666667,1.7416666666666665,9.583333333333334,-21.052319029241545,229.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.0,0.0,10967.318614673415,1.294798401312583,112.14954294040417,-8.683215766961483,84.62842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.153968504068002 
 01/01  08:00:00,2.1583333333333337,-0.7999999999999999,0.9716149899318373,0.0035083359129202754,80.83333333333333,102894.16666666667,2.5166666666666666,13.416666666666666,-20.731990290494164,230.16666666666666,18.833333333333332,141.83333333333334,0.0,0.0,6.231493991348482,18.0,13.0,16.0,0.5833333333333334,0.0,10956.992618153568,1.294931243570317,120.38039673478379,2.404668991939977,69.62842991967914,0.0,0.0,2711.2709524518455,633.5554850802049,6600.492753597125,94.91291703436627,26.859047863335046,1.7497515135350474,0.16969334655019944,0.0,1.0,14.153968504068002 
 01/01  09:00:00,2.783333333333333,-0.5666666666666667,1.3949581309534353,0.003550418598796396,78.25,102907.5,1.875,23.0,-20.185428103222957,232.16666666666666,49.583333333333336,556.0833333333334,0.0,0.0,34.79965349500756,18.0,13.0,16.0,0.4166666666666667,0.0,11694.5761082604,1.29207998152403,129.8491607273905,12.52165328115769,54.62842991967914,0.0,0.0,7658.741170525301,9975.800080022616,43787.8252983379,154.3381442315385,77.57362891795368,4.1413931553119925,0.1634390716833745,0.0,1.0,14.153968504068002 
 01/01  10:00:00,4.308333333333334,-0.39999999999999997,2.3660317474078485,0.0036225084453009437,71.75,102931.66666666667,0.9416666666666669,23.0,-18.702428006586157,237.66666666666666,62.666666666666664,760.1666666666666,0.0,0.0,67.70946291839456,18.0,13.0,16.0,1.1666666666666667,0.0,13417.882373768012,1.2851354013658047,141.06249379636196,21.20139113284119,39.62842991967913,0.0,0.0,9628.575391305942,25937.649951784293,71314.5316712979,153.70681678778703,93.72278528680646,5.33631614703221,0.1235809528963923,0.0,1.0,14.153968504068002 
