Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,7.6499999999999995,4.433333333333334,6.115749514913271,0.005147751963215398,80.33333333333333,102492.5,2.2666666666666666,338.0,-10.586137060796139,269.5,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.3333333333333335,0.5833333333333334,20634.422888866877,1.2613440649322898,24.412388603373387,-80.31345855588135,176.53842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.66347443391237 
 01/01  02:00:00,7.666666666666667,4.1000000000000005,5.959924201706525,0.0050117255809770085,78.16666666666667,102553.33333333333,1.7166666666666668,338.0,-9.468573746525928,274.0833333333333,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,3.4166666666666665,1.0,20309.22581151022,1.2622916430614268,66.1703989174493,-71.4946130297631,161.53842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.66347443391237 
 01/01  03:00:00,7.1499999999999995,3.9250000000000003,5.588585959483503,0.004922723513834935,79.58333333333333,102599.16666666667,1.9166666666666667,338.0,-10.822146711545324,268.5,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.4166666666666665,0.4166666666666667,19561.485511314946,1.2653635598207933,82.20008161262615,-59.21192310410833,146.53842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.66347443391237 
 01/01  04:00:00,6.55,3.625,5.189984264407115,0.0048497406060851135,81.75,102637.5,2.35,338.0,-12.445572057302448,261.9166666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.0,0.0,18769.665479229647,1.2686993448323132,91.17463420357979,-46.47406447358366,131.53842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.66347443391237 
 01/01  05:00:00,6.125,3.3249999999999997,4.83829427176818,0.004746033973146309,82.41666666666667,102673.33333333333,2.6583333333333337,338.0,-14.056876306327572,255.5,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.4166666666666667,0.0,18078.237059698055,1.2712836449471565,98.21734377959287,-33.752780328029324,116.53842991967913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.66347443391237 
 01/01  06:00:00,5.533333333333335,3.025,4.415587266660286,0.0046566541336773475,84.33333333333333,102748.33333333333,2.35,338.0,-15.591605150370773,249.5,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.4166666666666667,0.0,17254.031623826795,1.2750960952382784,104.79617982453624,-21.241990750124188,101.53842991967913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.66347443391237 
 01/01  07:00:00,4.966666666666667,3.1333333333333333,4.1162863368258105,0.004655217498821979,87.75,102813.33333333333,2.5083333333333333,338.0,-16.389953680277376,246.41666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.0,0.0,16676.10394125545,1.2785044330794626,111.61607343705914,-9.111572769530346,86.53842991967912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.66347443391237 
 01/01  08:00:00,4.916666666666667,3.3000000000000003,4.11522428753138,0.004672498928196484,88.41666666666667,102859.16666666667,2.3333333333333335,338.0,-16.498529547041073,246.0,20.666666666666668,172.33333333333334,0.0,0.0,7.08896438023559,18.0,13.0,16.0,0.0,0.0,16668.808990276044,1.279268847686546,119.20253959566428,2.424947730678481,71.53842991967912,0.0,0.0,2965.8675857213857,744.4259277150894,7674.656225974165,94.58551172350333,26.43432541892675,1.89156981212672,0.18018538707749865,0.0,1.0,16.66347443391237 
 01/01  09:00:00,6.400000000000001,3.5916666666666663,5.074934065192665,0.004809259314500498,82.16666666666667,102891.66666666667,2.1166666666666667,324.5833333333333,-15.74193898364743,248.91666666666666,57.833333333333336,580.8333333333333,0.0,0.0,38.627454278125214,18.0,13.0,16.0,0.0,0.0,18515.938291625334,1.272612899695955,128.0792780941804,13.060939734090766,56.538429919679125,0.0,0.0,8784.89426866494,10903.419432364026,45910.36033775219,151.78321807370182,77.88090749089565,3.8656488113020138,0.18440596200454473,0.0,1.0,16.66347443391237 
 01/01  10:00:00,9.383333333333333,3.8000000000000003,6.72424334111147,0.004916365783119791,68.66666666666667,102905.83333333333,2.025,328.4166666666667,-13.574845352807566,257.4166666666667,64.41666666666667,798.5,0.0,0.0,73.80806477010923,18.0,13.0,16.0,0.0,0.0,21810.029303940602,1.2591402607938733,138.8053323009257,22.341513679164038,41.538429919679125,0.0,0.0,9891.174877360469,29007.940332413145,75874.05474885307,153.60737588702435,94.92649226889496,5.579128049344232,0.12109580516019552,0.0,1.0,16.66347443391237 
