Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,6.041666666666667,1.1833333333333333,3.843177885157576,0.004047143734256055,70.41666666666667,102079.16666666667,3.783333333333333,210.5,-5.346551729748853,291.6666666666667,0.0,0.0,1.6203703703703703e-7,0.0005833333333333333,0.0,18.0,13.0,16.0,6.166666666666667,3.1666666666666665,16237.970686902505,1.2657160019127724,32.70348086584451,-73.87362914317889,170.45842991967916,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.329542689825844 
 01/01  02:00:00,5.733333333333334,1.7750000000000001,3.911077644219302,0.004227513382028189,75.0,102002.5,4.141666666666667,234.58333333333334,-3.838586460457473,298.25,0.0,0.0,1.1574074074074073e-7,0.00041666666666666664,0.0,18.0,13.0,16.0,7.0,4.0,16378.903621956648,1.2657983851270291,63.73901915421178,-64.83527459763681,155.45842991967913,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.329542689825844 
 01/01  03:00:00,5.958333333333333,2.0749999999999997,4.208394466384556,0.0043574714398588186,76.16666666666667,102098.33333333333,3.8083333333333336,225.0,-4.65133865352044,294.6666666666667,0.0,0.0,1.6203703703703703e-7,0.0005833333333333333,0.0,18.0,13.0,16.0,6.416666666666667,3.4166666666666665,16933.21283320749,1.2657034589012197,79.3685292670009,-53.43348752091663,140.45842991967913,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.329542689825844 
 01/01  04:00:00,5.941666666666666,2.783333333333333,4.518057562101437,0.004597331647043744,80.5,102192.5,2.5500000000000003,238.41666666666666,-5.701790751385204,290.0833333333333,0.0,0.0,4.398148148148148e-7,0.0015833333333333333,0.0,18.0,13.0,16.0,4.833333333333333,3.0,17518.84901688412,1.266461528382395,89.68767665396705,-41.471454468111894,125.45842991967913,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.329542689825844 
 01/01  05:00:00,5.841666666666666,3.1999999999999997,4.653035305344994,0.004736456126055492,83.58333333333333,102305.83333333333,2.3833333333333333,221.75,-7.823551637378945,281.0,0.0,0.0,5.555555555555555e-7,0.002,0.0,18.0,13.0,16.0,3.4166666666666665,2.4166666666666665,17766.9675583025,1.2680389966233419,98.11945280668509,-29.478096308472317,110.45842991967913,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.329542689825844 
 01/01  06:00:00,5.9750000000000005,3.375,4.811809676094934,0.004797854169778707,84.0,102453.33333333333,2.1,176.75,-9.42807059706619,274.25,0.0,0.0,2.3148148148148146e-7,0.0008333333333333333,0.0,18.0,13.0,16.0,3.5833333333333335,3.1666666666666665,18056.359452758876,1.2691361557754695,106.01949045698443,-17.71921692515039,95.45842991967913,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.329542689825844 
 01/01  07:00:00,6.391666666666666,3.15,4.944292764071141,0.0047269542551128425,80.5,102537.5,2.591666666666667,184.25,-9.447973363301562,274.1666666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,3.4166666666666665,3.4166666666666665,18300.58150557618,1.2684292993247168,114.13206830920426,-6.422720064792048,80.45842991967913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.329542689825844 
 01/01  08:00:00,6.95,3.0749999999999997,5.186050327355728,0.0046862501929974204,76.83333333333333,102590.83333333333,2.775,215.83333333333334,-9.809726428882755,272.6666666666667,19.11111111111111,0.0,0.0,0.0,3.8222222222222224,18.0,13.0,16.0,3.0,3.0,18764.2196936264,1.266641701680807,123.01581188045482,4.141943626787576,65.45842991967913,0.0,1.0,2175.853115809643,0.0,0.0,94.81762748256381,0.28423090232116976,0.8333323603019567,0.13844809211009235,0.0,1.0,13.329542689825844 
 01/01  09:00:00,7.491666666666667,3.375,5.577215622742962,0.004772921994419301,75.41666666666667,102625.83333333333,1.6416666666666666,225.0,-9.089606875684098,275.6666666666667,73.25,44.166666666666664,0.0,0.0,17.124812177722006,18.0,13.0,16.0,4.166666666666667,3.0,19531.19614343779,1.2644533685193877,133.17806226631217,13.612003836542883,50.45842991967914,0.0,1.0,8529.32177932581,1036.9701084624344,3697.865389401117,115.80632615199228,52.301309291594386,1.1408474495112617,0.2136019111089151,0.0,1.0,13.329542689825844 
 01/01  10:00:00,8.166666666666666,3.6750000000000003,6.022478174043493,0.004853869893961386,73.25,102635.83333333333,2.2666666666666666,212.16666666666666,-7.467404656397842,282.5,153.25,211.25,0.0,0.0,46.09047495223127,18.0,13.0,16.0,4.416666666666667,2.4166666666666665,20419.12722599271,1.2613798930044313,145.06030344822105,21.491728001854252,35.45842991967914,0.0,1.0,18230.78900568598,6924.987263050341,18910.766308455808,118.99141983270846,89.6306252039089,1.4967400842605558,0.29659339744555463,0.0,1.0,13.329542689825844 
