Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,7.191666666666666,1.4749999999999999,4.608423782187233,0.0041500477378177665,66.83333333333333,102364.16666666667,2.1,244.25,-10.638400277920985,269.25,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,4.666666666666667,1.0,17660.980105281993,1.2638364174443193,31.75250674500026,-76.02605618143855,171.87842991967912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.883755996907142 
 01/01  02:00:00,7.2250000000000005,1.5999999999999999,4.662519674352633,0.004189890366696016,67.16666666666667,102135.83333333333,2.275,248.0,-11.372711244955696,266.25,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.4166666666666665,1.0,17794.905953903453,1.2607857070531479,65.57928152903624,-66.67792897699691,156.87842991967912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.883755996907142 
 01/01  03:00:00,6.866666666666667,1.5999999999999999,4.5017890103756235,0.004203653458677076,69.16666666666667,102289.16666666667,2.283333333333333,234.58333333333334,-12.258184013578813,262.6666666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.0,1.0,17466.645225373428,1.2642667369952767,80.85003481391979,-54.89288081314891,141.87842991967912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.883755996907142 
 01/01  04:00:00,6.408333333333334,1.5999999999999999,4.243993007646555,0.004183816400920057,71.16666666666667,102459.16666666667,2.4333333333333336,225.0,-13.55130951753973,257.5,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.4166666666666667,1.0,16952.666851755785,1.2684844737834926,90.57132977734108,-42.6203248690911,126.87842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.883755996907142 
 01/01  05:00:00,6.0249999999999995,1.8333333333333333,4.09222332088773,0.004215546949147968,73.75,102629.16666666667,2.6,238.41666666666666,-14.927123004012268,252.08333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.4166666666666667,0.4166666666666667,16644.20234118022,1.27226892009961,98.46570473681557,-30.34694622566515,111.8784299196791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.883755996907142 
 01/01  06:00:00,5.666666666666667,1.6500000000000001,3.813918145848392,0.00414158391010788,74.41666666666667,102822.5,2.716666666666667,248.0,-16.065431226358005,247.66666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.0,0.0,16095.584706322807,1.2764549445732234,105.8866270725968,-18.308986237602074,96.87842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.883755996907142 
 01/01  07:00:00,5.383333333333333,0.9916666666666667,3.4367376921202055,0.003968109174592817,72.83333333333333,102956.66666666667,3.266666666666666,248.0,-16.650845096745183,245.41666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.0,0.0,15373.106942327346,1.2797747660169738,113.55710608042203,-6.714012746115011,81.87842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.883755996907142 
 01/01  08:00:00,5.4750000000000005,0.46666666666666673,3.3296848315952876,0.003847942702519034,70.25,103030.83333333333,3.25,260.8333333333333,-17.065656669498352,243.83333333333334,17.916666666666664,67.49999999999999,0.0,0.0,5.3133158204154585,18.0,13.0,16.0,0.0,0.0,15164.132282402983,1.2805210380298375,122.02682311665176,4.184891343666131,66.87842991967914,0.0,0.0,2399.9162751104654,469.5858646349402,3571.0869129691823,109.3248565947859,24.663973232435044,1.3005769195076937,0.1042726430684796,0.0,1.0,14.883755996907142 
 01/01  09:00:00,6.941666666666666,-0.10833333333333335,3.9002128392433657,0.0036775543027489986,60.833333333333336,103071.66666666667,2.3583333333333334,270.0,-16.673107514235188,245.33333333333334,89.25,410.75,0.0,0.0,38.51201220222675,18.0,13.0,16.0,0.0,0.0,16219.969567600076,1.2746740459714856,131.81631867755002,14.037313277806845,51.87842991967914,0.0,0.0,11830.596795729645,8179.681689311013,32099.203878167697,132.6505659648316,76.79579570108145,2.3441235494700137,0.2607630941920193,0.0,1.0,14.883755996907142 
 01/01  10:00:00,8.308333333333334,-0.16666666666666666,4.605087891700844,0.0036562627702261276,55.0,103115.0,2.4250000000000003,257.1666666666667,-15.333908565371408,250.5,115.83333333333333,594.75,0.0,0.0,68.34494303843007,18.0,13.0,16.0,0.0,0.0,17549.127844947245,1.2690552573284464,143.41392865653123,22.34921929189184,36.87842991967913,0.0,0.0,15974.194082417836,20678.08500468601,54353.514769716014,138.6718914744236,91.38193816153073,2.924324528847627,0.21543622425346162,0.0,1.0,14.883755996907142 
