Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,3.8833333333333333,0.27499999999999997,2.337231212417525,0.003825979568227259,77.08333333333333,101717.5,1.4083333333333332,264.6666666666667,-16.050459012348878,247.75,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.75,0.0,13498.284730146479,1.2715062299098236,27.93336132539064,-77.62908873315698,173.53842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.26210526594947 
 01/01  02:00:00,3.7416666666666667,0.9,2.4842859469726366,0.003989681430102517,81.16666666666667,101727.5,1.7,293.0,-14.734620928606963,252.83333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.4166666666666665,0.0,13765.47960504113,1.2719490249906775,65.71359399592082,-68.38618643359163,158.53842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.26210526594947 
 01/01  03:00:00,3.6999999999999997,1.075,2.5798391704000614,0.004080019758004607,83.16666666666667,101643.33333333333,1.5833333333333333,293.0,-15.097278331734003,251.41666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.5833333333333335,0.5833333333333334,13949.85545868187,1.2709045349779489,81.23580125589427,-56.423766291573855,143.53842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.26210526594947 
 01/01  04:00:00,3.5833333333333335,1.2,2.5633059140333185,0.004119938265828983,84.58333333333333,101540.0,1.675,279.5833333333333,-15.204229956164454,251.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.4166666666666665,1.0,13931.839098545599,1.2700667174693472,90.7194335555207,-43.98047340407046,128.53842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.26210526594947 
 01/01  05:00:00,3.2666666666666675,1.375,2.402619593873919,0.004137543363755561,86.75,101402.5,1.5083333333333335,270.0,-15.054522474150616,251.58333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.5833333333333335,1.5833333333333333,13655.348605348197,1.2697642228600319,98.32446433945059,-31.54056303219637,113.53842991967913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.26210526594947 
 01/01  06:00:00,2.866666666666667,1.2666666666666666,2.173505735356095,0.004137833520390477,89.16666666666667,101310.83333333333,1.3583333333333334,270.0,-14.64948951844418,253.16666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,3.0,2.0,13251.066541493701,1.270454396225932,105.45145762886546,-19.326174894427176,98.53842991967912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.26210526594947 
 01/01  07:00:00,2.6999999999999997,1.0999999999999999,2.0654067143145447,0.004127530078859263,90.0,101307.5,1.05,270.0,-15.183599802884052,251.08333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.4166666666666665,2.0,13056.489829930542,1.2712009428992985,112.82159495102617,-7.531533099877927,83.53842991967912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.26210526594947 
 01/01  08:00:00,2.875,1.1583333333333334,2.160287627849038,0.0041226705448112605,88.83333333333333,101360.83333333333,1.0333333333333334,283.4166666666667,-15.870543807975622,248.41666666666666,26.722222222222225,136.2777777777778,0.0,0.0,7.837362529979046,18.0,13.0,16.0,2.0,2.0,13221.499848078034,1.271073709485829,120.97920191852184,3.6043337860316647,68.53842991967912,0.0,0.0,3661.701737804486,614.5096893920942,5792.694842864462,113.75851363694612,31.54810055584164,1.804811767937397,0.22259149863955188,0.0,1.0,15.26210526594947 
 01/01  09:00:00,4.224999999999999,1.7249999999999999,3.1263519824415087,0.004281791488702079,83.91666666666667,101413.33333333333,0.9083333333333335,305.8333333333333,-15.827401405289683,248.58333333333334,73.83333333333333,382.5,0.0,0.0,33.651314467404234,18.0,13.0,16.0,0.8333333333333334,0.8333333333333334,14987.668687746627,1.265226788848713,130.4495268664807,13.746051968087066,53.538429919679125,0.0,0.0,10256.879821767208,7447.521357215143,29677.710068391872,138.6904107440403,76.09537581190476,2.5019335937266245,0.2213736892131781,0.0,1.0,15.26210526594947 
 01/01  10:00:00,7.55,1.925,5.047325972313741,0.004398321155760333,68.75,101441.66666666667,0.7583333333333333,262.5,-14.672143876019268,253.08333333333334,87.66666666666667,658.0833333333334,0.0,0.0,68.10081456627078,18.0,13.0,16.0,0.5833333333333334,0.5833333333333334,18648.154143615695,1.2503726621828706,141.7505964374806,22.41162152400247,38.538429919679125,0.0,0.0,13047.16069170362,23489.640274767462,60998.56602461907,148.8293042928116,92.47386245751115,3.790604265195686,0.1647017104294285,0.0,1.0,15.26210526594947 
