Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,1.0916666666666666,-5.025000000000001,-1.2469143816910535,0.0026897318397348323,63.833333333333336,97925.0,0.9583333333333334,69.66666666666667,-22.417444704107712,224.08333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.5833333333333334,0.0,7829.362505871867,1.238831078046523,39.98362434629956,-73.69876684317153,168.53842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.012719898575343 
 01/01  02:00:00,-0.31666666666666665,-5.3999999999999995,-2.1553969496969323,0.002597551768603647,68.58333333333333,98185.83333333333,0.6749999999999999,62.083333333333336,-23.330769400427574,220.83333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.0,0.0,6176.592755914345,1.248704117383406,68.00102465226887,-63.80043393765936,153.53842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.012719898575343 
 01/01  03:00:00,-0.8083333333333332,-5.3999999999999995,-2.47669245523915,0.0025762455161031077,70.75,98046.66666666667,0.7999999999999999,131.25,-24.064802156470567,218.25,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.4166666666666667,0.0,5626.922400296673,1.249228250723301,82.04886508518288,-52.05368626541095,138.53842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.012719898575343 
 01/01  04:00:00,-1.3916666666666666,-5.108333333333333,-2.8092719967072983,0.002582755017271453,74.33333333333333,97892.5,0.9166666666666666,127.5,-25.0938562826518,214.66666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.0,0.0,5054.228626916382,1.249928037683609,91.60714313746918,-39.91182651079144,123.53842991967913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.012719898575343 
 01/01  05:00:00,-2.066666666666667,-5.25,-3.282288725305287,0.0025380171607616814,77.16666666666667,97760.0,0.7083333333333334,18.75,-26.086554220431424,211.25,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.0,0.0,4261.020878380822,1.2514344797509531,99.62390312842541,-27.805283192087668,108.53842991967913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.012719898575343 
 01/01  06:00:00,-2.8666666666666667,-5.5,-3.838936654663,0.0024908945612577478,80.91666666666667,97645.83333333333,0.8500000000000002,255.0,-27.314643714324024,207.08333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.0,0.0,3335.763873920023,1.2537673723222624,107.28861648074674,-15.971197452853014,93.53842991967912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.012719898575343 
 01/01  07:00:00,-3.4333333333333336,-5.791666666666667,-4.27144628988896,0.0024371532076137526,83.0,97605.83333333333,1.1583333333333334,206.25,-28.108875572846852,204.41666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.0,0.0,2629.673397600876,1.2559946198987677,115.28654038443699,-4.630983441419098,78.53842991967912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.012719898575343 
 01/01  08:00:00,-2.783333333333333,-5.708333333333333,-3.7733539710257435,0.0025013926563977,80.66666666666667,97639.16666666667,0.9666666666666667,290.9166666666667,-27.88455405350719,205.16666666666666,44.5,183.16666666666666,0.0,0.0,13.244599277403886,18.0,13.0,16.0,0.0,0.0,3446.1216692001967,1.2532763249121661,124.16035193024682,5.94068574228126,63.53842991967912,0.0,0.0,5805.281897232081,1242.8132079319205,9238.536892785412,129.00011376015584,44.866040597189574,1.9720409167061899,0.28586053692126384,0.0,1.0,13.012719898575343 
 01/01  09:00:00,-0.8000000000000002,-4.916666666666667,-2.3390344781825374,0.0026757301917858904,73.16666666666667,97613.33333333333,0.6833333333333335,259.25,-26.430078927191644,210.08333333333334,94.08333333333333,401.9166666666667,0.0,0.0,40.656989141973504,18.0,13.0,16.0,0.0,0.0,5884.048861961656,1.2434795205569247,134.42053681081373,15.365345799936485,48.538429919679125,0.0,0.0,12414.341640620509,9029.198670882019,32919.4699297837,131.92037524396267,81.02284904024401,2.3014477953743713,0.24680817595174287,0.0,1.0,13.012719898575343 
 01/01  10:00:00,1.25,-4.791666666666667,-1.1164481433388145,0.0027284760998547587,63.75,97562.5,1.0666666666666667,215.83333333333334,-24.399953652991183,217.08333333333334,96.66666666666667,624.25,0.0,0.0,68.61876624604565,18.0,13.0,16.0,0.0,0.0,8086.136551274896,1.2334385308944549,146.5103135721724,23.12104293254669,33.538429919679125,0.0,0.0,14088.337811040308,23105.083244709367,58436.866155106,145.7432776740505,93.46202009735627,3.445072041606663,0.17122383877744773,0.0,1.0,13.012719898575343 
