Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,4.241666666666666,1.9749999999999999,3.2209262106398,0.004311279201253327,85.0,102099.16666666667,1.5,9.583333333333334,-14.68171064735976,253.08333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.75,0.5833333333333334,15078.394296262193,1.2736416062360163,22.09003498946325,-79.1656019333448,176.37842991967912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.754187584708001 
 01/01  02:00:00,4.408333333333333,1.5999999999999999,3.1587023401733982,0.004192791571082395,81.75,102199.16666666667,1.5583333333333333,0.0,-13.404081663705616,258.0833333333333,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,3.0,1.0,14949.948833232062,1.274364188726445,63.08302120008742,-70.84133141355554,161.37842991967912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.754187584708001 
 01/01  03:00:00,3.85,1.5999999999999999,2.833230497326328,0.004177125819974378,84.75,102255.0,1.4833333333333334,0.0,-14.820821416184543,252.5,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.4166666666666665,1.0,14345.273381230742,1.2776626368250228,80.2369341713356,-58.88771332582161,146.37842991967912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.754187584708001 
 01/01  04:00:00,3.4250000000000003,1.4250000000000005,2.5101059518615747,0.004111279262704863,86.0,102309.16666666667,1.2833333333333334,0.0,-16.369372084160347,246.5,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.4166666666666667,0.4166666666666667,13749.819932571381,1.2804380273178724,89.93582085344006,-46.350849536177,131.37842991967912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.754187584708001 
 01/01  05:00:00,2.6,0.8916666666666666,1.8648680600145362,0.003979936013840215,88.33333333333333,102359.16666666667,1.3166666666666667,26.25,-18.10179197613145,239.91666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.0,0.0,12585.430623426784,1.285168268237202,97.45770739777653,-33.78906609070942,116.3784299196791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.754187584708001 
 01/01  06:00:00,1.9833333333333334,1.0083333333333333,1.5868624511317766,0.004029105967600211,93.5,102426.66666666667,1.1083333333333334,32.166666666666664,-19.824141478609366,233.5,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.4166666666666667,0.0,12084.333929063323,1.2887946591933088,104.39335173561807,-21.425825538553056,101.3784299196791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.754187584708001 
 01/01  07:00:00,1.375,0.8916666666666666,1.1727791094842013,0.003981946764981843,96.58333333333333,102500.83333333333,1.0166666666666666,35.833333333333336,-20.663367329523293,230.41666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.0,0.0,11350.47288378846,1.292684665963162,111.50194796489406,-9.444751249177049,86.37842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.754187584708001 
 01/01  08:00:00,1.2333333333333334,0.6,0.9882548355663117,0.0039085180321522675,95.83333333333333,102541.66666666667,1.1583333333333334,18.75,-21.09834709579547,228.83333333333334,20.833333333333332,95.33333333333333,0.0,0.0,5.818578557531242,18.0,13.0,16.0,0.0,0.0,11023.234657404835,1.2940177991547752,119.33075453608997,1.9323824958684135,71.37842991967914,0.0,0.0,2712.8686026564937,367.7276824443452,3886.112007683085,85.42390401294142,21.887261484444213,1.2890161891762315,0.2017483981298204,0.0,1.0,14.754187584708001 
 01/01  09:00:00,2.7416666666666667,1.0083333333333333,2.013555275742384,0.0040213312337366285,88.58333333333333,102561.66666666667,1.4333333333333333,26.25,-20.527369294588578,230.91666666666666,58.416666666666664,492.0,0.0,0.0,33.70554700681015,18.0,13.0,16.0,0.0,0.0,12832.59420179748,1.2869693853932018,128.4038409989271,12.394342959810468,56.37842991967914,0.0,0.0,8685.626712094978,8650.323605509913,37823.49379916017,148.28662220150102,75.11804666906849,3.3597876488492022,0.19570296166747836,0.0,1.0,14.754187584708001 
 01/01  10:00:00,5.391666666666667,1.8833333333333335,3.8244074692149983,0.0042754456200231,78.16666666666667,102593.33333333333,1.4250000000000005,32.166666666666664,-18.237219081020925,239.41666666666666,62.916666666666664,746.0,0.0,0.0,67.5212261295312,18.0,13.0,16.0,0.0,0.0,16153.384933428724,1.2746056410066455,139.25908099301293,21.487914411893843,41.37842991967913,0.0,0.0,9681.565195768899,25947.38732123766,70298.0292227682,153.9102890775726,94.0971729983044,5.280352326331152,0.1224619354143029,0.0,1.0,14.754187584708001 
