Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,4.9750000000000005,1.9166666666666667,3.661924314206773,0.004360853808410433,81.33333333333333,101726.66666666667,0.9583333333333334,319.25,-13.656064365539985,257.0833333333333,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.4166666666666665,0.5833333333333334,15945.628517156425,1.2655481626714695,32.87139768822709,-75.55096902804709,171.35842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.041675298889404 
 01/01  02:00:00,5.041666666666667,1.5,3.5270413633578657,0.004236931027575744,78.58333333333333,101630.0,1.0,324.5833333333333,-14.03469732141817,255.58333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.0,1.0,15702.087715112566,1.2642924512638534,65.64851786667798,-66.16398022204166,156.35842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.041675298889404 
 01/01  03:00:00,5.116666666666667,1.7333333333333334,3.628473845169139,0.004277488497864355,79.0,101738.33333333333,0.8250000000000001,127.5,-13.929125509223809,256.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.0,1.0,15879.860974757496,1.2652169958767157,80.81326434696545,-54.422980885851416,141.35842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.041675298889404 
 01/01  04:00:00,4.8500000000000005,1.7249999999999999,3.5035479428863554,0.004286484864258088,80.75,101855.83333333333,0.7583333333333333,206.25,-13.929125509223809,256.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.0,1.0,15632.364354799793,1.2678758478657337,90.58174176854486,-42.197127648678936,126.35842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.041675298889404 
 01/01  05:00:00,4.366666666666666,1.5999999999999999,3.21653328600733,0.0042625282971891195,83.16666666666667,101985.83333333333,0.975,168.75,-14.970557740218368,251.91666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.4166666666666667,0.4166666666666667,15082.730925687705,1.2717533365739606,98.54830140163502,-29.97104788723796,111.35842991967912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.041675298889404 
 01/01  06:00:00,3.908333333333333,1.5999999999999999,2.956287445945082,0.004248864733427073,85.75,102145.0,0.9833333333333334,32.166666666666664,-16.173405486314834,247.25,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.5833333333333333,0.0,14584.275749115493,1.275873347478206,106.04801291419984,-17.984236217907366,96.35842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.041675298889404 
 01/01  07:00:00,3.8166666666666664,1.5999999999999999,2.8747930507098722,0.004221059932756244,85.83333333333333,102255.0,0.6083333333333333,49.25,-16.650845096745183,245.41666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.4166666666666667,0.0,14421.704094979092,1.2777261319716924,113.80224115447076,-6.447938926677768,81.35842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.041675298889404 
 01/01  08:00:00,4.133333333333334,1.7750000000000001,3.082187589295293,0.004243106671600129,84.41666666666667,102303.33333333333,0.5750000000000001,135.5,-17.065656669498352,243.83333333333334,27.666666666666668,0.0,0.0,0.0,5.533333333333334,18.0,13.0,16.0,0.4166666666666667,0.0,14797.700535839564,1.2768253925786206,122.36119830274572,4.380635644093446,66.35842991967915,0.0,0.0,3080.764426277339,0.0,0.0,110.69415276875863,1.56318932941907,0.9999990402118374,0.2365832375047607,0.0,1.0,14.041675298889404 
 01/01  09:00:00,4.766666666666667,1.9000000000000001,3.4928532134516885,0.0042895149992357605,81.66666666666667,102337.5,0.875,103.33333333333333,-16.825475988312405,244.75,85.16666666666667,32.833333333333336,0.0,0.0,18.942324074753994,18.0,13.0,16.0,0.5833333333333334,0.5833333333333334,15555.569792067688,1.2742473193356807,132.24340546611563,14.146572875015694,51.35842991967916,0.0,0.0,9737.901788460205,819.620883248314,2817.2536539477733,113.92338645629941,56.98441976849449,1.0966008266339458,0.2411705350903277,0.0,1.0,14.041675298889404 
 01/01  10:00:00,5.625,1.9000000000000001,3.9675329205632117,0.004297086908633999,77.08333333333333,102355.83333333333,1.175,155.91666666666666,-16.043585344211056,247.75,160.91666666666666,204.75,0.0,0.0,48.05842043607592,18.0,13.0,16.0,0.4166666666666667,0.4166666666666667,16443.912945945594,1.2705364480724497,143.9278803334639,22.352265934264448,36.358429919679146,0.0,0.0,18922.051185566972,7319.165886139948,18850.83557604418,117.526062475421,91.64135099646626,1.4664351169429717,0.2986170867409033,0.0,1.0,14.041675298889404 
