Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,2.6750000000000003,-3.116666666666667,0.33015228915148825,0.002979432040238294,64.75,100627.5,2.0749999999999997,315.0,-19.84551164450737,233.41666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.5833333333333333,0.0,10154.23674541435,1.2651052390978528,39.83376028076144,-72.88326451699861,168.02842991967916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.291098858921567 
 01/01  02:00:00,1.8583333333333334,-3.641666666666667,-0.37149476778980167,0.002893208658820818,66.58333333333333,100498.33333333333,2.0833333333333335,315.0,-19.642385899931934,234.16666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.0,0.0,9113.064587339555,1.2674055776091337,67.24975957160349,-63.1401163474404,153.02842991967916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.291098858921567 
 01/01  03:00:00,2.0166666666666666,-3.3666666666666667,-0.1209937923058646,0.002967362976770562,67.58333333333333,100604.16666666667,2.1166666666666667,328.4166666666667,-18.9462533023609,236.75,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.0,0.0,9458.750905677383,1.267859759876299,81.49108371328681,-51.540375088750956,138.02842991967916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.291098858921567 
 01/01  04:00:00,2.275,-2.6750000000000003,0.34961813652631063,0.0031177627512848725,69.75,100690.83333333333,2.2583333333333333,338.0,-18.14475244978283,239.75,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.0,0.0,10096.542959431756,1.2674568385010916,91.28251438782239,-39.51857227735699,123.02842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.291098858921567 
 01/01  05:00:00,2.6333333333333333,-2.3000000000000003,0.7218732408558638,0.0032261669507099694,70.41666666666667,100784.16666666667,2.0083333333333333,324.5833333333333,-17.812712361092508,241.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.0,0.0,10730.324053931085,1.2667636192106169,99.50478518532198,-27.521783486831968,108.02842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.291098858921567 
 01/01  06:00:00,2.9166666666666665,-2.066666666666667,0.9938115229583103,0.003295810747151092,70.58333333333333,100911.66666666667,2.2083333333333335,328.4166666666667,-18.122427788882177,239.83333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.4166666666666667,0.0,11191.28063449672,1.2669231836608639,107.35246124726474,-15.797942020321107,93.02842991967913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.291098858921567 
 01/01  07:00:00,3.1749999999999994,-1.9000000000000001,1.1400576487011174,0.0032903379952901983,69.25,100993.33333333333,2.441666666666667,311.75,-18.812142877244238,237.25,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.0,0.0,11438.721667401704,1.266774312801573,115.51851914251274,-4.575949196539255,78.02842991967913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.291098858921567 
 01/01  08:00:00,3.475,-1.8416666666666668,1.287187673828772,0.003270270692361216,67.41666666666667,101045.0,2.225,319.25,-19.30464429043082,235.41666666666666,38.333333333333336,303.8333333333333,0.0,0.0,14.843016288922955,18.0,13.0,16.0,1.0,0.0,11691.696102570248,1.2660884749785124,124.54756633373312,5.86364726052232,63.02842991967913,0.0,0.0,5429.623082168172,2178.802820077612,16457.36536933814,140.09128138594028,48.37654701049851,2.8325770959104233,0.27275211702283947,0.0,1.0,13.291098858921567 
 01/01  09:00:00,4.766666666666667,-1.5666666666666667,2.1181362409423024,0.003339540985089592,62.916666666666664,101070.0,1.4583333333333333,298.3333333333333,-18.634204788669994,237.91666666666666,50.833333333333336,650.3333333333334,0.0,0.0,44.65113115380699,18.0,13.0,16.0,1.0,0.0,13171.349357610883,1.260381610740126,134.94265510216945,15.138574088633098,48.028429919679134,0.0,0.0,7959.679615094129,14900.80334300612,55681.92188016918,156.5652003089422,85.0279719467895,4.862615520910244,0.1377844276514446,0.0,1.0,13.291098858921567 
 01/01  10:00:00,7.583333333333333,-1.2249999999999999,3.8624441769540545,0.0034911329365725275,54.166666666666664,101040.83333333333,2.0500000000000003,296.25,-16.84908630110581,244.66666666666666,60.666666666666664,792.8333333333334,0.0,0.0,73.51347325681377,18.0,13.0,16.0,0.4166666666666667,0.0,16400.45118474636,1.2470839307963755,147.12637261471394,22.72824456407837,33.028429919679134,0.0,0.0,9329.905497561767,29321.80987575729,75658.37276753857,153.83908238882398,95.38108980352733,5.873121026309966,0.11059563948864164,0.0,1.0,13.291098858921567 
