Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,4.45,2.7000000000000006,3.739111857643555,0.004610685249540295,89.58333333333333,102178.33333333333,0.975,99.58333333333333,-11.804695504745817,264.5,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,4.0,1.1666666666666667,16040.691941861689,1.273063360939396,23.35699759031469,-76.15296570408778,174.01842991967916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.514268902736228 
 01/01  02:00:00,4.7,2.4333333333333336,3.705319108433318,0.004480058733998431,85.58333333333333,102249.16666666667,1.0416666666666667,90.0,-11.618860379312139,265.25,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,3.4166666666666665,1.4166666666666667,15966.248654568795,1.273064803652243,60.74102798887953,-67.89074178789483,159.01842991967916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.514268902736228 
 01/01  03:00:00,4.7,2.7750000000000004,3.816244490015935,0.004561039474554015,87.16666666666667,102305.0,0.8833333333333333,77.16666666666667,-12.216463870425514,262.8333333333333,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,3.0,1.5833333333333333,16169.484161847862,1.2735953250238408,78.02192316860702,-56.47252332329535,144.01842991967916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.514268902736228 
 01/01  04:00:00,4.758333333333334,2.9000000000000004,3.930978546548794,0.004621200800135623,88.0,102365.0,0.7999999999999999,182.08333333333334,-12.278448261599701,262.5833333333333,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,3.0,2.0,16379.586893639404,1.273952450307232,88.59486695857026,-44.3644177999472,129.01842991967916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.514268902736228 
 01/01  05:00:00,4.333333333333333,2.9000000000000004,3.679292835370106,0.004601958990924558,90.33333333333333,102413.33333333333,0.9166666666666666,93.75,-13.195361808038863,258.9166666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.8333333333333333,1.4166666666666667,15900.607651585311,1.2765463222007278,96.91354365344885,-32.182822100688185,114.01842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.514268902736228 
 01/01  06:00:00,3.65,2.725,3.202329712717057,0.0045206195130119515,93.16666666666667,102476.66666666667,0.7666666666666666,77.16666666666667,-13.048679482733718,259.5,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,4.5,2.1666666666666665,15004.146221204215,1.2806550464203883,104.55611567078951,-20.196998356576493,99.01842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.514268902736228 
 01/01  07:00:00,3.4,2.6,3.01174608786997,0.004478278937529994,94.0,102539.16666666667,0.425,28.333333333333332,-11.129260952036825,267.25,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,5.25,3.0,14644.6675745714,1.2826804964630318,112.32041426123332,-8.621439196466971,84.01842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.514268902736228 
 01/01  08:00:00,3.75,2.7750000000000004,3.31737802072525,0.004560775237172884,93.41666666666667,102577.5,0.65,347.1666666666667,-11.931371152503687,264.0,22.166666666666668,52.333333333333336,0.0,0.0,5.434266044974298,18.0,13.0,16.0,2.8333333333333335,2.4166666666666665,15206.181654523725,1.2813698401295135,120.77741723204473,2.2960939110949865,69.01842991967914,0.0,0.0,2692.251634686754,210.27287391163304,2136.0531043230335,79.49049697889345,19.382989549121366,0.959962413391582,0.18811226151691798,0.0,1.0,13.514268902736228 
 01/01  09:00:00,5.108333333333333,3.599999999999999,4.373030204681598,0.004806875392705267,89.5,102584.16666666667,0.4916666666666667,324.5833333333333,-13.613539632136204,257.25,87.41666666666667,290.6666666666667,0.0,0.0,30.10703301753212,18.0,13.0,16.0,1.4166666666666667,1.4166666666666667,17200.502041428565,1.274701746484953,130.4463800914705,12.220883335453806,54.01842991967914,0.0,0.0,11044.98889603236,4557.815029982932,20525.729383382066,126.33041287710819,69.42667734924309,1.9299254312424197,0.2895359284449243,0.0,1.0,13.514268902736228 
 01/01  10:00:00,7.008333333333333,4.566666666666666,5.756275981213417,0.005114952604156057,83.5,102615.0,1.0166666666666666,288.75,-13.34093430134727,258.3333333333333,140.24999999999997,320.25,0.0,0.0,50.6023893907171,18.0,13.0,16.0,1.0,1.0,19901.167015326126,1.2658146367086012,141.81289826370582,20.6852560735851,39.01842991967914,0.0,0.0,17137.24162915485,9895.70342048081,28013.210786590178,122.2634125011582,87.54060204746365,1.8109989283769161,0.2808031686236075,0.0,1.0,13.514268902736228 
 01/01  11:00:00,8.966666666666667,4.7250000000000005,6.86410608843422,0.005216925387601643,74.58333333333333,102616.66666666667,1.366666666666667,270.0,-11.620893355861236,265.25,187.5,326.0,0.0,0.0,67.35465321704243,18.0,13.0,16.0,1.0,1.0,22144.222255946315,1.2568446513042988,155.18523418940654,27.07152710583189,24.018429919679146,0.0,0.0,22786.39202760819,14038.387071108244,30644.78375201942,121.54778522076755,93.91183154999733,1.735556811117877,0.2931659428595148,0.0,1.0,13.514268902736228 
 01/01  12:00:00,11.025,4.483333333333333,7.784542396846135,0.0051541360981447,64.16666666666667,102553.33333333333,2.4833333333333334,270.0,-9.29036104181038,274.8333333333333,178.33333333333334,522.0,0.0,0.0,88.99806722252761,18.0,13.0,16.0,1.0,1.0,24074.154000294395,1.2470965633081141,170.37033391243872,30.693158061666946,9.018429919679145,0.0,0.0,23129.041524522676,25428.783590348077,49775.81922790995,129.70093542543398,95.33981064722913,2.3611348371285925,0.24852629322912248,0.0,1.0,13.514268902736228 
 01/01  13:00:00,11.9,3.875,7.97673624832078,0.004965416165943419,58.25,102479.16666666667,4.158333333333333,257.1666666666667,-7.194220371572025,283.6666666666667,177.0,506.9166666666667,0.0,0.0,87.6802101657329,18.0,13.0,16.0,2.1666666666666665,1.5833333333333333,24485.646384596534,1.242737283386523,186.40758670990581,31.037198602332747,-5.981570080320856,0.0,0.0,22954.527233894845,25024.753061695155,48528.22117821322,129.688720426478,95.73106930127295,2.34184548666293,0.2440888642223117,0.0,1.0,13.514268902736228 
 01/01  14:00:00,11.9,3.85,7.909175001977013,0.004910118823151936,57.583333333333336,102438.33333333333,4.875,248.0,-6.144162179354851,288.1666666666667,162.0,473.1666666666667,0.0,0.0,76.9672836280303,18.0,13.0,16.0,2.4166666666666665,2.0,24346.127787670554,1.2423517014403658,201.8672838259089,28.049148508034463,-20.981570080320854,0.0,0.0,21160.188468089622,21005.687146976354,44586.5399407628,130.62856434306056,94.19477851988836,2.2618883626724475,0.24493533268625112,0.0,1.0,13.514268902736228 
 01/01  15:00:00,11.958333333333334,4.1000000000000005,8.001059015796484,0.004965568256628634,58.0,102430.0,4.300000000000001,248.0,-5.547873813099869,290.75,140.16666666666666,361.3333333333333,0.0,0.0,55.61374748961864,18.0,13.0,16.0,2.5833333333333335,2.0,24545.184742697154,1.241886634223019,215.6452750899161,22.168242630861457,-35.98157008032086,0.0,0.0,17805.69905642421,12389.923236813973,32403.85461574006,126.81763750172176,89.38617730968816,1.9464726251012612,0.2640594702243587,0.0,1.0,13.514268902736228 
