Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,4.75,-0.04166666666666668,2.7317303800026913,0.003743314319928147,71.25,102137.5,1.7,77.16666666666667,-16.02486157784736,247.83333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.75,0.0,14167.877120693121,1.2729437516720645,25.335916757034955,-77.66834010736453,174.30842991967916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.772518039430425 
 01/01  02:00:00,4.441666666666666,-0.2666666666666667,2.443998382931744,0.003654897695208026,71.16666666666667,102217.5,1.7583333333333335,68.0,-15.397416174000265,250.25,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.4166666666666665,0.0,13634.020915053594,1.2755350423462455,63.92016686490979,-68.84819779239609,159.30842991967916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.772518039430425 
 01/01  03:00:00,4.283333333333334,0.075,2.481961963948556,0.0037442455167127735,73.75,102270.83333333333,2.3833333333333333,54.583333333333336,-16.021808775732314,247.83333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.0,0.0,13698.008667435235,1.2767466400452625,80.23232568867171,-57.011555322106766,144.30842991967916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.772518039430425 
 01/01  04:00:00,4.433333333333334,0.19999999999999998,2.6268169178513103,0.003786658131353702,73.83333333333333,102317.5,2.6833333333333336,45.0,-16.238101540333275,247.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.0,0.5833333333333334,13956.202757392408,1.2765525447732045,90.02776420090301,-44.62224704066531,129.30842991967916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.772518039430425 
 01/01  05:00:00,4.658333333333333,0.19999999999999998,2.775607715916365,0.0038018124156640894,73.0,102365.0,2.25,71.25,-16.086582045548273,247.58333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.4166666666666667,1.0,14221.90698668427,1.276079715605092,97.78415929667948,-32.212204757082155,114.30842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.772518039430425 
 01/01  06:00:00,4.233333333333333,0.43333333333333335,2.6288028855863113,0.003863720728825405,76.5,102442.5,2.1166666666666667,77.16666666666667,-15.97846311053405,248.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.5833333333333333,1.5833333333333333,13947.152111142088,1.2788770522821609,104.98937974368694,-20.014718354915477,99.30842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.772518039430425 
 01/01  07:00:00,4.133333333333334,0.8333333333333334,2.6702134779459055,0.003932772602213344,78.41666666666667,102480.0,2.5500000000000003,68.0,-16.129855117181478,247.41666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.4166666666666667,1.4166666666666667,14019.188723640686,1.279664547864997,112.39233761896294,-8.226163661086144,84.30842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.772518039430425 
 01/01  08:00:00,4.241666666666666,0.7666666666666666,2.743165795471039,0.003940679479677463,78.0,102509.16666666667,2.3916666666666666,68.0,-17.000727224890696,244.08333333333334,22.083333333333332,159.08333333333334,0.0,0.0,7.22016442758714,18.0,13.0,16.0,0.4166666666666667,0.4166666666666667,14148.672159439853,1.279512486430658,120.54486045133409,2.916443636451073,69.30842991967914,0.0,0.0,3153.0076803438374,748.364950215498,7174.071994532867,116.50413824932038,28.890785263447412,2.0953216581990897,0.22458749635985806,0.0,1.0,14.772518039430425 
 01/01  09:00:00,5.25,0.8333333333333334,3.34210663508137,0.003972632420917257,73.33333333333333,102530.0,1.4583333333333333,68.0,-17.240877704503475,243.16666666666666,52.25,561.5,0.0,0.0,36.57129754673834,18.0,13.0,16.0,0.5833333333333334,0.0,15249.513661444076,1.2750765958148926,129.97103442894704,13.083417887202225,54.308429919679135,0.0,0.0,8062.619075820796,10527.402625909794,44580.24560571782,154.2403779008778,78.44984688126836,4.059060973164196,0.16389018476323766,0.0,1.0,14.772518039430425 
 01/01  10:00:00,7.691666666666666,1.0,4.730044844870478,0.0040335480419643015,63.0,102547.5,0.8833333333333333,107.08333333333333,-14.4669386117529,253.91666666666666,71.08333333333333,733.75,0.0,0.0,68.91544963365152,18.0,13.0,16.0,2.75,0.0,17874.241441444276,1.264089977324838,141.18642142991172,21.802513409937408,39.308429919679135,0.0,0.0,10797.757133114159,25743.668190247932,68937.05150275839,152.0328216070366,93.86799249231126,4.755246078394573,0.13573795712839454,0.0,1.0,14.772518039430425 
 01/01  11:00:00,9.424999999999999,0.5916666666666667,5.444324922095429,0.0038864902052028714,53.916666666666664,102530.83333333333,1.1500000000000001,200.91666666666666,-11.231987173644645,266.8333333333333,95.41666666666667,811.0833333333334,0.0,0.0,96.3269855408028,18.0,13.0,16.0,3.4166666666666665,0.0,19258.55298340727,1.256417385749323,154.54866280876334,28.433357037052073,24.30842991967914,0.0,0.0,13938.949125738063,37691.10058392684,79139.10845935238,146.22669325478037,97.56775281767716,4.735078958306944,0.1418600584894815,0.0,1.0,14.772518039430425 
 01/01  12:00:00,10.616666666666667,0.3,5.941892031418214,0.0038014400772590235,48.666666666666664,102486.66666666667,1.925,260.8333333333333,-9.089606875684098,275.6666666666667,133.25,786.9166666666666,0.0,0.0,110.57113815049475,18.0,13.0,16.0,4.75,0.0,20250.25882261042,1.2507737899743208,169.8943460913151,32.243424926186755,9.308429919679137,0.0,0.0,18730.655668271884,41113.40905609313,77103.193416767,140.68394126679235,97.98071402366759,3.8717643925841307,0.1772239367541679,0.0,1.0,14.772518039430425 
 01/01  13:00:00,11.375,0.7083333333333334,6.458103733146199,0.0039130566721754965,47.583333333333336,102435.0,2.3000000000000003,270.0,-6.650940631228792,286.0,140.58333333333334,726.0,0.0,0.0,106.45855814636234,18.0,13.0,16.0,6.0,0.5833333333333334,21299.126093837334,1.246586466434126,186.20480955839048,32.66833316229383,-5.691570080320864,0.0,0.0,19561.806058841896,38346.17091035486,71073.6814460733,139.44588831279813,97.88432496213777,3.563206164912962,0.18480061038744297,0.0,1.0,14.772518039430425 
 01/01  14:00:00,11.733333333333334,1.5250000000000001,6.912883191937952,0.0041447643618057655,49.166666666666664,102369.16666666667,1.8916666666666666,270.0,-6.707642700602311,285.75,79.75,849.9166666666666,0.0,0.0,99.94877773217313,18.0,13.0,16.0,3.0833333333333335,0.4166666666666667,22246.350963080593,1.243758069046735,201.90917402109645,29.636983016429337,-20.69157008032086,0.0,0.0,11730.817144198707,41465.329463235066,83901.52879942367,147.3858311898381,98.71702516622594,5.89257607184685,0.114086365457039,0.0,1.0,14.772518039430425 
