Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,0.375,-1.3,-0.2757150145399767,0.0034436642321322166,89.0,101530.83333333333,1.3583333333333334,315.0,-21.32798667055198,228.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.5833333333333334,0.0,8991.64140408572,1.2862366956588966,43.48536518322258,-72.16382782094384,166.61842991967913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.945310669610523 
 01/01  02:00:00,-0.11666666666666665,-1.8,-0.7425083683218795,0.0033226488641521688,89.0,101385.83333333333,1.7833333333333332,328.4166666666667,-21.32798667055198,228.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.0,0.0,8191.795296766602,1.2869625752538336,68.99099220315972,-62.10210040260687,151.61842991967913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.945310669610523 
 01/01  03:00:00,-0.31666666666666665,-2.033333333333333,-0.9691685621448766,0.003242533298789788,88.41666666666667,101510.0,1.5833333333333333,324.5833333333333,-21.48924876360063,227.41666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.0,0.0,7789.2759681745765,1.2896485098914594,82.56961492959057,-50.422208382060454,136.61842991967913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.945310669610523 
 01/01  04:00:00,-0.4583333333333333,-2.1999999999999997,-1.0965737620888225,0.0032071481380459045,88.58333333333333,101618.33333333333,1.5,328.4166666666667,-20.961213200211137,229.33333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.1666666666666665,0.0,7557.600748200682,1.2917685294898325,92.12099850172454,-38.384263816108906,121.61842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.945310669610523 
 01/01  05:00:00,-0.44166666666666665,-2.4333333333333336,-1.221875640677807,0.003117154863857762,86.08333333333333,101724.16666666667,1.5,338.0,-19.710814304261152,233.91666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,3.0,0.0,7349.4512529278945,1.2932209520354903,100.26034798906672,-26.3993687898555,106.61842991967912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.945310669610523 
 01/01  06:00:00,-0.6916666666666668,-2.8333333333333335,-1.513126120299676,0.0030164738965974846,85.16666666666667,101857.5,2.025,338.0,-19.936843463604493,233.08333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.4166666666666665,0.0,6845.131812648541,1.2963136615052218,108.10505164179268,-14.70858401331765,91.61842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.945310669610523 
 01/01  07:00:00,-0.43333333333333335,-3.0,-1.3845158083417644,0.003003354775226376,83.08333333333333,101937.5,1.9333333333333333,324.5833333333333,-21.144693467672102,228.66666666666666,3.4166666666666665,6.916666666666667,0.0,0.0,0.7057247670295449,18.0,13.0,16.0,2.0,0.0,7073.36212490606,1.2961302474384253,116.32418330943786,-3.5429804192496213,76.61842991967914,0.0,0.0,393.90058764757435,1.9626238804020746,121.25007587234381,19.214662812076796,2.9216885752372,0.23536541068856057,0.06556857591991383,0.0,1.0,12.945310669610523 
 01/01  08:00:00,0.7166666666666668,-2.475,-0.5043089419196146,0.0031511973408410838,79.83333333333333,101973.33333333333,1.366666666666667,315.0,-20.801322188491437,229.91666666666666,42.75,166.41666666666666,0.0,0.0,13.511812655054177,18.0,13.0,16.0,2.0,0.0,8605.339505581844,1.2908378997748058,125.45613677703635,6.809454622122267,61.61842991967914,0.0,0.0,5460.119236708445,1564.1523963008751,10006.455198972277,125.80626338943917,52.56649035883873,1.8770969991935555,0.253397162538664,0.0,1.0,12.945310669610523 
 01/01  09:00:00,2.8166666666666664,-0.7583333333333333,1.3911176222853792,0.0035744121828626316,77.83333333333333,102007.5,1.0833333333333333,328.4166666666667,-18.503852466624778,238.41666666666666,68.08333333333333,612.6666666666666,0.0,0.0,48.01569073477899,18.0,13.0,16.0,2.0,0.0,11788.628630818921,1.2805845425352342,136.00070497088223,15.954591307897347,46.61842991967914,0.0,0.0,10204.100715245475,14749.606178344658,52139.79478480761,149.8564585939682,84.35866101578154,3.7916415127836953,0.17717838391393534,0.0,1.0,12.945310669610523 
 01/01  10:00:00,6.175,0.7833333333333333,3.82950776447859,0.003990437930711371,68.83333333333333,102025.83333333333,1.175,338.0,-15.466042922927576,250.0,65.16666666666667,814.9166666666666,0.0,0.0,77.80114056352923,18.0,13.0,16.0,1.4166666666666667,0.0,16230.693535219556,1.2645851142910602,148.36568136354177,23.357964869995754,31.61842991967914,0.0,0.0,9941.700664377071,31028.884280339804,77995.39409218096,152.55923523816332,95.65046034957071,5.758313934426478,0.11714438855227956,0.0,1.0,12.945310669610523 
 01/01  11:00:00,9.375,1.0250000000000001,5.572392493683242,0.004040190592069619,56.0,101971.66666666667,1.3583333333333334,290.8333333333333,-13.15353634157782,259.0833333333333,67.41666666666667,875.0,0.0,0.0,96.64420495720083,18.0,13.0,16.0,1.0,0.0,19595.007537961912,1.2494885623844247,162.64106894712378,28.368263209310715,16.61842991967914,0.0,0.0,10070.598696955085,40912.9864985425,86084.56576200326,149.3872357429655,98.3788882623927,6.655144065526628,0.10077536843508474,0.0,1.0,12.945310669610523 
 01/01  12:00:00,10.966666666666667,-0.38333333333333336,5.8630885105326,0.003629447359285384,45.166666666666664,101889.16666666667,0.7583333333333333,65.91666666666667,-11.989392382995106,263.75,70.5,885.8333333333334,0.0,0.0,103.67824664228958,18.0,13.0,16.0,1.0,0.0,20170.69332030862,1.2422894142178125,178.27853620218536,30.372240967104688,1.6184299196791392,0.0,0.0,10441.804962386794,44298.77814057122,87613.5275972674,148.11146134016124,98.90514908040535,6.781486082529416,0.09900819606853271,0.0,1.0,12.945310669610523 
 01/01  13:00:00,11.766666666666667,-1.8250000000000004,5.825209168008006,0.0032780053881273784,38.666666666666664,101830.83333333333,0.8250000000000001,152.08333333333334,-11.824289767533761,264.4166666666667,75.91666666666667,858.6666666666666,0.0,0.0,98.68648416669527,18.0,13.0,16.0,0.4166666666666667,0.0,20093.394148070613,1.2387880385674142,194.0662568394638,29.072100864613944,-13.381570080320861,0.0,0.0,11233.458037381473,41075.23589777969,84466.96442393142,148.01833726654618,98.35774640436267,6.0863552240039285,0.11124177742264157,0.0,1.0,12.945310669610523 
 01/01  14:00:00,12.333333333333334,-1.5,6.2119099356966245,0.0033625034527068405,38.166666666666664,101780.83333333333,1.3166666666666667,167.16666666666666,-11.49569897520747,265.75,96.75,735.3333333333334,0.0,0.0,80.90336535419794,18.0,13.0,16.0,0.5833333333333334,0.0,20879.55446516033,1.2355546144824765,208.70833452905606,24.664895197512806,-28.381570080320866,0.0,0.0,14139.497907065304,29175.98576605479,69646.35602512969,146.1924616367921,94.64083753850848,4.000192114749994,0.1647621604407933,0.0,1.0,12.945310669610523 
 01/01  15:00:00,12.091666666666669,0.4583333333333333,6.7350523342551165,0.0038865131602650207,44.833333333333336,101800.83333333333,1.3416666666666668,144.58333333333334,-10.476492314698504,269.9166666666667,71.83333333333333,584.3333333333334,0.0,0.0,50.29689232837304,18.0,13.0,16.0,1.0,0.0,21957.414108873923,1.235809040450878,221.4952193123439,17.720623367839167,-43.38157008032086,0.0,0.0,10818.84926339068,15782.212445160078,51093.69000782642,150.71861303842329,87.13922325452306,3.6401261946520993,0.1669276360228048,0.0,1.0,12.945310669610523 
