Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,3.7083333333333335,2.3916666666666666,3.171487498595973,0.004486582213913564,91.75,102425.83333333333,1.925,305.8333333333333,-17.38084591524104,242.66666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.5833333333333334,0.0,14978.48171110543,1.2798348162398943,25.552727931137397,-79.7482453561618,175.67842991967916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.027268190814553 
 01/01  02:00:00,2.5583333333333336,0.8333333333333334,1.8791250128522154,0.0040005754720658085,89.16666666666667,102497.5,1.8,302.1666666666667,-18.99072805962791,236.58333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.4166666666666667,0.0,12594.942653382162,1.2870548299253957,66.51488173047797,-70.67787600335596,160.67842991967916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.027268190814553 
 01/01  03:00:00,2.5416666666666665,1.175,1.9525151440831632,0.004058197029651521,90.58333333333333,102533.33333333333,2.033333333333333,293.0,-19.035502050272072,236.41666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.0,0.0,12722.44969137181,1.287464129575219,82.19828196562135,-58.43693410139493,145.67842991967916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.027268190814553 
 01/01  04:00:00,2.3833333333333333,1.3,1.897306594477848,0.004081585114384538,92.16666666666667,102567.5,2.1999999999999997,293.0,-19.30464429043082,235.41666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.0,0.0,12620.750709288865,1.2885851292608483,91.21684545906372,-45.75136573769836,130.67842991967916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.027268190814553 
 01/01  05:00:00,2.3583333333333334,1.5333333333333332,1.9612785161621742,0.004136678524012315,93.58333333333333,102585.83333333333,2.2583333333333333,293.0,-19.574645347944127,234.41666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.0,0.0,12733.46886234703,1.2888189313960663,98.35262503839556,-33.08422958498369,115.67842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.027268190814553 
 01/01  06:00:00,2.283333333333333,1.4666666666666668,1.9495948053279284,0.004156135940485223,94.58333333333333,102648.33333333333,2.533333333333333,293.0,-19.687365623982856,234.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.0,0.0,12706.273018121428,1.289915329978798,105.03682468756391,-20.633472461989623,100.67842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.027268190814553 
 01/01  07:00:00,2.5500000000000003,1.5333333333333332,2.1285592137992873,0.004172934579575197,93.25,102725.0,2.7583333333333333,293.0,-19.687365623982856,234.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.0,0.0,13018.385832425864,1.289595807797565,111.97236522206715,-8.573958364935892,85.67842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.027268190814553 
 01/01  08:00:00,3.3833333333333333,1.7,2.6352424306599107,0.00419894193908752,88.5,102773.33333333333,2.8000000000000003,293.0,-19.21511273314869,235.75,22.555555555555557,200.05555555555554,0.0,0.0,7.862218632811003,18.0,13.0,16.0,0.0,0.0,13927.421112697486,1.2862619759035574,119.68812919976864,2.8746152727414738,70.67842991967915,0.0,0.0,3273.956583569068,905.4100720354969,8961.239557945117,118.87798116952384,30.809023887203978,2.421343087484203,0.2356997307196366,0.0,1.0,16.027268190814553 
 01/01  09:00:00,4.908333333333333,2.0500000000000003,3.6872473751275567,0.004356147313604016,82.5,102819.16666666667,3.033333333333333,293.0,-17.946458387685585,240.5,49.75,603.8333333333334,0.0,0.0,38.69272806832694,18.0,13.0,16.0,0.0,0.0,15866.37424197529,1.2794603624570167,128.7097300631773,13.397706170523684,55.67842991967914,0.0,0.0,7762.68005323659,11935.502760297553,49259.56573359197,155.9408914156452,80.4977893784098,4.489587496752029,0.154131288906405,0.0,1.0,16.027268190814553 
 01/01  10:00:00,7.683333333333334,3.1750000000000003,5.597385641289908,0.004702918470587116,73.58333333333333,102857.5,2.7916666666666665,293.0,-15.615787982636713,249.41666666666666,59.583333333333336,795.5833333333334,0.0,0.0,73.07807659747444,18.0,13.0,16.0,0.0,0.0,19549.608121349647,1.2665994068796678,139.5896254010826,22.531418182739856,40.67842991967914,0.0,0.0,9187.547990232526,29241.567153083568,75927.42338848648,154.28691716878078,95.35760520279023,5.95571641683992,0.11091545296620926,0.0,1.0,16.027268190814553 
