Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,-2.558333333333333,-6.308333333333334,-3.7662166381986952,0.0023593793140774966,76.58333333333333,100100.83333333333,2.65,244.25,-20.623783872863214,230.58333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,3.5833333333333335,1.5833333333333333,3318.9157967538717,1.284111968143154,39.015471365564856,-69.34511545347273,165.91842991967917,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.027864227692627 
 01/01  02:00:00,-1.0416666666666667,-5.308333333333333,-2.598012644972241,0.002516958068033393,72.0,100170.83333333333,2.9000000000000004,234.58333333333334,-18.83430817367054,237.16666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,4.0,2.5833333333333335,5243.179213251052,1.2775080219457868,64.2689803778638,-60.28403491105504,150.91842991967917,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.027864227692627 
 01/01  03:00:00,-1.0,-5.1000000000000005,-2.4925971764515857,0.0025652970824295183,73.16666666666667,100229.16666666667,2.6083333333333334,225.0,-18.14475244978283,239.75,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,4.0,3.0,5406.045326319897,1.2779573505080366,79.19604723515447,-49.35259996907848,135.91842991967917,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.027864227692627 
 01/01  04:00:00,-1.0583333333333333,-4.516666666666667,-2.3340787839005444,0.0026832833934151514,76.91666666666667,100261.66666666667,3.158333333333333,225.0,-17.197432706457707,243.33333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,4.583333333333333,3.5833333333333335,5641.993748160773,1.278404312695457,89.9276385480536,-37.8925468180445,120.91842991967916,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.027864227692627 
 01/01  05:00:00,-1.3916666666666666,-3.8666666666666667,-2.3703052156719604,0.0027798843019326614,81.91666666666667,100258.33333333333,2.475,185.91666666666666,-16.30342267817963,246.75,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,5.0,4.0,5546.725713477353,1.2797322049587265,99.01472066095727,-26.411567380224636,105.91842991967916,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.027864227692627 
 01/01  06:00:00,-1.1916666666666669,-3.1750000000000003,-1.9993648754229285,0.002940228379351891,85.16666666666667,100267.5,1.95,184.25,-15.97846311053405,248.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,4.416666666666667,4.0,6149.412421353602,1.278580269197674,107.64365304360327,-15.202543342974478,90.91842991967916,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.027864227692627 
 01/01  07:00:00,-1.1333333333333333,-2.275,-1.6098084017843803,0.003164461822316792,91.25,100291.66666666667,2.491666666666667,229.25,-16.281579316791902,246.83333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,4.0,4.0,6768.63106377331,1.2781550497248824,116.52593834662015,-4.525975733391861,75.91842991967916,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.027864227692627 
 01/01  08:00:00,-0.7750000000000002,-2.4250000000000003,-1.410667107282001,0.0031631790885496974,88.58333333333333,100305.83333333333,2.1750000000000003,300.5,-15.74193898364743,248.91666666666666,39.416666666666664,26.25,0.0,0.0,8.346268299571367,18.0,13.0,16.0,4.583333333333333,4.583333333333333,7127.5914993314445,1.2766572613212386,126.20464763989281,5.314526622435047,60.91842991967915,0.0,1.0,4464.785892095007,146.5021377089178,1548.5466336253846,113.07543552739742,59.72985154435088,1.1587397322495294,0.2976951352875449,0.0,1.0,10.027864227692627 
 01/01  09:00:00,-0.5750000000000001,-2.566666666666667,-1.2760290677788415,0.0031773883172924195,87.5,100327.5,1.6833333333333333,272.0833333333333,-16.566374662775985,245.75,74.33333333333333,36.58333333333333,0.0,0.0,16.867894648894303,18.0,13.0,16.0,3.25,3.25,7365.271967139787,1.2759661990080835,137.14330113411458,13.925495466708176,45.91842991967915,0.0,1.0,8551.989075222502,825.3059659808358,2959.538376591976,114.77801011364035,55.962891099294154,1.1242272076653428,0.21080210520968026,0.0,1.0,10.027864227692627 
 01/01  10:00:00,-0.17500000000000002,-2.6333333333333333,-1.0530642252864193,0.0031794115203003935,84.75,100305.0,2.0083333333333333,212.16666666666666,-18.478710012144987,238.5,143.58333333333334,260.0,0.0,0.0,47.720588570517315,18.0,13.0,16.0,3.1666666666666665,3.1666666666666665,7774.621752343832,1.2738077500383171,149.6754368885086,20.800679752819665,30.918429919679152,0.0,1.0,17122.43864822912,8710.997179652439,23815.262984580317,119.1512294118118,91.10460361366431,1.6392763679719746,0.282635805089878,0.0,1.0,10.027864227692627 
 01/01  11:00:00,0.9,-3.3249999999999997,-0.6952253078483227,0.0030317378621998407,74.58333333333333,100227.5,3.2916666666666665,215.83333333333334,-16.984448409181983,244.16666666666666,150.58333333333334,639.5833333333334,0.0,0.0,85.11432910119824,18.0,13.0,16.0,4.0,4.0,8491.589628723194,1.2681312438544583,163.81884192320913,25.35672939543872,15.91842991967915,0.0,1.0,19783.950048315593,25775.25868653003,59945.47001825486,131.33772719917826,93.69378965296211,2.704933115019344,0.2463057874729636,0.0,1.0,10.027864227692627 
 01/01  12:00:00,2.216666666666667,-3.466666666666667,0.03217646134002386,0.002974628219151081,66.5,100131.66666666667,4.116666666666666,225.0,-15.913961556433444,248.25,157.91666666666666,792.1666666666666,0.0,0.0,103.7039281790059,18.0,13.0,16.0,2.8333333333333335,2.25,9679.026186829165,1.2609771338430154,179.05312116974721,27.076058521954504,0.9184299196791503,0.0,1.0,21083.81559386502,33999.82958706536,74690.14829224587,133.5613351858976,94.28285759419755,3.112841371110651,0.24301152365143172,0.0,1.0,10.027864227692627 
