Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,-1.0416666666666667,-2.025,-1.4135045295058273,0.0033713149635948582,93.25,97130.83333333333,0.9249999999999999,124.25,-18.96342004219449,236.83333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,3.75,1.1666666666666667,7378.361478065155,1.2370540804964676,37.0058440078836,-73.11731251991984,168.89842991967916,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.928957146374055 
 01/01  02:00:00,-0.44166666666666665,-0.9,-0.6125856874000871,0.0036930655369179326,97.0,96841.66666666667,1.1833333333333333,68.0,-15.204229956164454,251.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,4.416666666666667,2.0,8789.299231248566,1.2300163784157565,65.691368716908,-63.678922674230535,153.8984299196791,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.928957146374055 
 01/01  03:00:00,-0.2833333333333333,-0.6666666666666666,-0.4554023766716071,0.0037360930047613573,97.0,96993.33333333333,0.9833333333333334,54.583333333333336,-15.204229956164454,251.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,4.583333333333333,2.0,9057.07364484439,1.2311432021688886,80.51010128690858,-52.19066752492363,138.89842991967916,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.928957146374055 
 01/01  04:00:00,-0.14166666666666666,-0.5,-0.2809935571973797,0.0037968364070621926,97.58333333333333,97153.33333333333,1.4833333333333334,84.66666666666667,-15.806312507397337,248.66666666666666,0.0,0.0,1.6203703703703703e-7,0.0005833333333333333,0.0,18.0,13.0,16.0,3.25,1.4166666666666667,9352.308778015873,1.2324145623743563,90.56102787379253,-40.2208722947019,123.89842991967915,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.928957146374055 
 01/01  05:00:00,-0.09999999999999999,-0.27636245722982133,-0.1816913976253197,0.003842166752290549,98.58333333333333,97330.83333333333,1.4333333333333336,99.58333333333333,-18.551917277242385,238.25,0.0,0.0,1.1574074074074073e-7,0.00041666666666666664,0.0,18.0,13.0,16.0,1.4166666666666667,1.0,9507.830277885112,1.2343884202190722,98.91302045728774,-28.25125354968146,108.89842991967915,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.928957146374055 
 01/01  06:00:00,-0.09999999999999999,-0.2794704909736983,-0.2248856860136023,0.0038046181521986682,97.83333333333333,97538.33333333333,1.0416666666666667,155.91666666666666,-21.19135932254021,228.5,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.4166666666666667,0.4166666666666667,9413.930462068336,1.2370942850936457,106.8229613035087,-16.539004603665862,93.89842991967913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.928957146374055 
 01/01  07:00:00,-0.09999999999999999,-0.39999999999999997,-0.2729153056854617,0.003766397171303721,97.0,97682.5,0.7666666666666666,215.83333333333334,-22.207110810869565,224.83333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.0,0.0,9318.34918719817,1.2389984153126006,115.00514786025157,-5.314163445685476,78.89842991967913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.928957146374055 
 01/01  08:00:00,0.016666666666666663,-0.6333333333333333,-0.26072540853289466,0.0037304845363628826,95.25,97743.33333333333,1.0666666666666667,238.41666666666666,-22.767049082586865,222.83333333333334,69.08333333333333,256.5,0.0,0.0,19.272590897715602,18.0,13.0,16.0,0.0,0.0,9346.579043453134,1.2393116754921454,124.00986536531434,5.146042007554112,63.89842991967913,0.0,1.0,8210.99691354415,1400.9817757403405,11010.865964394106,117.5831548811741,36.00161844295094,1.8370572388299804,0.5275939598765597,0.0,1.0,10.928957146374055 
 01/01  09:00:00,0.7416666666666667,-0.975,0.06135799731107714,0.0036604832999235708,88.75,97789.16666666667,1.2249999999999999,155.83333333333334,-22.510134942439034,223.75,119.08333333333333,537.0,0.0,0.0,50.86692580201437,18.0,13.0,16.0,0.0,0.0,9904.938476562706,1.2367504768695838,134.34019192522499,14.4665698175746,48.89842991967914,0.0,1.0,15116.447620578825,10682.604603011634,41925.88826751821,126.86507679156921,77.72481499941411,2.334421148667459,0.3264258699050452,0.0,1.0,10.928957146374055 
 01/01  10:00:00,1.4333333333333333,-1.0999999999999999,0.43784667401770383,0.0036332495660481496,83.83333333333333,97850.83333333333,1.2750000000000001,116.25,-21.35192034641643,227.91666666666666,153.75,555.75,0.0,0.0,72.75921655229872,18.0,13.0,16.0,0.5833333333333334,0.5833333333333334,10536.491524377338,1.234465564788861,146.4222624967576,22.13734036257927,33.89842991967914,0.0,1.0,19594.793960100124,19081.10148615266,50399.01077212477,127.90481670153945,90.61177669111429,2.3427742126822735,0.27604116837537346,0.0,1.0,10.928957146374055 
