Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,6.4750000000000005,4.55,5.542454631649009,0.005181720547227359,87.41666666666667,102230.0,0.8166666666666665,80.83333333333333,-11.359155762411405,266.3333333333333,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.75,1.1666666666666667,19527.851496783504,1.2633316744660017,21.293966440906445,-79.41299893633516,177.21842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.389138082000942 
 01/01  02:00:00,6.366666666666666,3.8000000000000003,5.121505265289769,0.0048873729851106286,83.16666666666667,102320.83333333333,0.7833333333333333,90.0,-10.578226608218964,269.5,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.4166666666666665,1.4166666666666667,18678.3527796742,1.2655383957199466,61.81478311918767,-71.49912645534096,162.21842991967912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.389138082000942 
 01/01  03:00:00,5.8500000000000005,3.625,4.734927213286018,0.004793028199316021,84.58333333333333,102379.16666666667,0.7583333333333333,90.0,-12.052072501108151,263.5,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.0,1.0,17917.52663520392,1.2687960975938644,79.69676227155672,-59.59591691769572,147.21842991967912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.389138082000942 
 01/01  04:00:00,5.25,3.3249999999999997,4.316538084007074,0.004712210389994515,86.75,102423.33333333333,1.0333333333333334,77.16666666666667,-13.698849510492229,256.9166666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.4166666666666667,1.0,17106.35745792409,1.2722430873470216,89.55949082884872,-47.05691933434844,132.21842991967912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.389138082000942 
 01/01  05:00:00,5.0,3.025,4.1237850925126605,0.00466397552194918,87.41666666666667,102475.0,1.0833333333333333,68.0,-15.333908565371408,250.5,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.0,0.4166666666666667,16731.87342834622,1.2741264147309748,97.11593771338691,-34.47910422683757,117.21842991967912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.389138082000942 
 01/01  06:00:00,5.175000000000001,3.25,4.304730800127595,0.00472781017115084,87.58333333333333,102540.83333333333,1.0583333333333333,68.0,-16.281579316791902,246.83333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.4166666666666667,0.0,17069.50522402636,1.2740135925284806,104.03762386165617,-22.090475612631096,102.21842991967912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.389138082000942 
 01/01  07:00:00,5.533333333333334,3.5,4.553928913086879,0.004771617966866142,86.25,102575.83333333333,0.9833333333333334,68.0,-16.043585344211056,247.75,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.0,0.0,17542.724615768017,1.2727209180332195,111.10301134673841,-10.073325492871955,87.21842991967912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.389138082000942 
 01/01  08:00:00,6.05,3.5,4.8281358879642005,0.004771671927184394,83.25,102615.0,0.7833333333333333,41.75,-15.418720564755963,250.16666666666666,19.333333333333332,25.166666666666668,0.0,0.0,4.28057562289493,18.0,13.0,16.0,0.0,0.0,18066.614617409807,1.270850833551126,118.86288892271689,1.3545997443751656,72.21842991967912,0.0,0.0,2249.6958415588756,96.36935797529354,1153.4005628722787,76.38841237716811,22.61317057911035,0.8250287426133056,0.19892509070898837,0.0,1.0,15.389138082000942 
 01/01  09:00:00,7.0,3.6750000000000003,5.453457765863849,0.0048734578719300875,79.66666666666667,102663.33333333333,0.6416666666666667,23.0,-14.756070546970022,252.75,75.16666666666667,203.58333333333334,0.0,0.0,24.239752050224496,18.0,13.0,16.0,0.0,0.0,19285.550510636363,1.2669336022520366,127.8404040431687,11.888673143277181,57.21842991967913,0.0,0.0,9663.572934607673,3414.6979509122557,14779.786349267351,127.60061069336241,69.04569019466241,1.7307069071059737,0.2572587078910194,0.0,1.0,15.389138082000942 
 01/01  10:00:00,8.725,3.8000000000000003,6.387519704546629,0.004919013634859544,71.58333333333333,102703.33333333333,0.775,23.0,-13.55130951753973,257.5,103.25,549.5833333333334,0.0,0.0,60.8145998144995,18.0,13.0,16.0,0.0,0.0,21149.151167696895,1.2595828661412514,138.57532719218452,21.084754974428332,42.21842991967913,0.0,0.0,14516.086373515443,18097.99654153718,49321.99024532208,140.70504698532523,89.16916952489184,2.924308670851127,0.20567595697067523,0.0,1.0,15.389138082000942 
