Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,4.183333333333334,-0.033333333333333326,2.3542626975728616,0.0037137194291146577,73.33333333333333,101802.5,1.5416666666666667,13.416666666666666,-12.757634193923613,260.6666666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,5.166666666666667,0.0,13520.285416518926,1.2714234321344122,36.456743197056866,-74.86122160527076,170.11842991967913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.934777772992673 
 01/01  02:00:00,3.658333333333333,-0.19999999999999998,2.0263237250790844,0.003687481693084291,75.58333333333333,101845.83333333333,1.5583333333333333,35.833333333333336,-11.927271267638332,264.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,6.0,0.0,12923.288564339147,1.2744272536020034,66.97961365765876,-65.1753358370802,155.11842991967913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.934777772992673 
 01/01  03:00:00,3.641666666666667,0.033333333333333326,2.118919174630756,0.003760290334816133,77.16666666666667,101855.83333333333,1.1333333333333333,32.166666666666664,-12.36150827128671,262.25,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,5.416666666666667,0.0,13089.00772210692,1.2744808199625373,81.53291878112583,-53.397435396199405,140.11842991967913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.934777772992673 
 01/01  04:00:00,3.4250000000000003,0.19999999999999998,2.0510202269772946,0.0037996711902880463,79.16666666666667,101848.33333333333,1.5583333333333336,49.25,-13.257164228725543,258.6666666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,4.416666666666667,0.5833333333333334,12968.51807012623,1.2753051432137406,91.14229135004064,-41.18592371768531,125.11842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.934777772992673 
 01/01  05:00:00,3.008333333333333,0.19999999999999998,1.790793620417839,0.003781608262173388,81.16666666666667,101869.16666666667,1.2833333333333334,182.08333333333334,-13.529267984814178,257.5833333333333,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,4.583333333333333,1.0,12501.620312060804,1.277527805473631,99.08604291418222,-28.993627748633426,110.11842991967912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.934777772992673 
 01/01  06:00:00,3.3249999999999997,0.19999999999999998,1.990218439895485,0.0037933009948408415,79.66666666666667,101930.83333333333,1.5166666666666666,174.66666666666666,-12.404106332276598,262.0833333333333,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,5.0,2.1666666666666665,12851.364199137666,1.276813609221161,106.6241161995203,-17.056223225687926,95.11842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.934777772992673 
 01/01  07:00:00,3.875,0.43333333333333335,2.355323762382994,0.0038302173843912345,77.41666666666667,101995.0,1.75,9.583333333333334,-11.249896618182609,266.75,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,4.416666666666667,3.5833333333333335,13500.490897839545,1.275004778366998,114.4577818938766,-5.588070268799203,80.11842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.934777772992673 
 01/01  08:00:00,4.583333333333333,0.775,2.862957998808396,0.00391170240636451,75.25,102031.66666666667,1.6166666666666665,0.0,-11.51641089783511,265.6666666666667,38.666666666666664,333.24999999999994,0.0,0.0,14.669480669164818,18.0,13.0,16.0,3.4166666666666665,2.8333333333333335,14421.795852885878,1.2720458301750057,123.13289806342242,5.146667119079179,65.11842991967914,0.0,0.0,5467.78716765531,2011.6691071543453,16571.451797620397,139.25020068318884,44.26757020585726,2.963963338789442,0.30872408186130595,0.0,1.0,13.934777772992673 
 01/01  09:00:00,5.641666666666667,0.725,3.487492026528713,0.003942951557078113,70.5,102069.16666666667,1.5833333333333333,333.75,-12.50685356192912,261.6666666666667,66.33333333333333,653.9166666666666,0.0,0.0,47.200714066830805,18.0,13.0,16.0,2.4166666666666665,1.4166666666666667,15571.403490515184,1.2676194673809094,133.16587526593392,14.782766583957281,50.11842991967915,0.0,0.0,9933.74994038458,14149.58532990494,53917.55041222344,149.70799979367652,81.82642270749099,3.954289854038995,0.18587072761693457,0.0,1.0,13.934777772992673 
 01/01  10:00:00,7.383333333333333,1.5333333333333334,4.727334267771525,0.004180568664371706,66.25,102095.83333333333,1.7333333333333334,328.4166666666667,-12.631107575513616,261.1666666666667,67.58333333333333,825.5833333333334,0.0,0.0,77.6786669688878,18.0,13.0,16.0,1.4166666666666667,1.0,17931.945958658376,1.2596059438028313,145.02382293806056,22.810682521662812,35.11842991967914,0.0,0.0,10307.855690222448,30575.6843546572,78569.09774515497,152.5488364199191,95.1057605423553,5.5707691967773085,0.12383294894756318,0.0,1.0,13.934777772992673 
