Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,0.433333333,-1.833333333,-0.420498286,0.003308713,85.58333333,101738.3333,3.875,191.75,-8.847986182,276.75,0,0,1.62E-07,0.000583333,0,18,13,16,7,5.166666667,8713.345554,1.288901267,36.53539064,-69.82662315,166.9884299,0.333333333,0,0,0,0,0,0,0,0,0,1,11.16540896
 01/01  02:00:00,2.216666667,-1.466666667,0.805355735,0.00341885,77.5,101635,5.266666667,260.8333333,-6.182679855,288,0,0,1.16E-07,0.000416667,0,18,13,16,7,6,10791.81429,1.278996512,62.88296282,-61.00910234,151.9884299,0.166666667,0,0,0,0,0,0,0,0,0,1,11.16540896
 01/01  03:00:00,2.358333333,-2.266666667,0.589667025,0.003205912,72.08333333,101803.3333,5.275,270,-6.453556236,286.8333333,0,0,0,0,0,18,13,16,7,4.833333333,10401.59316,1.28089226,78.29152929,-50.15449903,136.9884299,0,0,0,0,0,0,0,0,0,0,1,11.16540896
 01/01  04:00:00,2.4,-2.833333333,0.341535088,0.003013217,67.66666667,101951.6667,5.925,270,-6.919676112,284.8333333,0,0,0,0,0,18,13,16,7.583333333,5.166666667,9960.934176,1.282960103,89.21957957,-38.71455745,121.9884299,0,0,0,0,0,0,0,0,0,0,1,11.16540896
 01/01  05:00:00,2.633333333,-3.233333333,0.327382143,0.002905067,64.25,102062.5,6.125,270,-6.570153479,286.3333333,0,0,0,0,0,18,13,16,8,6.583333333,9925.694008,1.283490298,98.38166458,-27.22749227,106.9884299,0,0,0,0,0,0,0,0,0,0,1,11.16540896
 01/01  06:00:00,2.8,-4.858333333,-0.060132932,0.002638336,57.75,102181.6667,6.466666667,283.4166667,-6.589378947,286.25,0,0,0,0,0,18,13,16,8,4.666666667,9425.605386,1.284761239,107.0212856,-15.99353015,91.98842992,0,0,0,0,0,0,0,0,0,0,1,11.16540896
 01/01  07:00:00,2.916666667,-5.608333333,-0.321510569,0.002485166,54,102251.6667,6.8,279.5833333,-6.744519925,285.5833333,0,0,0,0,0,18,13,16,8.583333333,4.75,9159.510877,1.285413167,115.8701983,-5.272608811,76.98842992,0,0,0,0,0,0,0,0,0,0,1,11.16540896
 01/01  08:00:00,2.941666667,-5.108333333,-0.041434381,0.002570011,55.75,102271.6667,6.391666667,270,-5.971110144,288.9166667,7.75,0,0,0,1.55,18,13,16,9,6.583333333,9397.399903,1.285373502,125.4788173,4.636418511,61.98842992,0,0,951.9661706,0,0,125.0024897,0,0.999994662,0.051839335,0,1,11.16540896
 01/01  09:00:00,2.958333333,-4.9,0.128966321,0.002630865,57,102280,5.458333333,283.4166667,-6.571338988,286.3333333,37,0,0,0,7.4,18,13,16,7.833333333,4.666666667,9566.756697,1.28527541,136.3162011,13.34768523,46.98842992,0,0,4411.989187,0,0,119.4075664,23.16120244,0.999999175,0.110342345,0,1,11.16540896
 01/01  10:00:00,3.058333333,-4.9,0.135586788,0.002595443,55.83333333,102268.3333,5.058333333,293,-7.761110289,281.25,70.41666667,0,0,0,14.08333333,18,13,16,7.583333333,4.75,9578.937423,1.284736388,148.7294777,20.36300326,31.98842992,0,0,8339.955143,0,0,118.4209526,49.43713857,0.999999502,0.143361742,0,1,11.16540896
 01/01  11:00:00,3.1,-4.316666667,0.273999023,0.00267536,57.33333333,102195.8333,5.158333333,293,-7.369213112,282.9166667,83.16666667,0,0,0,16.63333333,18,13,16,8,6,9821.3359,1.283467778,162.7669233,25.10162458,16.98842992,0,0,9945.310354,0,0,119.5769937,57.10384731,0.999999521,0.139304988,0,1,11.16540896
 01/01  12:00:00,3.216666667,-4.483333333,0.368161828,0.002696295,57.25,102091.6667,4.966666667,293,-7.70284122,281.5,85.33333333,0,0,0,17.06666667,18,13,16,6.833333333,4.25,9991.626717,1.281575409,177.9507037,27.03466791,1.98842992,0,0,10263.95262,0,0,120.3666391,58.84966428,0.999999503,0.133517688,0,1,11.16540896
 01/01  13:00:00,2.541666667,-3.266666667,0.386530506,0.00298365,66.5,102032.5,3.108333333,319.25,-8.154952495,279.5833333,51.16666667,0,1.62E-07,0.000583333,10.23333333,18,13,16,7.166666667,4.75,10029.88921,1.28338004,193.2854259,25.90465741,-13.01157008,0.333333333,0,6358.132027,0,0,124.3513322,51.32579961,0.999999195,0.083086997,0,1,11.16540896
 01/01  14:00:00,1.941666667,-2.625,0.181890041,0.003087022,71.66666667,102020,2.658333333,290.8333333,-7.506094363,282.3333333,43.5,0,1.16E-07,0.000416667,8.7,18,13,16,8,6.583333333,9682.667423,1.285807141,207.6982683,21.86539231,-28.01157008,0.166666667,0,5374.19429,0,0,123.5262536,44.91928257,0.999999164,0.083074816,0,1,11.16540896
 01/01  15:00:00,1.9,-3.525,-0.247056125,0.002904775,67.66666667,102031.6667,3.083333333,0,-8.215836093,279.3333333,36.08333333,0,0,0,7.216666667,18,13,16,7.416666667,5.833333333,9184.123227,1.286524071,220.5555448,15.39584321,-43.01157008,0,0,4367.32477,0,0,120.9754797,29.42244755,0.999999152,0.095977171,0,1,11.16540896
 01/01  16:00:00,1.783333333,-4.191666667,-0.531235128,0.002759413,64.83333333,102034.1667,3.233333333,347.1666667,-8.868697507,276.5833333,17.83333333,0,0,0,3.566666667,18,13,16,7.583333333,5.583333333,8702.241502,1.287401067,231.7850029,7.081080287,-58.01157008,0,0,2128.070806,0,0,119.0717588,1.851389773,0.99999855,0.098380285,0,1,11.16540896
