Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,16.341666666666665,6.808333333333334,11.209400624388657,0.00610841273537628,53.416666666666664,102085.83333333333,3.0500000000000003,41.75,-0.983162501460896,311.1666666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.75,1.1666666666666667,31883.148729520773,1.2167561322593532,43.37582813818853,-85.17467532066208,179.39842991967916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.937600268268223 
 01/01  02:00:00,16.683333333333337,7.1000000000000005,11.516587611657409,0.006262402354941177,53.583333333333336,102099.16666666667,3.2416666666666667,23.0,0.9960388974519958,320.25,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,3.0,2.0,32620.19085362607,1.2151814862093486,79.98068162824762,-75.46635822281051,164.3984299196791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.937600268268223 
 01/01  03:00:00,16.366666666666667,6.808333333333333,11.229906134552344,0.006120949785126998,53.416666666666664,102040.83333333333,3.1999999999999997,35.833333333333336,0.22578389794056383,316.6666666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,3.0,2.0,31940.254532653733,1.2160895691737938,90.14926566673257,-62.07729359776604,149.39842991967916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.937600268268223 
 01/01  04:00:00,16.258333333333333,7.125,11.29752027886992,0.006235305193218705,54.75,101979.16666666667,3.375,32.166666666666664,-0.38753065238409096,313.8333333333333,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.4166666666666665,2.0,32119.60600594112,1.2155882280149999,95.84996044652864,-48.65043807567171,134.39842991967916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.937600268268223 
 01/01  05:00:00,15.775,7.266666666666667,11.102824937389604,0.006252591199053098,56.583333333333336,101909.16666666667,2.858333333333333,35.833333333333336,-1.0784707976547547,310.6666666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.0,1.4166666666666667,31672.096871226473,1.2167531919986916,100.77322338218407,-35.34276718959484,119.39842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.937600268268223 
 01/01  06:00:00,15.166666666666666,6.633333333333333,10.56531776388387,0.005995627175121659,56.416666666666664,101868.33333333333,2.6333333333333333,45.0,-2.7375064242490907,303.1666666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.4166666666666667,1.0,30403.834097085575,1.2193300281695447,105.74409381801541,-22.25054973827309,104.39842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.937600268268223 
 01/01  07:00:00,14.708333333333334,6.183333333333334,10.19399001904202,0.00583525702944478,56.583333333333336,101889.16666666667,2.4499999999999997,45.0,-4.3294101414479655,296.0833333333333,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.4166666666666667,0.4166666666666667,29532.704001932518,1.221833446640012,111.20145771702657,-9.491524501934093,89.39842991967913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.937600268268223 
 01/01  08:00:00,14.908333333333333,6.391666666666666,10.34680352636133,0.0058903101235700354,56.416666666666664,101956.66666666667,2.0833333333333335,58.416666666666664,-4.802957837175882,294.0,23.166666666666668,178.33333333333334,0.0,0.0,8.002287088271396,18.0,13.0,16.0,0.5833333333333334,0.5833333333333334,29875.061693287877,1.2216869040227876,117.55194230710332,2.7631117909310667,74.39842991967913,0.0,0.0,3329.5142387750698,877.4923615526119,8244.527578028621,94.78817499874395,27.52483724944282,1.8123901158811053,0.18670071179511505,0.0,1.0,22.937600268268223 
 01/01  09:00:00,16.191666666666663,6.6000000000000005,11.03956217216192,0.006011618871279445,53.083333333333336,102036.66666666667,2.0,54.583333333333336,-3.745837275968578,298.6666666666667,69.58333333333333,576.0,0.0,0.0,42.932870343078996,18.0,13.0,16.0,1.0,1.0,31485.700049464267,1.2169900738051218,125.28958385521197,14.247310754979281,59.39842991967913,0.0,0.0,10400.003303479325,11791.98692671917,46058.74105144618,149.535264754072,79.15682034319114,3.44728907502644,0.2005415720284587,0.0,1.0,22.937600268268223 
 01/01  10:00:00,17.541666666666668,6.016666666666666,11.38186123232981,0.005782466211546378,46.916666666666664,102081.66666666667,2.466666666666667,32.166666666666664,-1.9595584025463115,306.6666666666667,119.41666666666667,653.0833333333334,0.0,0.0,77.75801514337074,18.0,13.0,16.0,1.5833333333333333,1.5833333333333333,32276.652903243066,1.2123129687674348,135.04759908106942,24.5364886866822,44.39842991967914,0.0,0.0,16878.899514296703,24966.036979085548,60435.34894224669,142.46793882240462,92.59249307150503,3.219798717102154,0.20208276281408719,0.0,1.0,22.937600268268223 
 01/01  11:00:00,18.291666666666668,5.483333333333334,11.443327090232437,0.005536271921120261,42.833333333333336,102066.66666666667,3.6166666666666667,23.0,-0.8414421571043439,311.75,195.08333333333334,517.0,0.0,0.0,95.4360696183045,18.0,13.0,16.0,1.4166666666666667,1.4166666666666667,32414.327436656764,1.209489045681435,147.52045692679698,32.966967274309745,29.398429919679142,0.0,0.0,25126.58712437497,27044.80357445823,49539.47496694713,128.89017652236376,95.7658765451046,2.325352328432458,0.2555642733667008,0.0,1.0,22.937600268268223 
 01/01  12:00:00,18.733333333333334,5.2250000000000005,11.513258283834405,0.005428029640174171,40.833333333333336,102009.16666666667,4.141666666666667,23.0,-0.18867660139625286,314.75,156.83333333333334,756.1666666666666,0.0,0.0,125.8462062649445,18.0,13.0,16.0,1.5833333333333333,1.5833333333333333,32588.198932901578,1.207186692148105,163.03639476081545,38.61287164860721,14.39842991967914,0.0,0.0,21733.520101957194,46781.42294518081,74873.51666269642,138.65277804890013,98.98585823139797,3.7750648212151297,0.17904412390251823,0.0,1.0,22.937600268268223 
 01/01  13:00:00,18.900000000000002,6.5,12.090118788301432,0.005931930000405486,44.083333333333336,101921.66666666667,4.333333333333333,23.0,1.456309172004514,322.4166666666667,164.75,742.5,0.0,0.0,129.44815660877933,18.0,13.0,16.0,3.1666666666666665,2.5833333333333335,34035.290363297485,1.2044956320079103,180.72518439402288,40.52220749120675,-0.6015700803208599,0.0,0.0,22711.25073196671,47832.12998143992,73607.72623296925,138.0073445776495,99.1047931518093,3.727528828084392,0.18037391233739075,0.0,1.0,22.937600268268223 
 01/01  14:00:00,19.25,6.8,12.364856610783988,0.00606712437034642,44.083333333333336,101839.16666666667,3.8000000000000003,23.0,2.919491879154426,329.3333333333333,204.5,572.4166666666666,0.0,0.0,111.86039462833592,18.0,13.0,16.0,3.4166666666666665,2.4166666666666665,34733.75304675241,1.2018213268009237,198.3104269851859,38.28693931656467,-15.60157008032086,0.0,0.0,26610.3438270878,34430.187281954146,55543.02109278285,130.17553203901159,97.01740022014064,2.5911713586183476,0.23476218909180988,0.0,1.0,22.937600268268223 
 01/01  15:00:00,18.916666666666668,7.116666666666667,12.45048412079535,0.006291857233899938,46.666666666666664,101810.0,4.058333333333334,23.0,2.287683279046585,326.3333333333333,162.16666666666669,574.5833333333334,0.0,0.0,94.03768169092488,18.0,13.0,16.0,1.8333333333333333,1.4166666666666667,34964.9303797137,1.202418591879165,213.59309609762306,32.379869787587616,-30.601570080320858,0.0,0.0,21816.48190465103,29392.45661377063,54794.08646780118,134.60136462289512,95.32416543341533,2.7243873194185664,0.21530644280150535,0.0,1.0,22.937600268268223 
 01/01  16:00:00,18.383333333333333,7.175000000000001,12.236076526096916,0.0062967828170603654,48.25,101810.0,4.6000000000000005,23.0,1.2097992912203968,321.25,133.41666666666666,489.0,0.0,0.0,66.14398789346501,18.0,13.0,16.0,1.5833333333333333,1.5833333333333333,34435.38335136028,1.2046081198876009,225.82654701980528,23.76915319793331,-45.60157008032086,0.0,0.0,18006.93635057867,17741.684645665242,43841.494019358564,135.05766759368444,89.6109666084252,2.4143189332106845,0.2348668206915677,0.0,1.0,22.937600268268223 
 01/01  17:00:00,17.95,6.216666666666666,11.643770593691292,0.005889941393986308,46.416666666666664,101833.33333333333,4.308333333333334,23.0,0.31548073915722813,317.0833333333333,73.83333333333334,433.0,0.0,0.0,35.400753325492545,18.0,13.0,16.0,1.4166666666666667,1.4166666666666667,32963.83656549152,1.207460197484319,235.39627993710897,13.363303127400307,-60.60157008032083,0.0,0.0,10375.548354114477,7882.978006276491,32355.210822892055,140.68089775648886,73.45706551429363,2.704463134483019,0.22400718001763253,0.0,1.0,22.937600268268223 
 01/01  18:00:00,17.408333333333335,6.558333333333334,11.527842837812313,0.005995280221890457,48.916666666666664,101873.33333333333,3.983333333333333,35.833333333333336,-1.1525112165435492,310.3333333333333,20.305555555555557,122.1111111111111,0.0,0.0,5.955723519539355,18.0,13.0,16.0,1.0,0.4166666666666667,32680.40835623156,1.209982947304606,243.00119625624032,1.8042536583005075,-75.60157008032083,0.0,0.0,2801.8846555404557,408.8932948106454,4418.146327410182,91.4104094743421,21.235589174876132,1.546431621798268,0.19841874147680896,0.0,1.0,22.937600268268223 
 01/01  19:00:00,16.966666666666665,6.516666666666667,11.284494002634984,0.005938332654591631,49.833333333333336,101913.33333333333,3.1999999999999997,45.0,-1.8844931549057264,307.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.5833333333333333,1.1666666666666667,32087.51890967983,1.2124108859800578,249.26348008260572,-10.499056463236366,-90.60157008032085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.937600268268223 
 01/01  20:00:00,16.566666666666666,7.091666666666666,11.423393360672032,0.0062327550313284194,53.666666666666664,101953.33333333333,2.2916666666666665,45.0,-2.013465486880373,306.4166666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.4166666666666667,0.8333333333333334,32426.49664703252,1.2139918912114285,254.66737905244335,-23.290194865407475,-105.60157008032083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.937600268268223 
 01/01  21:00:00,16.341666666666665,6.516666666666667,11.075613921918823,0.005989734952722391,52.333333333333336,101981.66666666667,2.2333333333333334,45.0,-2.364470837385047,304.8333333333333,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.5833333333333333,0.5833333333333334,31582.700798282254,1.2157435312231895,259.6165324944182,-36.40354680849947,-120.60157008032083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.937600268268223 
