Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,2.4083333333333337,1.0583333333333333,1.782141415778116,0.00404772537856462,90.0,101216.66666666667,0.7333333333333334,142.5,-15.913961556433444,248.25,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,3.5833333333333335,0.5833333333333334,12561.281579902732,1.2715684613516516,33.84464986645714,-75.76633540468696,171.25842991967917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.38837626690605 
 01/01  02:00:00,2.0833333333333335,0.09999999999999999,1.2621515290485448,0.0038069198760509577,86.75,101267.5,0.9583333333333334,167.16666666666666,-16.542140378112332,245.83333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,3.4166666666666665,1.0,11629.03604045783,1.274198598468441,66.4526024812878,-66.21859070814196,156.25842991967912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.38837626690605 
 01/01  03:00:00,2.1166666666666667,0.3333333333333333,1.3729352010238196,0.0038706031667295683,88.0,101291.66666666667,1.0,170.83333333333334,-16.912535028908156,244.41666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,3.0,0.4166666666666667,11822.289231397453,1.2742186489864304,81.33447150168699,-54.39160914769318,141.25842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.38837626690605 
 01/01  04:00:00,1.9083333333333332,0.6749999999999999,1.3513270655335388,0.0039389767587544805,90.91666666666667,101311.66666666667,1.0,206.25,-16.716289710928795,245.16666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,3.0,0.0,11782.682022082983,1.27529653062555,90.92970010372227,-42.11092433039648,126.2584299196791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.38837626690605 
 01/01  05:00:00,2.8083333333333336,1.2083333333333333,2.0977957847790236,0.004106901492739526,88.91666666666667,101343.33333333333,1.4666666666666668,185.91666666666666,-15.892598433536213,248.33333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,3.0,0.5833333333333334,13114.546105150379,1.2711981087108324,98.78141162416313,-29.84179973915254,111.2584299196791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.38837626690605 
 01/01  06:00:00,2.4916666666666667,1.0916666666666666,1.9015672447074008,0.004091688723311377,90.66666666666667,101400.83333333333,1.6833333333333333,170.83333333333334,-15.913961556433444,248.25,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.4166666666666665,1.5833333333333333,12755.802710795242,1.273412302824619,106.19778342212226,-17.816650742094293,96.25842991967913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.38837626690605 
 01/01  07:00:00,1.5250000000000001,1.0333333333333334,1.3050787094387417,0.0040554618980455075,96.33333333333333,101465.0,0.9,193.41666666666666,-17.46239575368372,242.33333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.4166666666666667,1.4166666666666667,11686.341123235836,1.278770983092797,113.88877587742213,-6.24367445842568,81.25842991967913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.38837626690605 
 01/01  08:00:00,1.8083333333333333,1.375,1.6161280640111977,0.004158366582709031,96.83333333333333,101530.83333333333,0.4583333333333333,268.3333333333333,-18.65577749997401,237.83333333333334,26.083333333333332,30.750000000000004,0.0,0.0,5.681354712120192,18.0,13.0,16.0,1.0,1.0,12230.902450512576,1.2780723861355452,122.40106556393322,4.621069435670342,66.25842991967913,0.0,0.0,3081.546178958554,125.06904339445843,1284.0431460063744,118.43924870829625,43.5024466129652,1.290068296338184,0.22814438678554752,0.0,1.0,13.38837626690605 
 01/01  09:00:00,3.1500000000000004,1.675,2.5486443753192876,0.0042854118278170756,90.75,101560.0,0.6749999999999999,249.66666666666666,-17.48494405931105,242.25,56.5,3.416666666666666,0.0,0.0,11.431356672933534,18.0,13.0,16.0,1.5833333333333333,1.5833333333333333,13907.930906439993,1.2719775412720231,132.25495909715872,14.422084244117578,51.25842991967914,0.0,0.0,6573.077752608658,36.45849808579118,195.26769375867354,116.26628152495279,41.11389785445315,1.0205996609102101,0.1581020676584193,0.0,1.0,13.38837626690605 
 01/01  10:00:00,4.95,2.3833333333333333,3.8323958254554653,0.004508713017780794,84.08333333333333,101577.5,0.8583333333333334,203.0,-14.696338976513326,253.0,108.33333333333333,29.999999999999996,0.0,0.0,24.187497817800192,18.0,13.0,16.0,2.0,2.0,16291.548035720189,1.2635118571148234,143.93528888903938,22.65863051773449,36.25842991967912,0.0,0.0,12617.334921062991,1177.283465510195,2800.769150482271,116.5151704848747,71.93132156218691,1.0850699791545402,0.19492051070427752,0.0,1.0,13.38837626690605 
