Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,4.75,4.316666666666666,4.523170549494864,0.005106483938622303,96.66666666666667,101875.0,1.675,193.41666666666666,-7.90883057004758,280.6666666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,5.75,2.3333333333333335,17589.3160629919,1.266912273085331,36.94566916414532,-71.76409098735844,168.06842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.501490944470548 
 01/01  02:00:00,4.058333333333334,3.4,3.7637534559022154,0.004810093175903244,95.58333333333333,101737.5,1.8583333333333334,203.0,-5.816532546680842,289.5833333333333,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,7.0,4.0,16144.01975453348,1.2689577460197108,64.55299404451776,-62.56726567116109,153.06842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.501490944470548 
 01/01  03:00:00,4.1000000000000005,3.5749999999999997,3.872110734899374,0.00486790590685192,96.58333333333333,101887.5,2.0166666666666666,203.0,-5.451931249090364,291.1666666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,7.583333333333333,4.583333333333333,16331.286292792962,1.2705205440326066,79.61762675266023,-51.3292533942488,138.06842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.501490944470548 
 01/01  04:00:00,4.1000000000000005,3.6999999999999997,3.93908246538892,0.004911984475684577,97.58333333333333,102025.83333333333,1.75,203.0,-5.528580888157904,290.8333333333333,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,6.833333333333333,4.416666666666667,16441.860102136987,1.272156084226241,90.03047880652404,-39.56736812795022,123.06842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.501490944470548 
 01/01  05:00:00,4.1000000000000005,3.875,4.005827644543848,0.004955785669055696,98.58333333333333,102167.5,1.6166666666666665,189.58333333333334,-6.66800515093982,285.9166666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,6.0,4.0,16551.738098023063,1.2738335158603011,98.71394196506101,-27.78738315516311,108.06842991967913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.501490944470548 
 01/01  06:00:00,4.1000000000000005,4.058332442932045,4.072344137579144,0.004997049693353968,99.58333333333333,102358.33333333333,1.9333333333333333,206.25,-7.075594845449596,284.1666666666667,0.0,0.0,1.6203703703703703e-7,0.0005833333333333333,0.0,18.0,13.0,16.0,6.0,3.4166666666666665,16655.25144875926,1.2761288462406568,106.92237032417044,-16.264164857075837,93.06842991967913,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.501490944470548 
 01/01  07:00:00,4.041666666666667,4.041664417405434,4.041664417405434,0.004991225490688789,100.0,102485.0,2.275,225.0,-7.565148257240357,282.0833333333333,0.0,0.0,1.1574074074074073e-7,0.00041666666666666664,0.0,18.0,13.0,16.0,5.416666666666667,2.4166666666666665,16581.484745093367,1.2779888467304759,115.37900424246084,-5.2401183573012675,78.06842991967913,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.501490944470548 
 01/01  08:00:00,4.116666666666666,4.058333333333334,4.077921644515879,0.004986187899932052,99.41666666666667,102527.5,2.225,212.16666666666666,-8.610680419091182,277.6666666666667,23.25,0.0,0.0,0.0,4.65,18.0,13.0,16.0,5.583333333333333,2.0,16644.90634751949,1.2781832473410664,124.63560122603057,4.998149630615447,63.068429919679126,0.0,0.0,2645.2882876500057,0.0,0.0,113.42161524022026,0.9965281618102484,0.9999988440088087,0.17311641788905555,0.0,1.0,12.501490944470548 
 01/01  09:00:00,4.433333333333334,4.391666068794024,4.405423020900918,0.005106513218702652,99.58333333333333,102557.5,1.925,215.83333333333334,-7.900234205446755,280.6666666666667,60.166666666666664,0.0,0.0,0.0,12.033333333333333,18.0,13.0,16.0,6.583333333333333,2.0,17267.97008896417,1.2768538081465926,135.18241031827995,14.070044730173668,48.068429919679126,0.0,0.0,6929.986704743864,0.0,0.0,115.0961649703778,31.020973641471983,0.9999995101732315,0.17558841527044922,0.0,1.0,12.501490944470548 
 01/01  10:00:00,4.541666666666667,4.4629312546658095,4.4629312546658095,0.005104375376520274,98.83333333333333,102599.16666666667,2.6166666666666667,212.16666666666666,-7.388257206041184,282.8333333333333,77.16666666666666,0.0,0.0,0.0,15.433333333333332,18.0,13.0,16.0,5.833333333333333,2.5833333333333335,17372.48190575722,1.2768784255760355,147.41287802012457,21.468666975631653,33.068429919679126,0.0,0.0,9105.541647557928,0.0,0.0,118.02259644786564,49.5529917031425,0.9999995282927436,0.1490851564814241,0.0,1.0,12.501490944470548 
 01/01  11:00:00,5.083333333333333,4.86436231641208,4.9045526642489365,0.005228725241026051,97.41666666666667,102561.66666666667,3.141666666666667,203.0,-8.27412973435971,279.0833333333333,129.0,78.49999999999999,0.0,0.0,33.09581019147907,18.0,13.0,16.0,5.0,2.4166666666666665,18234.122424985948,1.2736761351251003,161.43358199369453,26.580386631918373,18.06842991967913,0.0,0.0,15377.560255186761,3469.7735972731575,7466.8790102105495,118.90585027627218,77.78952683263851,1.2248369326979966,0.20422292871939632,0.0,1.0,12.501490944470548 
 01/01  12:00:00,6.491666666666667,5.0249999999999995,5.748851128841772,0.005327125824860765,90.0,102461.66666666667,2.983333333333333,203.0,-9.048119485931872,275.8333333333333,190.16666666666666,420.75,0.0,0.0,78.63099137549743,18.0,13.0,16.0,3.25,2.0,19910.17339635122,1.265829794713838,176.7854700599598,28.818713431336096,3.068429919679128,0.0,0.0,23830.463924744185,19155.755942951357,39706.753981453534,125.19512803615116,94.42540862426942,1.972374185331341,0.2806292420842064,0.0,1.0,12.501490944470548 
 01/01  13:00:00,7.433333333333334,4.433333333333334,6.004030533945477,0.005151559574228397,81.5,102390.83333333333,3.25,203.0,-8.41293555846435,278.5,195.33333333333334,356.8333333333333,0.0,0.0,72.57585183086626,18.0,13.0,16.0,3.75,2.0,20424.222995850098,1.2610582554055287,192.39677745381073,27.870289627874584,-11.931570080320872,0.0,0.0,23401.19291204124,15909.386382220277,33880.515093188245,119.81211919569988,94.87995091045542,1.7829455731373622,0.2971828977329149,0.0,1.0,12.501490944470548 
 01/01  14:00:00,7.658333333333334,4.566666666666666,6.157699649066674,0.005185093679817561,80.75,102375.83333333333,3.3833333333333333,203.0,-7.134661494373783,283.9166666666667,160.16666666666669,140.16666666666666,0.0,0.0,43.371403697868686,18.0,13.0,16.0,4.416666666666667,2.0,20736.828681787065,1.2597956777582147,207.0566805258518,23.872685097030587,-26.931570080320878,0.0,0.0,18740.54429053206,5238.506001352295,12937.683672722444,117.019704544481,92.28017346205723,1.3363656949872997,0.2812658587710623,0.0,1.0,12.501490944470548 
 01/01  15:00:00,7.3500000000000005,4.8999999999999995,6.147658557202569,0.005301479058363121,84.33333333333333,102397.5,3.4166666666666665,203.0,-7.1930152897130695,283.6666666666667,124.5,206.0,0.0,0.0,37.37378625623834,18.0,13.0,16.0,4.0,2.0,20716.687703791842,1.2612138323682134,220.03289018426017,17.332455685463675,-41.931570080320874,0.0,0.0,14962.826415310143,5218.21236449132,17164.322493903517,120.10255686119064,82.9411882108091,1.5282092164287648,0.2948922540807914,0.0,1.0,12.501490944470548 
 01/01  16:00:00,6.925,5.075,6.004174614594407,0.005357688410642539,87.75,102415.83333333333,2.975,189.58333333333334,-7.446928592019087,282.5833333333333,55.833333333333336,23.58333333333333,0.0,0.0,12.1453461635562,18.0,13.0,16.0,4.583333333333333,2.0,20426.74170816883,1.2632402131129343,231.2312176009788,8.876422567312234,-56.931570080320874,0.0,0.0,6353.603788325392,358.62363754739675,1704.83391297433,112.9432225384126,29.260090601142934,1.0839232684565838,0.24431343306886444,0.0,1.0,12.501490944470548 
