Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,5.8999999999999995,-1.1416666666666668,3.0167649959006564,0.003496118449577231,61.916666666666664,101987.5,3.5666666666666664,230.91666666666666,-10.923676354225753,268.0833333333333,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,4.916666666666667,0.4166666666666667,14710.140337608073,1.2663728093977034,23.562071250723204,-78.54841864256059,175.46842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.496733931982929 
 01/01  02:00:00,3.783333333333333,-0.09999999999999999,2.1567719639555034,0.0037162372673429558,75.75,102176.66666666667,2.5166666666666666,189.58333333333334,-11.433930583453161,266.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,6.416666666666667,0.5833333333333334,13121.864579259365,1.27793123388771,63.51554847890043,-69.97304901453822,160.46842991967912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.496733931982929 
 01/01  03:00:00,3.9916666666666667,-0.15833333333333333,2.3153581389411793,0.0037473358415892884,75.25,102148.33333333333,2.3666666666666667,180.0,-11.14754351557992,267.1666666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,6.0,1.0,13410.653539736346,1.2765533828832725,80.25783566613097,-58.06432693025749,145.46842991967912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.496733931982929 
 01/01  04:00:00,4.666666666666667,0.033333333333333326,2.7264421445042406,0.0037725552413297547,72.25,102145.83333333333,2.025,180.0,-9.951577801417756,272.0833333333333,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,6.0,1.0,14156.921481344545,1.2733697889943236,89.98832282814477,-45.588218750901795,130.46842991967912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.496733931982929 
 01/01  05:00:00,4.825,0.19999999999999998,2.8664070924794465,0.0038101586102200244,72.16666666666667,102155.83333333333,1.7249999999999999,193.41666666666666,-8.690110741521105,277.3333333333333,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,6.0,1.5833333333333333,14411.50488560737,1.2726918687351725,97.60662128243347,-33.08946831442672,115.46842991967912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.496733931982929 
 01/01  06:00:00,4.7,0.024999999999999998,2.728050690324889,0.003758592201566814,71.83333333333333,102177.5,1.5999999999999999,176.75,-8.293258983490432,279.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,6.0,2.0,14155.60064496009,1.2736393156599173,104.6554038640782,-20.79544504968926,100.46842991967912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.496733931982929 
 01/01  07:00:00,4.5249999999999995,0.30833333333333335,2.6744674101566237,0.0037895986341341657,73.33333333333333,102195.83333333333,2.0083333333333333,170.83333333333334,-8.709796595673263,277.25,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,6.0,1.4166666666666667,14056.33119760381,1.2746076176672896,111.88879105925032,-8.895148764441537,85.46842991967912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.496733931982929 
 01/01  08:00:00,4.866666666666667,0.6,2.9830908400442837,0.003877199478813254,73.25,102200.0,2.066666666666667,180.0,-9.008128500723217,276.0,5.333333333333333,0.0,0.0,0.0,1.0666666666666667,18.0,13.0,16.0,6.0,1.5833333333333333,14621.948196610916,1.2729156786067286,119.85608939636273,2.38309193330184,70.46842991967912,0.0,0.0,650.0408914232721,0.0,0.0,81.53846935218168,0.0,0.6666642461748075,0.042524420748736046,0.0,1.0,14.496733931982929 
 01/01  09:00:00,5.491666666666667,0.775,3.4229455776407147,0.003947951237685915,71.41666666666667,102229.16666666667,1.7833333333333332,180.0,-8.590651676134465,277.75,22.333333333333332,0.0,0.0,0.0,4.466666666666667,18.0,13.0,16.0,6.0,2.0,15432.145140650244,1.2702787353605958,129.08191995432125,12.719943178450954,55.46842991967913,0.0,0.0,2748.0857111582322,0.0,0.0,122.9035198139271,14.982834624038398,0.9999987188083249,0.07191567375110663,0.0,1.0,14.496733931982929 
 01/01  10:00:00,6.108333333333334,1.3083333333333333,3.9998464291027376,0.004131813564937484,71.58333333333333,102226.66666666667,1.2916666666666667,180.0,-8.709796595673263,277.25,33.5,0.0,0.0,0.0,6.7,18.0,13.0,16.0,4.833333333333333,2.0,16518.26009488023,1.2670711060205821,140.095518009885,21.653510577967836,40.46842991967913,0.0,0.0,4209.826879971718,0.0,0.0,125.73109494910106,40.89489018036323,0.9999988954681364,0.06396286425647794,0.0,1.0,14.496733931982929 
