Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,3.1999999999999997,0.7916666666666666,2.231680002742986,0.003998329679208618,85.0,102445.83333333333,0.8250000000000001,18.75,-16.04587626444112,247.75,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,3.0,0.0,13239.020454850273,1.2834273079839271,27.292830964510262,-76.53614505364432,173.15842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.9874974514625 
 01/01  02:00:00,2.525,-0.2666666666666667,1.37477138840556,0.003655966346315527,81.75,102523.33333333333,0.6416666666666667,13.416666666666666,-17.482561334438767,242.25,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.4166666666666665,0.0,11697.731541332825,1.288244221206335,63.74937345324988,-67.62805616065928,158.1584299196791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.9874974514625 
 01/01  03:00:00,2.283333333333333,-0.3333333333333333,1.2249078052384637,0.0036474560034232095,83.0,102557.5,0.7166666666666667,176.75,-18.27781154970692,239.25,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.0,0.0,11431.936892955435,1.2898217040715736,79.86632177971093,-55.930364000344554,143.15842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.9874974514625 
 01/01  04:00:00,1.8499999999999999,-0.5,0.9557702595359324,0.003633353549406585,85.33333333333333,102610.83333333333,0.625,311.75,-19.237799351257948,235.66666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.4166666666666667,0.0,10958.247459025717,1.2925556550320232,89.85063821182632,-43.67173767445562,128.15842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.9874974514625 
 01/01  05:00:00,1.5999999999999999,-0.2666666666666667,0.8889441679892561,0.003686363127140716,88.16666666666667,102657.5,0.7333333333333334,144.58333333333334,-20.322165958409993,231.66666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.0,0.0,10838.081422767622,1.2942098417006012,97.82936551293638,-31.3865840449298,113.15842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.9874974514625 
 01/01  06:00:00,0.9583333333333334,-0.09999999999999999,0.5206606747436208,0.003690393352155763,92.5,102716.66666666667,0.5499999999999999,178.41666666666666,-21.42066761078095,227.66666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.4166666666666667,0.0,10199.007767244391,1.297980862021663,105.25541239478805,-19.319392858867896,98.15842991967912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.9874974514625 
 01/01  07:00:00,0.20833333333333334,-0.5083333333333333,-0.14578143492401438,0.0035442376275377756,93.83333333333333,102773.33333333333,0.24166666666666667,188.0,-22.37022833053099,224.25,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.0,0.0,9074.655515276456,1.302562821672902,112.87999627816032,-7.676490454907012,83.15842991967912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.9874974514625 
 01/01  08:00:00,0.7000000000000001,-0.3916666666666668,0.2226085185359757,0.003593300632445583,91.83333333333333,102813.33333333333,0.43333333333333335,60.5,-22.393340326081923,224.16666666666666,14.833333333333334,71.33333333333333,0.0,0.0,4.58175271511024,18.0,13.0,16.0,0.0,0.0,9694.735249583979,1.3006297566517733,121.25942418084126,3.2950728679790546,68.15842991967912,0.0,0.0,2114.6260243452793,423.4803391395939,3651.2461571648496,72.5565651059713,24.13199641233511,1.3254184394386572,0.09030830546025807,0.0,1.0,13.9874974514625 
 01/01  09:00:00,2.4833333333333334,0.3666666666666667,1.5866956101066532,0.003811721466211644,85.75,102824.16666666667,0.6583333333333333,176.75,-20.87136695120746,229.66666666666666,76.91666666666667,454.1666666666667,0.0,0.0,37.194298678289734,18.0,13.0,16.0,0.0,0.0,12045.901407998195,1.2919048642442583,130.91489299354404,13.25514744462172,53.15842991967913,0.0,0.0,10606.120885705292,8587.39534912395,35151.006087412046,137.99448411979526,75.4700291486641,2.7120899145695527,0.24074901934626633,0.0,1.0,13.9874974514625 
 01/01  10:00:00,5.266666666666667,1.4583333333333333,3.606371751151309,0.004152393147263321,76.75,102831.66666666667,0.525,285.5,-18.237219081020925,239.41666666666666,65.5,776.75,0.0,0.0,70.90195435681123,18.0,13.0,16.0,0.0,0.0,15717.909038032187,1.278394406046282,142.34166497407185,21.72325056070405,38.15842991967913,0.0,0.0,10024.510933031444,27257.201701567043,73077.9266055652,153.08027459664513,93.89823149437194,5.336101043172916,0.1268941012669071,0.0,1.0,13.9874974514625 
