Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,6.058333333333334,0.6583333333333333,3.6779054792104433,0.003913733046930718,68.0,102152.5,0.9583333333333334,315.0,-10.522535097432447,269.75,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,4.416666666666667,1.4166666666666667,15919.81916236209,1.2668254533478844,32.83673472381607,-75.91039223767149,171.56842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.994607369072083 
 01/01  02:00:00,6.483333333333333,1.2,4.058656271943144,0.004038804281880872,68.0,101921.66666666667,1.5,315.0,-9.147833405972477,275.4166666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,4.0,1.0,16664.198149879336,1.2617833198040043,66.0511878356567,-66.45475693832196,156.56842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.994607369072083 
 01/01  03:00:00,6.341666666666666,1.2583333333333333,4.068936983647626,0.00409661431937771,69.75,102073.33333333333,1.325,302.1666666666667,-9.809726428882755,272.6666666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,3.4166666666666665,1.0,16666.039139674336,1.2641845720745686,81.11439977462908,-54.64466573516722,141.56842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.994607369072083 
 01/01  04:00:00,6.066666666666666,1.3,3.9615933188161345,0.004118744442070703,71.58333333333333,102239.16666666667,0.9666666666666667,305.8333333333333,-11.49772526221785,265.75,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.4166666666666665,1.0,16443.215568304007,1.267441201218514,90.7646689867902,-42.36543760194699,126.56842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.994607369072083 
 01/01  05:00:00,6.016666666666666,1.125,3.816022334633613,0.004020159338207087,70.25,102420.83333333333,1.0916666666666666,315.0,-13.741895936924417,256.75,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.4166666666666667,0.4166666666666667,16144.925089540833,1.2701201451178006,98.63231431541998,-30.092086290410776,111.56842991967913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.994607369072083 
 01/01  06:00:00,5.808333333333333,1.0,3.6221230775655653,0.003950121631239018,70.16666666666667,102610.83333333333,1.3583333333333334,302.1666666666667,-15.591605150370773,249.5,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.4166666666666667,0.0,15758.116299522057,1.2735698910003517,106.04689661722098,-18.058593805597386,96.56842991967913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.994607369072083 
 01/01  07:00:00,5.7749999999999995,0.8250000000000001,3.5681850678186535,0.003917290150334285,69.83333333333333,102736.66666666667,1.1666666666666667,225.5,-16.389953680277376,246.41666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.0,0.0,15641.910910727738,1.275350309388931,113.7243634830628,-6.472678507552925,81.56842991967913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.994607369072083 
 01/01  08:00:00,5.55,1.1083333333333334,3.5623783088949037,0.004000791493082838,72.5,102810.83333333333,0.65,128.0,-16.650845096745183,245.41666666666666,29.833333333333332,244.08333333333334,0.0,0.0,10.777834150203802,18.0,13.0,16.0,0.0,0.0,15623.863620223541,1.2771315042159028,122.21271440260723,4.411177238446185,66.56842991967913,0.0,0.0,4281.686035746738,1400.2822393461763,11836.939638054275,141.1015006975082,39.390270404483914,2.796583827451444,0.2925940946500056,0.0,1.0,14.994607369072083 
 01/01  09:00:00,6.175000000000001,1.575,4.103614447907158,0.004153212151780492,72.08333333333333,102851.66666666667,0.39999999999999997,189.58333333333334,-16.30342267817963,246.75,45.5,634.75,0.0,0.0,40.96316093444067,18.0,13.0,16.0,0.0,0.0,16639.528346013372,1.2744720921820158,132.03245443837946,14.240042557107584,51.568429919679126,0.0,0.0,7224.474540259832,13677.869196226491,53890.465835898765,158.83800765711933,84.14790575090319,5.1045787981108814,0.13175500877076884,0.0,1.0,14.994607369072083 
 01/01  10:00:00,7.733333333333333,0.24166666666666672,4.479079411838687,0.003804061098829468,59.5,102889.16666666667,0.5166666666666667,206.25,-15.52626142227239,249.75,62.5,782.25,0.0,0.0,72.48529422305195,18.0,13.0,16.0,0.0,0.0,17338.998591747335,1.2685704227997847,143.67050515548723,22.516441587838795,36.568429919679126,0.0,0.0,9586.62938643515,28569.607894039713,74413.33635615848,153.56835222006615,95.09361248221506,5.653535340750334,0.11563636297259478,0.0,1.0,14.994607369072083 
