Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,4.858333333333333,0.75,3.0584787381292373,0.003972079054357334,74.5,101421.66666666667,0.5416666666666667,206.25,-12.508241517729752,261.6666666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,4.0,1.1666666666666667,14851.64797504028,1.2630669703531547,33.49631557718844,-75.48880226945404,171.17842991967916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.443910393990896 
 01/01  02:00:00,4.7250000000000005,0.5,2.8818741583520615,0.003892145452947174,73.75,101497.5,0.2333333333333333,257.1666666666667,-12.694782903280847,260.9166666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.8333333333333335,0.8333333333333334,14516.074623864386,1.2647794950892008,65.93626869957951,-66.03833573974511,156.17842991967916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.443910393990896 
 01/01  03:00:00,4.425,0.6749999999999999,2.776981525526894,0.00393537687978802,76.16666666666667,101527.5,0.34166666666666673,35.833333333333336,-14.014030332163648,255.66666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.5833333333333335,1.1666666666666667,14320.929403930955,1.2664332286450288,80.9785756112608,-54.28078329895163,141.17842991967916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.443910393990896 
 01/01  04:00:00,4.241666666666666,0.625,2.6648796379520907,0.003928336985785833,77.0,101510.83333333333,0.18333333333333335,18.75,-14.288525098235832,254.58333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.4166666666666665,1.4166666666666667,14117.70694185237,1.267076301641974,90.70237227337402,-42.04959731907619,126.17842991967916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.443910393990896 
 01/01  05:00:00,3.908333333333333,0.09166666666666667,2.3135842614528364,0.0038073746265040605,76.41666666666667,101525.0,0.15833333333333333,0.0,-15.528520331017225,249.75,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.4166666666666667,1.0,13476.941343848288,1.2690235677477333,98.65068411363596,-29.82237271650476,111.17842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.443910393990896 
 01/01  06:00:00,3.4083333333333337,-0.6666666666666666,1.7014408383625386,0.003567688833640134,74.25,101596.66666666667,0.6083333333333333,65.91666666666667,-16.498529547041073,246.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.1666666666666665,0.4166666666666667,12370.030646404659,1.2727028637761097,106.14458990711813,-17.837126841602558,96.17842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.443910393990896 
 01/01  07:00:00,3.608333333333333,-0.5333333333333334,1.8412456425313535,0.0035839268136832456,73.58333333333333,101653.33333333333,1.425,99.58333333333333,-16.043585344211056,247.75,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.4166666666666665,0.0,12613.04731437256,1.272459491623468,113.90117906511767,-6.305111558335703,81.17842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.443910393990896 
 01/01  08:00:00,4.483333333333333,0.033333333333333326,2.595088876968851,0.00377159302839441,72.83333333333333,101693.33333333333,1.1583333333333334,155.91666666666666,-16.325335846513735,246.66666666666666,28.0,0.0,0.0,0.0,5.6000000000000005,18.0,13.0,16.0,0.8333333333333334,0.0,13969.01819865407,1.2685683531152263,122.46960321238073,4.515690303121926,66.17842991967915,0.0,0.0,3124.151071972837,0.0,0.0,110.9868482703647,1.8115380316258047,0.9999990416841867,0.23052902733364852,0.0,1.0,13.443910393990896 
 01/01  09:00:00,5.366666666666667,-0.26666666666666666,3.0398796369658174,0.003737551622016978,67.91666666666667,101733.33333333333,0.9333333333333332,189.58333333333334,-16.30342267817963,246.75,87.66666666666667,35.166666666666664,0.0,0.0,19.59177307102652,18.0,13.0,16.0,1.1666666666666667,1.1666666666666667,14777.299181584953,1.26511061632704,132.36836044790437,14.268907665125782,51.17842991967914,0.0,0.0,10001.316304842303,892.7329420311602,3047.8695545086453,113.71967748032229,58.157233915971545,1.1005330740105113,0.24491922803855873,0.0,1.0,13.443910393990896 
 01/01  10:00:00,7.333333333333333,0.27499999999999997,4.233079487281177,0.003840571098312801,60.916666666666664,101709.16666666667,1.1583333333333334,180.0,-14.927863807496228,252.08333333333334,156.41666666666666,266.25,0.0,0.0,52.27033841822324,18.0,13.0,16.0,1.4166666666666667,1.4166666666666667,17026.346337498966,1.2557455859713942,144.0757048626525,22.454905327862786,36.17842991967914,0.0,0.0,18692.6664734526,9717.454623116353,24630.554161699958,119.41384023573664,92.00395372886875,1.6340112505754198,0.2892267695304845,0.0,1.0,13.443910393990896 
