Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,3.0833333333333335,-2.3583333333333334,0.9630127918922272,0.0031947382067862174,67.91666666666667,101927.5,2.2666666666666666,302.1666666666667,-16.10933140643425,247.5,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.9166666666666665,0.0,11107.006907879942,1.2791326128439147,27.51083177220754,-78.2100465996209,173.9884299196792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.833679592960161 
 01/01  02:00:00,2.35,-4.608333333333334,-0.30438632853732855,0.002680272844750578,60.583333333333336,102210.83333333333,2.5083333333333333,293.0,-16.45519850880648,246.16666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,5.583333333333333,0.0,9076.298960859129,1.2871412052214024,66.20786106192377,-68.92602054315766,158.98842991967913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.833679592960161 
 01/01  03:00:00,2.9499999999999997,-3.5833333333333335,0.5119021326604308,0.002899348030648555,62.75,102178.33333333333,3.6750000000000003,293.0,-15.035102742899662,251.66666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,6.583333333333333,0.0,10231.297037324939,1.2834855455412952,81.64182538865352,-56.86785060036154,143.98842991967916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.833679592960161 
 01/01  04:00:00,3.1999999999999997,-2.7083333333333335,0.8591966668491121,0.003038108355914592,64.58333333333333,102152.5,4.241666666666666,305.8333333333333,-13.15353634157782,259.0833333333333,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,7.0,0.0,10831.687324531367,1.2817149646954367,90.95486719332642,-44.34898770571795,128.98842991967913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.833679592960161 
 01/01  05:00:00,3.1999999999999997,-2.2666666666666666,0.9671541756394322,0.003112987485714537,66.16666666666667,102151.66666666667,3.7916666666666665,302.1666666666667,-11.8453081024282,264.3333333333333,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,7.0,0.0,11019.400964399936,1.2815509713012752,98.41095813514472,-31.84107422816109,113.98842991967912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.833679592960161 
 01/01  06:00:00,3.3166666666666664,-1.8666666666666665,1.2489470580917084,0.0032620335013756386,68.75,102160.0,3.616666666666667,293.0,-11.004784408245749,267.75,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,6.416666666666667,0.0,11510.987229459575,1.2808093631048252,105.40641451441877,-19.55812897095383,98.98842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.833679592960161 
 01/01  07:00:00,3.8083333333333336,-1.0000000000000002,1.904625630656973,0.0035263399240179696,71.75,102171.66666666667,3.6999999999999997,293.0,-9.991245881545439,271.9166666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,6.583333333333333,0.5833333333333334,12670.928947730521,1.27814200321104,112.65403043497612,-7.688815509317329,83.98842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.833679592960161 
 01/01  08:00:00,4.2749999999999995,-0.09166666666666667,2.4619590491827856,0.0037369604595718312,73.58333333333333,102185.83333333333,3.5833333333333335,293.0,-8.650908432477403,277.5,19.999999999999996,0.0,0.0,0.0,4.0,18.0,13.0,16.0,7.0,1.0,13671.308425132585,1.2757387251577859,120.69347791867303,3.53271326351614,68.98842991967915,0.0,0.0,2253.536853051288,0.0,0.0,94.01399247686807,0.7295430734918943,0.833332315578354,0.15496725813176182,0.0,1.0,14.833679592960161 
 01/01  09:00:00,4.866666666666667,0.43333333333333335,2.95336227774465,0.0038545145323709063,72.83333333333333,102219.16666666667,3.0333333333333337,305.8333333333333,-6.824280261677785,285.25,83.16666666666667,55.99999999999999,0.0,0.0,19.85015122012067,18.0,13.0,16.0,8.166666666666666,1.5833333333333333,14565.01531605096,1.2732004229227394,130.05112458579393,13.775635322041012,53.988429919679156,0.0,0.0,9572.9629846016,1375.3147845465749,4783.284280965979,114.52006296470267,55.66437237371965,1.1651746591048058,0.2418875008378253,0.0,1.0,14.833679592960161 
 01/01  10:00:00,6.133333333333333,1.0083333333333333,3.87319819839348,0.004026985159854164,69.66666666666667,102216.66666666667,2.7583333333333333,315.0,-5.413918628179251,291.3333333333333,147.50000000000003,371.3333333333333,0.0,0.0,58.717767585568716,18.0,13.0,16.0,7.25,2.0,16280.233125774366,1.2670488286186774,141.2557472123774,22.560781581477162,38.98842991967914,0.0,0.0,18415.45399180974,13384.83614867407,33961.91109692372,124.8341945115608,90.90910308288595,1.9477703336795245,0.2747529688636911,0.0,1.0,14.833679592960161 
