Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,1.8500000000000003,-3.6,-0.2437282711525004,0.002938326507101978,67.83333333333333,100664.16666666667,1.1166666666666667,328.4166666666667,-22.417444704107712,224.08333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.0,0.0,9217.622273207868,1.2694480585594783,42.319600433311756,-72.99916374103975,167.49842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.392030827400964 
 01/01  02:00:00,0.8083333333333332,-4.183333333333334,-1.073142199404521,0.002801417459136564,69.66666666666667,100712.5,0.9083333333333335,285.5,-23.16584059386285,221.41666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.0,0.0,7822.652199799232,1.2751624106437423,68.86276759942605,-62.94195144649735,152.49842991967913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.392030827400964 
 01/01  03:00:00,0.13333333333333333,-5.4750000000000005,-1.8688732664839731,0.002535025408307933,66.25,100715.0,0.7583333333333333,208.33333333333334,-23.946279191362517,218.66666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.0,0.0,6474.585585556204,1.2788892124494893,82.54332489602133,-51.190647638106064,137.49842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.392030827400964 
 01/01  04:00:00,0.6750000000000002,-5.2250000000000005,-1.4448856012025288,0.0026141715238049627,65.58333333333333,100631.66666666667,1.4416666666666667,180.0,-24.42186496924782,217.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.0,0.0,7219.507247091608,1.2751449096956426,92.02270306789613,-39.07587203409428,122.49842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.392030827400964 
 01/01  05:00:00,0.6583333333333334,-4.891666666666666,-1.3965328973180318,0.0026489403618239955,66.58333333333333,100665.83333333333,1.4333333333333336,114.66666666666667,-24.254917136830922,217.58333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.0,0.0,7289.631346674424,1.275582810204724,100.05148168271238,-27.010380661945593,107.49842991967911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.392030827400964 
 01/01  06:00:00,-0.32499999999999996,-5.683333333333333,-2.2316914949056685,0.002473755807459198,67.0,100644.16666666667,0.5166666666666667,28.333333333333332,-24.805468247403255,215.66666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.0,0.0,5858.6717663909185,1.280262255824634,107.77115717396221,-15.230411000209676,92.49842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.392030827400964 
 01/01  07:00:00,-0.9333333333333332,-6.45,-2.8155468421003,0.0023326046626848513,66.41666666666667,100584.16666666667,1.0333333333333334,307.5,-25.794685476485586,212.25,2.5833333333333335,8.583333333333334,0.0,0.0,0.5333699065474344,18.0,13.0,16.0,0.0,0.0,4891.813310379536,1.2826477722767613,115.85439610612441,-3.9610723367032996,77.49842991967914,0.0,0.0,311.638311716993,0.21621634258741962,22.221520540800768,20.105697530128577,0.4314858357437042,0.2783075932347448,0.056099165332430444,0.0,1.0,13.392030827400964 
 01/01  08:00:00,-0.6333333333333334,-6.700000000000002,-2.707282867550422,0.0022905676786846543,63.666666666666664,100626.66666666667,1.5833333333333333,296.25,-26.159304028887618,211.0,41.083333333333336,156.58333333333334,0.0,0.0,12.527097220355033,18.0,13.0,16.0,0.0,0.0,5089.4776052991665,1.2818638606744517,124.84087543938313,6.516468543261266,62.49842991967913,0.0,0.0,5295.848067528802,1305.7625838478173,8715.441765971544,127.53231736662217,47.42453423618383,1.8773602900297863,0.23869809930848154,0.0,1.0,13.392030827400964 
 01/01  09:00:00,0.75,-6.700000000000002,-1.8708117218197398,0.0023173945075576335,57.916666666666664,100619.16666666667,0.975,328.4166666666667,-25.479945244118195,213.33333333333334,92.66666666666667,503.4166666666667,0.0,0.0,46.78436415254726,18.0,13.0,16.0,0.0,0.0,6552.531731999476,1.2752442519226086,135.23731444809707,15.815028721490227,47.49842991967913,0.0,0.0,12435.102510755736,11902.363585069523,42051.97784291201,134.57263742662977,82.45263343825123,2.712261441695619,0.24487349490951227,0.0,1.0,13.392030827400964 
 01/01  10:00:00,3.716666666666667,-6.700000000000002,-0.05162439225669002,0.002338270637165221,47.416666666666664,100613.33333333333,1.0666666666666667,290.8333333333333,-23.33450513316946,220.83333333333334,64.66666666666667,804.25,0.0,0.0,77.06016027215942,18.0,13.0,16.0,0.0,0.0,9598.674883496784,1.2614782497820032,147.47209813361425,23.404004225758765,32.49842991967913,0.0,0.0,9793.228037098821,30524.794076977403,76474.38138541872,151.4851121575044,94.98857941438331,5.799446110595252,0.11676824289273362,0.0,1.0,13.392030827400964 
