Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,-1.4749999999999999,-6.458333333333333,-3.1859308390356027,0.0022681871282043938,68.41666666666667,101740.83333333333,1.6083333333333334,213.75,-8.686150382222678,277.4166666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,3.5,1.0,4184.222857385985,1.3001210876465474,34.51236988892678,-66.61501654064439,165.75842991967914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.773061277368212 
 01/01  02:00:00,-1.9833333333333334,-6.291666666666667,-3.4919848953144808,0.0022667926079743155,71.25,101720.0,1.575,270.0,-10.76035784079634,268.75,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.0,1.0,3667.8204207866934,1.3022916911509028,59.45586080794872,-58.59924752619575,150.75842991967912,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.773061277368212 
 01/01  03:00:00,-1.8416666666666668,-6.8500000000000005,-3.5562957709672847,0.0021781262913526177,67.66666666666667,101720.0,1.9333333333333333,283.4166666666667,-10.31379032954471,270.5833333333333,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.0,1.0,3589.324202862504,1.3017965483614058,75.55667879024598,-48.502138639412955,135.75842991967914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.773061277368212 
 01/01  04:00:00,-1.5666666666666667,-7.8,-3.626827917201972,0.0020383571286922034,61.916666666666664,101720.0,2.0416666666666665,293.0,-10.496193950546646,269.8333333333333,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.0,1.0,3517.613298043329,1.3007698433298547,87.42078449126065,-37.694901987395326,120.75842991967913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.773061277368212 
 01/01  05:00:00,-1.3416666666666668,-8.708333333333334,-3.7238671119335973,0.0019004614634988892,56.666666666666664,101737.5,2.0,293.0,-10.132254568741038,271.3333333333333,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.5833333333333333,1.5833333333333333,3400.0380385122467,1.3002038097897073,97.44085955026053,-26.773343408733382,105.7584299196791,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.773061277368212 
 01/01  06:00:00,-1.125,-9.816666666666666,-3.8349276711196225,0.0017576512187606622,51.5,101750.0,2.35,279.5833333333333,-9.028727801643925,275.9166666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.5833333333333335,2.5833333333333335,3261.6521336649917,1.299625418419301,106.83650608409056,-16.083070946495788,90.75842991967913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.773061277368212 
 01/01  07:00:00,-0.8833333333333333,-10.4,-3.8447202863525334,0.0016651227865314498,47.833333333333336,101779.16666666667,2.716666666666667,283.4166666666667,-7.840188138628027,280.9166666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,4.75,3.5833333333333335,3274.0279688878595,1.2990366832775848,116.34824520963822,-5.913177233348915,75.75842991967913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.773061277368212 
 01/01  08:00:00,-1.7916666666666667,-7.191666666666666,-3.5112779525935847,0.002183419018940824,68.0,101858.33333333333,2.3333333333333335,293.0,-6.126740413016772,288.25,21.444444444444443,7.499999999999999,0.0,0.0,4.448112975323973,18.0,13.0,16.0,6.0,4.583333333333333,3652.771110799315,1.3033196067249946,126.51832726963507,3.421329672174057,60.75842991967912,0.0,1.0,2436.067646688253,51.135030304137466,476.5634172655273,94.4758022018761,30.86038547954224,0.8819326002731019,0.17389314257941701,0.0,1.0,8.773061277368212 
 01/01  09:00:00,-2.033333333333333,-5.191666666666666,-3.1297751031244814,0.0024953479132661755,78.91666666666667,101929.16666666667,2.9333333333333336,293.0,-5.260499215095706,292.0,78.91666666666667,101.08333333333333,1.6203703703703703e-7,0.0005833333333333333,20.31283428233487,18.0,13.0,16.0,4.833333333333333,3.8333333333333335,4188.101921689996,1.3047332494557387,137.77677154930257,11.534766654802889,45.75842991967912,0.3333333333333333,1.0,9213.428529168032,1764.0025910979682,7848.553380567503,116.1866272308023,76.30289399389322,1.3253994962127442,0.273191422667487,0.0,1.0,8.773061277368212 
 01/01  10:00:00,-1.4666666666666668,-6.041666666666667,-3.0434308535507566,0.002344002166372296,70.75,101967.5,3.716666666666667,305.8333333333333,-6.4748260776518025,286.75,126.83333333333333,387.0833333333333,1.1574074074074073e-7,0.00041666666666666664,49.49479065550573,18.0,13.0,16.0,3.4166666666666665,3.0,4382.039258559566,1.3028166999765263,150.40148411394026,17.955683545893358,30.758429919679127,0.16666666666666666,1.0,15742.074738255598,10472.228684031536,33532.77673116308,123.89978545121407,86.31161073710406,1.992892668927461,0.2909884053158411,0.0,1.0,8.773061277368212 
