Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,2.0416666666666665,-1.4749999999999999,0.6614003855486953,0.0033991162816440785,78.0,101734.16666666667,0.7583333333333333,182.16666666666666,-16.872519875865795,244.66666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.25,2.25,10565.669165718165,1.2811122351846655,40.86679466140697,-70.5661536856385,166.18842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.12923582879565 
 01/01  02:00:00,1.1166666666666667,-2.3666666666666667,-0.31115286908540213,0.003147730736231581,77.41666666666667,101874.16666666667,1.1500000000000001,274.25,-19.95859408558755,233.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.0,1.0,9000.891337156669,1.2877063017266948,66.27195289584402,-61.07396937804009,151.18842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.12923582879565 
 01/01  03:00:00,1.0250000000000001,-2.4333333333333336,-0.3463394484812618,0.0031576108888077964,78.16666666666667,101864.16666666667,1.1083333333333334,266.75,-19.642385899931934,234.16666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.1666666666666665,1.0,8932.972378824523,1.2879900760942857,80.65410383246397,-49.81043139447056,136.18842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.12923582879565 
 01/01  04:00:00,0.725,-2.3666666666666667,-0.527031537774168,0.00314670963675723,79.58333333333333,101842.5,0.725,260.8333333333333,-18.79005185632582,237.33333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,3.0,1.0,8602.483199536666,1.2891491344859316,90.8877387593489,-38.09199182264126,121.18842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.12923582879565 
 01/01  05:00:00,0.48333333333333334,-2.4333333333333336,-0.6831444739411893,0.0031315546005204176,80.58333333333333,101824.16666666667,1.125,309.6666666666667,-18.033860785238534,240.16666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,3.5833333333333335,1.0,8320.316693777198,1.2900866373745419,99.56951668984699,-26.38621472226475,106.18842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.12923582879565 
 01/01  06:00:00,0.8083333333333332,-2.0749999999999997,-0.4022384994819766,0.0031996038279123134,80.41666666666667,101831.66666666667,1.2666666666666666,298.3333333333333,-18.122427788882177,239.83333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.8333333333333335,0.4166666666666667,8819.083597048937,1.2885114685287762,107.86218952556756,-14.963568136257251,91.18842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.12923582879565 
 01/01  07:00:00,1.1583333333333334,-1.7,-0.037591764158045944,0.0032872741659062967,80.58333333333333,101869.16666666667,1.3333333333333333,309.6666666666667,-18.033860785238534,240.16666666666666,2.9166666666666665,3.3333333333333335,0.0,0.0,0.5866025764988497,18.0,13.0,16.0,3.1666666666666665,0.0,9392.294504535597,1.2871601179756345,116.46125016066811,-4.071887056083104,76.18842991967914,0.0,0.0,325.6207663339124,0.6048983751748088,123.35135780154427,18.606900933366422,6.167567890077213,0.2047842011608125,0.06921269036007098,0.0,1.0,12.12923582879565 
 01/01  08:00:00,1.4916666666666665,-1.4666666666666668,0.3078301410235334,0.00335932260704469,80.41666666666667,101901.66666666667,1.6166666666666665,324.5833333333333,-16.587581957974038,245.66666666666666,39.916666666666664,94.33333333333333,0.0,0.0,10.569918012098647,18.0,13.0,16.0,4.0,0.0,9909.671706378034,1.2858602097986054,125.90881649592892,5.991572368976496,61.18842991967913,0.0,0.0,4893.9038204250455,749.6057265945793,5209.859485857234,121.64318757013957,47.24753643625011,1.4989435566399072,0.25894468935888276,0.0,1.0,12.12923582879565 
 01/01  09:00:00,2.8083333333333336,-1.0666666666666669,1.215722903676819,0.003455128245582293,75.33333333333333,101921.66666666667,1.1166666666666667,328.4166666666667,-15.268763860041219,250.75,82.83333333333333,413.3333333333333,0.0,0.0,38.463048914095445,18.0,13.0,16.0,3.4166666666666665,0.5833333333333334,11481.06004311771,1.2797847037992531,136.6841696058306,14.832298494190539,46.18842991967913,0.0,0.0,11304.90495366194,8918.888826464796,33367.022948259044,136.34390424006355,79.4518051376456,2.4898863741653154,0.22917521744474392,0.0,1.0,12.12923582879565 
 01/01  10:00:00,4.883333333333334,-0.725,2.559097175751774,0.003574302017569156,67.33333333333333,101918.33333333333,0.7000000000000001,124.25,-14.64948951844418,253.16666666666666,112.75,690.9166666666666,0.0,0.0,74.31840574140519,18.0,13.0,16.0,2.4166666666666665,1.0,13878.572144746606,1.2699518967226362,149.15120544033073,21.93104086496355,31.188429919679134,0.0,0.0,15691.249179347687,23661.52208507832,63102.07700757315,140.50759194835715,91.26365360094435,3.299320160800235,0.2116438013197631,0.0,1.0,12.12923582879565 
