Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,4.716666666666667,-0.425,2.575118819174583,0.003639806014144622,69.5,102199.16666666667,0.9333333333333332,296.25,-16.87433195234333,244.58333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.1666666666666667,0.5833333333333334,13874.357303232202,1.2740755496252516,41.06976176019317,-74.28972426181745,168.68842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.26774757547028 
 01/01  02:00:00,4.625,-0.20833333333333334,2.5857694153553115,0.003692417110208343,70.83333333333333,102020.0,0.9833333333333334,315.0,-16.065431226358005,247.66666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.0,1.0,13913.652994720565,1.2721541293809018,69.14444264273624,-64.16496783549012,153.68842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.26774757547028 
 01/01  03:00:00,4.441666666666666,-0.5,2.358561904183253,0.0036014861951846207,70.0,102025.83333333333,0.9,315.0,-16.956488997289284,244.25,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.4166666666666667,1.0,13500.002487647464,1.2732520048666118,82.82722710513819,-52.26550922705021,138.68842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.26774757547028 
 01/01  04:00:00,4.108333333333333,-0.9666666666666667,1.972883769010674,0.0034583290022519027,68.83333333333333,102053.33333333333,1.075,302.1666666666667,-17.901584661495914,240.66666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.0,1.0,12803.719812712114,1.2754187238003623,92.10437099934721,-40.011717159202156,123.68842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.26774757547028 
 01/01  05:00:00,3.4333333333333336,-1.3,1.5012774257778903,0.0033941358598083404,70.91666666666667,102110.83333333333,1.0833333333333333,272.0833333333333,-18.96886697522345,236.66666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.4166666666666667,0.4166666666666667,11960.13804017211,1.2793835927447725,99.90818329276793,-27.808849217707802,108.68842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.26774757547028 
 01/01  06:00:00,3.158333333333333,-1.3,1.3526005080644419,0.0033963913310472113,72.41666666666667,102215.83333333333,1.1166666666666667,333.75,-20.049765782124663,232.66666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.0,0.0,11687.731028189262,1.2819681089238284,107.40103807194127,-15.882375074445724,93.68842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.26774757547028 
 01/01  07:00:00,2.6750000000000003,-1.5333333333333332,0.9952870775848178,0.0033381751521061303,73.75,102328.33333333333,0.9666666666666667,328.4166666666667,-20.663367329523293,230.41666666666666,3.6666666666666665,27.5,0.0,0.0,0.7474591141761745,18.0,13.0,16.0,0.0,0.0,11053.133515171654,1.285749168496077,115.2540291359931,-4.447255640050005,78.68842991967914,0.0,0.0,439.5356812578571,0.38903371788058316,151.47378202654136,19.978894602629868,0.9180229213729779,0.41592093823209164,0.09114065954726246,0.0,1.0,15.26774757547028 
 01/01  08:00:00,3.1750000000000003,-1.4666666666666668,1.3058419229377416,0.0033496641154892293,71.5,102410.83333333333,0.7416666666666667,338.0,-20.61772203769023,230.58333333333334,43.333333333333336,365.0,0.0,0.0,17.597826686618873,18.0,13.0,16.0,0.0,0.0,11587.462637390292,1.2844350251878998,124.0059864027005,6.225687489145133,63.68842991967913,0.0,0.0,6052.651038291621,2719.165315206174,19902.14240099971,137.99811169198992,49.70907247665027,2.9694271412636333,0.28941955322895974,0.0,1.0,15.26774757547028 
 01/01  09:00:00,5.316666666666666,-1.7666666666666666,2.41705844616878,0.003270814626838717,60.25,102475.0,0.9916666666666667,298.3333333333333,-19.55333832862186,234.5,63.75,700.75,0.0,0.0,51.35875859501746,18.0,13.0,16.0,0.0,0.0,13554.74811785383,1.2755213593802832,134.173395964367,15.759038968368126,48.68842991967913,0.0,0.0,9644.070147391021,16560.04788124477,59555.51598757194,151.23226819192698,84.45484002871366,4.384437915556341,0.16843965051784235,0.0,1.0,15.26774757547028 
 01/01  10:00:00,8.266666666666667,-1.8666666666666665,3.9973477822582897,0.003242965150367136,48.75,102517.5,1.0250000000000001,257.1666666666667,-17.3317870270491,242.83333333333334,66.0,861.6666666666666,0.0,0.0,82.39051193863035,18.0,13.0,16.0,0.0,0.0,16467.024787398816,1.2627352167350085,146.21582561698935,23.626651626335427,33.68842991967913,0.0,0.0,10025.883117429583,33131.73217559008,82430.76034462711,151.9440247994944,95.62043714993024,5.995291953895122,0.11737469869056187,0.0,1.0,15.26774757547028 
 01/01  11:00:00,10.241666666666667,-2.4,4.874234494288806,0.0031117424817997882,40.916666666666664,102495.0,1.075,221.75,-15.184345777717303,251.08333333333334,74.75,914.75,0.0,0.0,104.10200857498359,18.0,13.0,16.0,0.0,0.0,18132.710959862798,1.2539115649297299,160.3181991342707,29.159377966151983,18.688429919679134,0.0,0.0,11071.269047722308,43798.22088863215,89866.34017980636,148.1295844476889,98.23798430697441,6.449293933944006,0.10913376222445544,0.0,1.0,15.26774757547028 
 01/01  12:00:00,11.283333333333331,-2.433333333333333,5.397623186164922,0.003102709852111772,38.0,102423.33333333333,1.55,176.75,-13.99270589814868,255.75,78.66666666666667,931.0833333333334,0.0,0.0,113.5374020191789,18.0,13.0,16.0,0.0,0.0,19162.74716569117,1.2484640407311434,176.02260168769533,31.682712307964533,3.6884299196791326,0.0,0.0,11532.149932540136,48415.42585599512,92181.21528864295,146.59620519842085,99.0041025863651,6.642419686948067,0.10654771490667618,0.0,1.0,15.26774757547028 
 01/01  13:00:00,11.991666666666665,-2.1,5.88325086467022,0.0032032602680584356,37.416666666666664,102366.66666666667,1.8,184.25,-13.089866682304091,259.3333333333333,77.5,925.4166666666666,0.0,0.0,110.30609429658828,18.0,13.0,16.0,0.0,0.0,20132.276463068196,1.2444721880587923,192.0974040631247,30.811064448025846,-11.311570080320868,0.0,0.0,11400.417620548402,46830.90649616337,91420.54895854548,147.1133741678836,98.78724536947226,6.561111609543122,0.1076187497160217,0.0,1.0,15.26774757547028 
 01/01  14:00:00,12.141666666666666,-2.3333333333333335,5.889735560039205,0.003149557310572072,36.416666666666664,102332.5,1.5083333333333335,203.0,-12.527174222808375,261.5833333333333,68.75,893.0833333333334,0.0,0.0,94.00149194340486,18.0,13.0,16.0,0.0,0.0,20148.375677442953,1.2435091628781942,207.09703401030404,26.68404495115064,-26.311570080320866,0.0,0.0,10301.14495955623,39062.73234441153,86908.02317797695,149.8821045095502,97.30113787980595,6.406462999584311,0.10885618936449755,0.0,1.0,15.26774757547028 
 01/01  15:00:00,11.925000000000002,-2.5,5.741193197700145,0.0031186492892005847,36.583333333333336,102337.5,1.2416666666666667,215.83333333333334,-12.714274328907512,260.8333333333333,57.666666666666664,813.5,0.0,0.0,67.09903024574986,18.0,13.0,16.0,0.0,0.0,19851.404878111454,1.2445767435583732,220.16049499110588,19.875380120050142,-41.31157008032087,0.0,0.0,8921.789785225092,25799.910654608186,75335.26620506622,154.77767864564143,92.4864466514187,5.860345685854379,0.12093978474201411,0.0,1.0,15.26774757547028 
 01/01  16:00:00,11.566666666666668,-2.5,5.572099848190709,0.0031280521372240347,37.583333333333336,102367.5,1.1416666666666666,185.91666666666666,-13.06853685892285,259.4166666666667,46.333333333333336,582.8333333333334,0.0,0.0,32.71645504750323,18.0,13.0,16.0,0.0,0.0,19512.978997807597,1.246489776366728,231.20205026979224,11.085384720266736,-56.31157008032087,0.0,0.0,7175.979865534096,9190.38159357905,44561.00629110678,154.57406663886,74.61943763592934,4.378223913734127,0.17211340169683487,0.0,1.0,15.26774757547028 
 01/01  17:00:00,10.116666666666667,-2.5,4.827751359202736,0.0031323371586089617,41.5,102403.33333333333,0.9249999999999999,210.5,-13.908783302529542,256.0833333333333,17.5,126.80555555555556,0.0,0.0,5.043632475962179,18.0,13.0,16.0,0.0,0.0,18058.329599122986,1.2533065463529176,240.5864672382364,0.9172261725639674,-71.31157008032085,0.0,0.0,2369.127971569431,339.08034534107355,4454.699916059658,89.07204458427982,18.88562207032663,1.671639677487682,0.2265198622745274,0.0,1.0,15.26774757547028 
 01/01  18:00:00,8.674999999999999,-1.1,4.491319617147102,0.003453437136567515,50.416666666666664,102455.0,0.975,274.25,-14.883957814716192,252.25,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.0,0.0,17409.443720348147,1.2597007992999727,248.8165238442557,-10.182374016178478,-86.31157008032085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.26774757547028 
 01/01  19:00:00,7.6000000000000005,-0.5666666666666667,4.1345672769131445,0.0036162852330545964,56.75,102480.0,1.1583333333333334,305.8333333333333,-15.504617021131622,249.83333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.0,0.0,16732.00645912273,1.2645045115273812,256.4152302943758,-21.896305069310717,-101.31157008032085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.26774757547028 
 01/01  20:00:00,6.283333333333332,-0.9,3.2827157515004366,0.0035110635978629523,60.333333333333336,102491.66666666667,0.9666666666666667,315.0,-16.630205235241004,245.5,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.0,0.0,15135.737412939212,1.270821952322028,263.9647382052392,-33.988777046186335,-116.31157008032085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.26774757547028 
