Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,4.4750000000000005,0.024999999999999998,2.5471669412697966,0.0037092644926470745,72.16666666666667,102384.16666666667,1.2916666666666667,212.16666666666666,-15.012035347663536,251.75,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,3.0,0.5833333333333334,13804.18198166792,1.277351949215918,28.396607851727207,-76.80648993361687,173.03842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.485626364809411 
 01/01  02:00:00,4.2749999999999995,0.13333333333333333,2.4646242238435416,0.003727141917201212,73.58333333333333,102453.33333333333,1.0,215.83333333333334,-14.841061267319589,252.41666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,3.0,1.0,13646.67474664399,1.2790983599400139,64.74408691342609,-67.69930984101855,158.03842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.485626364809411 
 01/01  03:00:00,4.75,0.47500000000000003,2.8910945310659457,0.003843588611341243,73.41666666666667,102493.33333333333,1.2333333333333334,225.0,-15.247184843804007,250.83333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.4166666666666665,0.4166666666666667,14419.523193955756,1.2771732441381884,80.50405382822844,-55.896049529818704,143.03842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.485626364809411 
 01/01  04:00:00,5.3500000000000005,0.6,3.327477487784114,0.003919648563662458,71.83333333333333,102545.0,1.6916666666666667,238.41666666666666,-15.461532790110311,250.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.4166666666666667,0.0,15217.687023153043,1.2749091245527402,90.27386951277721,-43.57253406812787,128.03842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.485626364809411 
 01/01  05:00:00,5.833333333333333,0.8333333333333334,3.6638861038366897,0.003971779872877996,70.41666666666667,102599.16666666667,1.8416666666666668,234.58333333333334,-15.461532790110311,250.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.0,0.0,15837.82244194448,1.2732663738972663,98.11330513819422,-31.237441501926725,113.03842991967913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.485626364809411 
 01/01  06:00:00,6.291666666666667,1.175,4.050009406355264,0.0040738164631588724,70.0,102660.83333333333,1.9166666666666667,238.41666666666666,-15.612014215072074,249.41666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.4166666666666667,0.0,16558.14624854998,1.2717348083450937,105.43952543322614,-19.126230383087034,98.03842991967912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.485626364809411 
 01/01  07:00:00,6.441666666666666,1.125,4.141647813674006,0.004079710936693956,69.41666666666667,102713.33333333333,2.058333333333333,234.58333333333334,-15.418720564755963,250.16666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.5833333333333334,0.0,16724.8114071738,1.2716903665701278,112.98870899121647,-7.441417424816,83.03842991967912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.485626364809411 
 01/01  08:00:00,6.808333333333334,1.175,4.348753401813247,0.004087069498393909,67.83333333333333,102747.5,2.625,238.41666666666666,-15.054522474150616,251.58333333333334,29.75,167.38888888888889,0.0,0.0,8.955633652408585,18.0,13.0,16.0,0.4166666666666667,0.0,17114.536597361173,1.2704328965755463,121.3121296224096,3.5714560147501246,68.03842991967912,0.0,0.0,3993.8979998528753,731.0227032021907,6988.130277467258,111.12890389438549,31.14110229066877,1.888701469492042,0.2567622681098998,0.0,1.0,14.485626364809411 
 01/01  09:00:00,8.033333333333333,1.5333333333333332,5.085697925538948,0.004158987410482874,63.5,102754.16666666667,2.591666666666667,234.58333333333334,-14.50086417778916,253.75,73.0,434.3333333333333,0.0,0.0,35.618178341851134,18.0,13.0,16.0,0.0,0.0,18535.715740517426,1.2648377589112616,130.9324072118446,13.571809191387871,53.038429919679125,0.0,0.0,10244.894768395643,8274.432433559492,33605.1627883633,139.9976052335928,76.09880105962891,2.7180938227451192,0.22187057929613227,0.0,1.0,14.485626364809411 
 01/01  10:00:00,9.808333333333332,1.4666666666666668,5.995462427175478,0.004157519300682941,56.333333333333336,102761.66666666667,3.116666666666667,238.41666666666666,-13.446027865467784,257.9166666666667,85.0,669.5,0.0,0.0,67.65957686061246,18.0,13.0,16.0,0.0,0.0,20329.29910278008,1.2569990914528053,142.35122208206644,22.07592094645673,38.038429919679125,0.0,0.0,12660.031015569853,23514.540500627318,61998.39193219138,148.9372686385012,92.40168986596517,3.898567144635799,0.16182028463398185,0.0,1.0,14.485626364809411 
