Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,5.291666666666667,1.5333333333333332,3.6003109874188115,0.0041624913509531155,76.33333333333333,102211.66666666667,1.8166666666666667,242.08333333333334,-15.268763860041219,250.75,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.4166666666666667,0.0,15768.34459400768,1.270538535971597,30.768016117467425,-76.81094732943433,172.51842991967916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.804095949476784 
 01/01  02:00:00,5.558333333333334,1.2583333333333333,3.601501202509469,0.004058219758611542,73.0,102145.83333333333,2.1666666666666665,270.0,-15.097278331734003,251.41666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.0,0.0,15776.532358784103,1.2687158470618822,66.04809627247484,-67.41391011051134,157.51842991967916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.804095949476784 
 01/01  03:00:00,5.7749999999999995,1.3,3.758028579004966,0.004081908715174688,72.41666666666667,102270.0,1.825,283.4166666666667,-15.354260861848,250.41666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.4166666666666667,0.0,16055.381931454374,1.2692233487268414,81.26706043309255,-55.511585559393296,142.51842991967916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.804095949476784 
 01/01  04:00:00,5.666666666666667,1.3,3.759394009435192,0.004121144891469967,73.75,102390.0,1.9916666666666671,305.8333333333333,-15.762823181240833,248.83333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.0,0.0,16044.2388452051,1.2711270544708284,90.801937223878,-43.14046905290579,127.51842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.804095949476784 
 01/01  05:00:00,5.966666666666666,1.125,3.8654733996550585,0.004073202985293283,71.5,102515.83333333333,2.725,302.1666666666667,-16.129855117181478,247.41666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.0,0.0,16227.545752854725,1.2714187431539132,98.5187404732239,-30.77600746494348,112.51842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.804095949476784 
 01/01  06:00:00,6.766666666666667,1.0,4.17034491183878,0.003971770061505317,66.08333333333333,102669.16666666667,2.6916666666666664,293.0,-16.086582045548273,247.58333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.0,0.0,16782.52567572756,1.2698869093086917,105.77585790245818,-18.64503760879226,97.51842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.804095949476784 
 01/01  07:00:00,7.508333333333333,1.0,4.56877267024253,0.003970030220051712,62.833333333333336,102775.0,2.6916666666666664,293.0,-15.676668127836876,249.16666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.0,0.0,17528.899701614257,1.2678403715983624,113.28976725666814,-6.948043686019001,82.51842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.804095949476784 
 01/01  08:00:00,7.799999999999998,1.0,4.757374917005141,0.0039955184028194314,62.0,102800.0,3.3083333333333336,293.0,-15.161545180562976,251.16666666666666,19.527777777777775,72.66666666666667,0.0,0.0,5.748477029479087,18.0,13.0,16.0,0.0,0.0,17888.238052039615,1.2667801604012434,121.60628699768715,4.068330620575835,67.51842991967914,0.0,0.0,2667.2466848209583,506.56988929600857,3897.4285226667234,109.395124725113,24.987601861329562,1.3041302251050864,0.11969740106554784,0.0,1.0,14.804095949476784 
 01/01  09:00:00,8.441666666666666,1.5833333333333333,5.271328073805964,0.0041353533984066345,61.416666666666664,102811.66666666667,3.658333333333333,293.0,-14.50086417778916,253.75,83.41666666666667,464.6666666666667,0.0,0.0,40.2787489644625,18.0,13.0,16.0,0.0,0.0,18889.729754911048,1.2637563096679465,131.24910919758346,14.059621587702958,52.51842991967914,0.0,0.0,11445.567599520999,9457.776274747734,36694.953313805985,137.47989191058716,77.13779731864462,2.6661995795824196,0.24747771578102293,0.0,1.0,14.804095949476784 
 01/01  10:00:00,10.125,1.0083333333333335,5.987833277394759,0.0040186866151915935,53.416666666666664,102825.83333333333,3.875,293.0,-13.446027865467784,257.9166666666667,62.25,801.6666666666666,0.0,0.0,74.20650920346108,18.0,13.0,16.0,0.0,0.0,20300.006055185513,1.2566572557524764,142.72236805076662,22.53508480452142,37.51842991967914,0.0,0.0,9501.836326370909,29357.647465762984,76061.12799313235,152.6371577170212,94.70913822296639,5.846338020339044,0.11678657200961771,0.0,1.0,14.804095949476784 
