Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,4.266666666666667,1.1916666666666669,2.980521526366678,0.004124667522801417,81.25,102082.5,1.9333333333333333,139.25,-13.698132925512775,256.9166666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.8333333333333335,0.5833333333333334,14635.527275774897,1.2737055052496176,27.016855189258667,-75.73735719570729,172.84842991967912,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.604564186220562 
 01/01  02:00:00,4.925,0.9,3.2043997234452615,0.004026300971430115,75.58333333333333,101995.83333333333,2.1,144.58333333333334,-13.761004991615948,256.6666666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.0,1.0,15055.237904654647,1.2698031432204384,62.49761610977441,-67.04371357558811,157.84842991967912,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.604564186220562 
 01/01  03:00:00,4.508333333333334,0.9,2.9716921755598382,0.004017175715934401,77.75,102131.66666666667,1.9833333333333334,135.0,-14.03469732141817,255.58333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.5833333333333335,1.0,14610.53544054575,1.2734211408553266,78.95278846527721,-55.534681732450544,142.84842991967912,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.604564186220562 
 01/01  04:00:00,4.3,1.1333333333333333,2.9063655562864743,0.004046978105620975,79.58333333333333,102277.5,2.0166666666666666,135.0,-13.487519395196708,257.75,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,3.0,1.5833333333333333,14474.410882254333,1.2761356621362152,89.26705951148227,-43.412161824467596,127.84842991967912,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.604564186220562 
 01/01  05:00:00,4.183333333333334,1.4749999999999999,2.9472291509217405,0.00411730474614864,81.75,102433.33333333333,2.1,122.16666666666667,-12.735223932821981,260.75,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,3.5833333333333335,2.5833333333333335,14532.72882788159,1.2784742066009398,97.50294323020303,-31.242012531031623,112.84842991967912,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.604564186220562 
 01/01  06:00:00,4.1000000000000005,1.8333333333333333,3.034968184399816,0.004208468706573945,84.16666666666667,102593.33333333333,1.9833333333333334,125.83333333333333,-11.70151749809969,264.9166666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,4.0,3.5833333333333335,14677.047391917593,1.2806694092952238,105.13908928158015,-19.2843413648613,97.84842991967912,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.604564186220562 
 01/01  07:00:00,3.8083333333333336,1.825,2.891197262569644,0.004217506122141348,86.16666666666667,102677.5,1.55,148.41666666666666,-11.762967356786646,264.6666666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,3.4166666666666665,3.4166666666666665,14404.357197516185,1.2830517641244852,112.94454238455073,-7.754240114921334,82.84842991967912,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.604564186220562 
 01/01  08:00:00,4.008333333333334,1.875,3.021069319251532,0.0042309733678968274,85.25,102695.83333333333,1.4749999999999999,131.75,-12.174993432191059,263.0,21.166666666666668,2.1666666666666665,0.0,0.0,4.280594467906673,18.0,13.0,16.0,3.5833333333333335,3.0,14640.676669016755,1.2823275005516208,121.48274971497865,3.095385637315005,67.84842991967912,0.0,1.0,2355.114123191457,0.4468480852548577,3.475996879012955,92.92408706202322,0.5347687506173777,0.8471683117240785,0.17664078608504488,0.0,1.0,13.604564186220562 
 01/01  09:00:00,4.941666666666666,2.35,3.7025956299390135,0.004358477179422391,82.25,102705.83333333333,1.4833333333333334,99.58333333333333,-11.455133568403502,265.9166666666667,87.25,45.75,0.0,0.0,19.825996947965834,18.0,13.0,16.0,4.0,3.0,15905.941791744486,1.277889039065189,131.2713447156755,12.92094183611298,52.84842991967913,0.0,1.0,9974.22334377852,929.8424988751334,3491.2064957411417,113.6666788351481,54.33489141194292,1.1348401322892927,0.27120851824250053,0.0,1.0,13.604564186220562 
 01/01  10:00:00,6.566666666666666,2.6,4.696169113720362,0.0044545217308086275,75.16666666666667,102721.66666666667,1.3416666666666668,103.41666666666667,-10.092415778184412,271.5,148.66666666666666,244.41666666666666,0.0,0.0,47.911387520582686,18.0,13.0,16.0,3.4166666666666665,3.0,17793.323656646036,1.270469697823026,142.78917507034575,21.243120243279993,37.84842991967913,0.0,1.0,17678.925040799128,8247.380662373193,22135.287751705797,118.82841307015848,89.96242756463228,1.588368330776549,0.29182147384472107,0.0,1.0,13.604564186220562 
