Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,4.258333333333334,0.6083333333333334,2.707847791636992,0.003921005213385829,77.33333333333333,102286.66666666667,2.6666666666666665,215.83333333333334,-10.2735438444752,270.75,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,6.166666666666667,1.5833333333333333,14116.332111749953,1.2767071284691598,34.14276538271073,-73.52968838555661,169.88842991967917,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.566751441326444 
 01/01  02:00:00,3.65,0.30833333333333335,2.215489123338678,0.003806294281536324,78.41666666666667,102325.83333333333,2.8249999999999997,212.16666666666666,-9.829445966442677,272.5833333333333,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,6.416666666666667,2.0,13212.816158117836,1.2802295660570382,64.29008575752292,-64.37397245288355,154.8884299196791,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.566751441326444 
 01/01  03:00:00,4.016666666666667,1.0083333333333333,2.651632702353241,0.00397303653268746,79.75,102335.83333333333,2.525,215.83333333333334,-10.578226608218964,269.5,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,4.833333333333333,1.4166666666666667,14002.105331076236,1.2783198455503664,79.66654010219011,-52.9628101261146,139.88842991967917,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.566751441326444 
 01/01  04:00:00,4.2749999999999995,2.408333333333333,3.384274406486966,0.004407471485235111,86.83333333333333,102369.16666666667,2.1666666666666665,198.75,-11.907370864155846,264.0833333333333,0.0,0.0,1.6203703703703703e-7,0.0005833333333333333,0.0,18.0,13.0,16.0,4.0,1.5833333333333333,15353.566175763088,1.2766595815078399,89.92569585672122,-41.014202705446614,124.88842991967915,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.566751441326444 
 01/01  05:00:00,4.633333333333334,3.725,4.178935230762312,0.004858216797243981,93.33333333333333,102425.0,1.7666666666666666,180.0,-12.278448261599701,262.5833333333333,0.0,0.0,1.1574074074074073e-7,0.00041666666666666664,0.0,18.0,13.0,16.0,3.4166666666666665,2.0,16847.732580410495,1.2747907831700054,98.35740553619854,-29.04304572525994,109.88842991967915,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.566751441326444 
 01/01  06:00:00,4.8,4.2749999999999995,4.49753409788145,0.00503087305566561,95.58333333333333,102496.66666666667,1.7750000000000001,180.0,-9.338347809691337,274.6666666666667,0.0,0.0,1.6203703703703703e-7,0.0005833333333333333,0.0,18.0,13.0,16.0,5.916666666666667,3.1666666666666665,17450.03393887713,1.2745665388611116,106.28399999517838,-17.313653406329504,94.88842991967914,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.566751441326444 
 01/01  07:00:00,4.45,3.875,4.180150709060276,0.004927100054112844,96.0,102559.16666666667,1.8416666666666668,193.41666666666666,-6.667410886371708,285.9166666666667,0.0,0.0,1.1574074074074073e-7,0.00041666666666666664,0.0,18.0,13.0,16.0,5.666666666666667,4.0,16834.69727551826,1.277163779216444,114.44057576598232,-6.055558832906584,79.88842991967914,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.566751441326444 
 01/01  08:00:00,4.316666666666667,3.5,3.9695598839771638,0.0048191900431242924,94.83333333333333,102591.66666666667,1.8,203.0,-9.07960063678207,275.75,28.25,0.0,0.0,0.0,5.6499999999999995,18.0,13.0,16.0,3.4166666666666665,2.8333333333333335,16428.734851771227,1.2784018122235379,123.38322709630897,4.458550007698929,64.88842991967914,0.0,1.0,3140.705113518461,0.0,0.0,110.56111716571964,1.4368871154382443,0.9999990716563039,0.23823267574481122,0.0,1.0,12.566751441326444 
 01/01  09:00:00,4.691666666666666,3.6750000000000003,4.241983458776514,0.004872841919334803,93.41666666666667,102617.5,2.441666666666667,203.0,-12.052072501108151,263.5,79.33333333333333,1.1666666666666667,0.0,0.0,15.932920741426335,18.0,13.0,16.0,2.4166666666666665,2.0,16943.56731458609,1.276888822822527,133.61710918367757,13.861469125384344,49.88842991967915,0.0,1.0,8936.835642682805,15.997238132493601,56.08437040488456,112.5928798633967,36.90270046223759,1.0038283385580113,0.23167293118728294,0.0,1.0,12.566751441326444 
 01/01  10:00:00,5.95,4.616666666666666,5.318817974873491,0.00519812955060734,91.25,102635.83333333333,2.433333333333333,203.0,-11.231987173644645,266.8333333333333,129.41666666666666,99.58333333333333,0.0,0.0,33.849877214345064,18.0,13.0,16.0,3.1666666666666665,2.0,19036.633477222185,1.2707040883431777,145.5765117598971,21.652936627410686,34.88842991967915,0.0,1.0,15262.274981689456,3612.3317058215976,9016.270285847371,117.55190930435644,74.80534464296768,1.269813883083575,0.2486348001998189,0.0,1.0,12.566751441326444 
 01/01  11:00:00,8.800000000000002,5.316666666666667,7.111120250640745,0.0054939456698397835,79.5,102605.0,2.975,215.83333333333334,-7.846931184028591,280.9166666666667,167.41666666666666,532.5833333333334,0.0,0.0,82.4545710113006,18.0,13.0,16.0,4.0,2.5833333333333335,22672.546063024183,1.2569017265457476,159.44132859154655,27.2057691845731,19.88842991967915,0.0,1.0,21800.24019414027,22821.40093505671,49624.78134514036,130.2898006574579,93.07448127366507,2.3397712944321256,0.2600730351375948,0.0,1.0,12.566751441326444 
 01/01  12:00:00,10.825000000000001,4.641666666666667,7.799178857181143,0.005249398937150473,66.16666666666667,102521.66666666667,3.716666666666667,238.41666666666666,-6.725459699270061,285.6666666666667,200.66666666666666,538.9166666666666,0.0,0.0,93.76250570464128,18.0,13.0,16.0,2.25,1.25,24111.394311855896,1.2473951133474337,174.82490578133434,29.88633559585496,4.88842991967915,0.0,1.0,25193.17101122327,25418.475458533267,51083.441744983276,125.55048650799864,94.92659665847391,2.218196241505272,0.28648845775055615,0.0,1.0,12.566751441326444 
 01/01  13:00:00,9.625,4.2749999999999995,7.024592210086435,0.005090297569797863,69.58333333333333,102485.83333333333,3.9166666666666665,248.0,-7.663049912559643,281.6666666666667,183.83333333333334,89.74999999999999,0.0,0.0,45.67913989705145,18.0,13.0,16.0,2.75,0.5833333333333334,22493.179753908713,1.2525767447695484,190.64909391689,29.31140806689398,-10.11157008032085,0.0,1.0,21295.49492578668,4231.911692669422,8517.709179915695,115.75888552023953,91.18817625613451,1.212562806169416,0.26690530000825125,0.0,1.0,12.566751441326444 
 01/01  14:00:00,9.375,4.2250000000000005,6.8202923449246065,0.005020782492575904,69.75,102495.83333333333,3.65,234.58333333333334,-7.369213111690319,282.9166666666667,145.58333333333334,68.49999999999999,0.0,0.0,34.7193775099785,18.0,13.0,16.0,3.4166666666666665,0.4166666666666667,22064.518978020133,1.253939841342282,205.59393118293073,25.568150442726324,-25.11157008032085,0.0,1.0,17005.46999854981,2539.6931182732346,6220.607343143165,116.83554479123391,80.03167817607262,1.1847317255944347,0.240111388637441,0.0,1.0,12.566751441326444 
