Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,5.0249999999999995,-0.041666666666666664,2.8662427172194014,0.003724198001490871,69.66666666666667,102316.66666666667,3.091666666666667,283.4166666666667,-11.538299916037914,265.75,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,5.166666666666667,0.5833333333333334,14398.220936953503,1.2739675756304096,35.988388090357184,-75.418885705169,170.56842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.186756664379716 
 01/01  02:00:00,5.8999999999999995,0.5583333333333333,3.5781647380295407,0.0039075021017800715,68.58333333333333,102031.66666666667,3.775,293.0,-7.721598222977756,281.4166666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,5.416666666666667,1.0,15743.84102751527,1.2660509808220146,67.28670592266606,-65.68382055347705,155.56842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.186756664379716 
 01/01  03:00:00,5.841666666666666,0.775,3.647706145751313,0.003976059540560188,70.16666666666667,102183.33333333333,3.4583333333333335,293.0,-8.930093737877826,276.3333333333333,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,4.416666666666667,1.0,15857.002961490449,1.2680591904013145,81.79384414269539,-53.82553187430259,140.56842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.186756664379716 
 01/01  04:00:00,5.683333333333334,0.9583333333333334,3.568241642855741,0.003973457709722539,71.0,102337.5,3.5583333333333336,279.5833333333333,-10.863641058305982,268.3333333333333,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,3.4166666666666665,1.0,15690.201548493833,1.2706989069564743,91.27936868840494,-41.54507905580433,125.56842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.186756664379716 
 01/01  05:00:00,5.425,0.7666666666666666,3.377638222900849,0.0039274395907329725,71.58333333333333,102522.5,3.25,257.1666666666667,-13.13413095217416,259.1666666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.8333333333333333,1.0,15313.15682212973,1.2742703650844212,99.10323580936733,-29.288083144638417,110.56842991967913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.186756664379716 
 01/01  06:00:00,5.358333333333333,0.8333333333333334,3.436048261247848,0.003987582718363496,73.16666666666667,102744.16666666667,3.35,260.8333333333333,-15.377679239597901,250.33333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.0,1.0,15396.6945355177,1.2772079830771432,106.52909402144148,-17.2840505756263,95.56842991967913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.186756664379716 
 01/01  07:00:00,4.991666666666667,1.2333333333333334,3.327847691180409,0.004049517540426174,76.33333333333333,102886.66666666667,3.658333333333333,270.0,-16.542140378112332,245.83333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.4166666666666667,0.4166666666666667,15181.002045645213,1.2805396979416919,114.25462385369217,-5.74250457224943,80.56842991967913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.186756664379716 
 01/01  08:00:00,5.166666666666667,1.1666666666666667,3.4001566039692683,0.004029238079508533,75.08333333333333,102949.16666666667,3.4083333333333337,270.0,-17.065656669498352,243.83333333333334,28.083333333333332,45.333333333333336,0.0,0.0,6.913677425361136,18.0,13.0,16.0,0.0,0.0,15307.24957902129,1.280553236000044,122.82388419583448,5.076825373868911,65.56842991967913,0.0,0.0,3444.2819118326365,371.2068382777524,2569.200343814768,119.23819869306983,27.604170291853,1.2448954206734573,0.18998545404293446,0.0,1.0,14.186756664379716 
 01/01  09:00:00,6.491666666666667,1.4083333333333332,4.239830804351651,0.004120862053139008,70.08333333333333,103005.0,2.7916666666666665,257.1666666666667,-16.673107514235188,245.33333333333334,95.5,315.1666666666667,0.0,0.0,36.06084940878423,18.0,13.0,16.0,0.0,0.0,16878.892332797623,1.2749932425326032,132.75659251000795,14.812656841773636,50.568429919679126,0.0,0.0,12253.10597872817,6825.9635904553215,25080.052093205344,127.87964958953467,77.57852944177343,1.9820181431940795,0.2650412927422569,0.0,1.0,14.186756664379716 
 01/01  10:00:00,8.016666666666667,0.24166666666666672,4.659373724282648,0.0038209581617423094,58.666666666666664,103018.33333333333,3.3166666666666664,287.0833333333333,-15.634000576702533,249.33333333333334,116.16666666666667,631.9166666666666,0.0,0.0,72.76301082861052,18.0,13.0,16.0,0.0,0.0,17668.25254676415,1.2688484002409488,144.53226175159855,22.95709916391547,35.568429919679126,0.0,0.0,16217.198107011833,22796.7619839008,58065.52762647777,139.58254341627315,91.73516550675517,3.0442649088857263,0.21195303486799463,0.0,1.0,14.186756664379716 
