Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,2.341666666666667,-2.341666666666667,0.4070161447698248,0.0031674237884444234,70.25,100592.5,2.5833333333333335,13.416666666666666,-15.628624924343521,249.41666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,3.1666666666666665,1.0,10288.657399573589,1.2658306911741684,41.641891209157,-72.36172977487323,167.21842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.908521292238744 
 01/01  02:00:00,3.5916666666666663,-1.2083333333333333,1.556114490809043,0.00344690381039143,69.91666666666667,100250.0,2.733333333333333,23.0,-12.880847268723434,260.1666666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,4.0,1.0,12252.546746984632,1.2552430599064077,67.98057995218575,-62.487219071175105,152.21842991967912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.908521292238744 
 01/01  03:00:00,3.858333333333333,-1.9666666666666668,1.4714759258445673,0.003273729326094269,65.25,100370.0,2.841666666666667,9.583333333333334,-12.818257470214727,260.4166666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,4.0,0.4166666666666667,12087.886954025025,1.2558833986891345,81.922393320142,-50.87672024834575,137.21842991967912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.908521292238744 
 01/01  04:00:00,2.966666666666667,-1.5999999999999999,1.1349856567390246,0.0033910471435179587,72.16666666666667,100513.33333333333,2.158333333333333,333.75,-13.214955905455914,258.8333333333333,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,4.583333333333333,0.0,11480.466941239867,1.2615056699768428,91.63859663692114,-38.87166496398526,122.21842991967912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.908521292238744 
 01/01  05:00:00,1.8333333333333333,-1.3333333333333333,0.5436762031829342,0.0034298101342279167,79.16666666666667,100702.5,1.7,328.4166666666667,-12.548946701276407,261.5,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,6.166666666666667,0.0,10431.659230715182,1.2690077072027244,99.86042923780023,-26.903791142090938,107.21842991967912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.908521292238744 
 01/01  06:00:00,0.6833333333333331,-1.9666666666666668,-0.3909073210934538,0.003276202981231276,82.33333333333333,100912.5,1.8166666666666667,124.25,-14.874681647750142,252.33333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.9166666666666665,0.0,8884.427383232154,1.2773106599496749,107.7436670640242,-15.219616367786573,92.21842991967912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.908521292238744 
 01/01  07:00:00,-0.075,-2.3000000000000003,-0.9259446342683848,0.0032006044216087194,85.16666666666667,101035.0,1.0833333333333333,75.5,-20.79843756761152,230.0,3.75,26.583333333333332,0.0,0.0,0.7893622798741333,18.0,13.0,16.0,0.0,0.0,7928.710607199999,1.282563855381549,115.97040383438838,-4.050585253116199,77.21842991967912,0.0,0.0,455.43188142832054,1.6678605581761003,225.27807491481533,20.2414169523698,1.412401723603858,0.4040103437318043,0.08417892607204723,0.0,1.0,12.908521292238744 
 01/01  08:00:00,0.7333333333333334,-2.3000000000000003,-0.44116124169963866,0.0032169461062852996,80.75,101095.0,0.7333333333333334,191.75,-23.236550837925822,221.16666666666666,43.25,352.5833333333333,0.0,0.0,17.356717231404776,18.0,13.0,16.0,0.0,0.0,8786.659964536406,1.279507480299903,125.08224679086743,6.317907443861292,62.218429919679124,0.0,0.0,6054.844708494692,2659.7623407496017,19464.999927287852,138.4969568134373,50.572764271442374,2.9107968503234036,0.28108763785373114,0.0,1.0,12.908521292238744 
 01/01  09:00:00,3.091666666666667,-2.0083333333333333,1.066324164753676,0.0032695672384532356,69.41666666666667,101120.0,0.9,221.75,-21.860724307548583,226.08333333333334,59.25,678.0833333333334,0.0,0.0,48.608514062071585,18.0,13.0,16.0,0.0,0.0,11302.43842252923,1.2687992452894217,135.5789081501233,15.497002840315766,47.21842991967913,0.0,0.0,9078.30783650842,15810.921866080113,57805.54516251737,153.1762995908823,84.69302103058291,4.499714822786581,0.15741332604244246,0.0,1.0,12.908521292238744 
 01/01  10:00:00,5.466666666666666,-3.0833333333333335,2.0968677406539333,0.0030368097978626662,54.666666666666664,101143.33333333333,1.4833333333333334,163.33333333333334,-19.77993430510755,233.66666666666666,60.666666666666664,842.9166666666666,0.0,0.0,78.0189332695306,18.0,13.0,16.0,0.0,0.0,13118.722965414912,1.2587356971139834,147.8713718686416,22.959627007658785,32.21842991967913,0.0,0.0,9269.703724966168,31412.727190939248,80299.56669924317,152.82618104513367,95.22300987878906,6.217783145626197,0.10962950464412992,0.0,1.0,12.908521292238744 
