Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,4.241666666666667,0.5,2.668102445142574,0.0038962159683345893,76.91666666666667,102334.16666666667,2.6833333333333336,68.0,-15.183599802884052,251.08333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.5833333333333335,0.0,14037.261158396277,1.277422471177231,32.53001480133007,-76.43198558756976,171.92842991967916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.81131040374076 
 01/01  02:00:00,3.641666666666667,-0.2666666666666667,2.0271023723224126,0.0036709667868510365,75.75,102403.33333333333,2.4833333333333334,68.0,-16.021808775732314,247.83333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,3.0,0.0,12865.009477202759,1.2815144042262467,66.5198527760455,-66.90520339059013,156.92842991967916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.81131040374076 
 01/01  03:00:00,3.4250000000000003,0.13333333333333333,2.0274352559905036,0.0037578132929647827,78.75,102431.66666666667,2.341666666666667,68.0,-16.847525190996702,244.66666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,2.4166666666666665,0.0,12863.565358166898,1.2826952484671557,81.47990824830278,-55.00562645711397,141.92842991967916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.81131040374076 
 01/01  04:00:00,3.3000000000000003,0.47500000000000003,2.071251229712215,0.0038387835933808238,81.16666666666667,102457.5,2.066666666666667,68.0,-17.74681990959978,241.25,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.4166666666666667,0.0,12940.088592340859,1.2834326664505948,90.97877292541642,-42.65515728182148,126.92842991967916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.81131040374076 
 01/01  05:00:00,3.2416666666666667,0.6,2.1484562368665907,0.003915797111598947,83.16666666666667,102505.0,1.8416666666666668,68.0,-18.388683924045434,238.83333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.0,0.0,13074.1259592966,1.2841406746792041,98.71420238990599,-30.31752712114488,111.92842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.81131040374076 
 01/01  06:00:00,3.0833333333333335,0.8333333333333334,2.16654975105074,0.003990714773038149,85.75,102559.16666666667,1.7416666666666665,80.83333333333333,-18.923714688495267,236.83333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.4166666666666667,0.0,13101.666240714045,1.2854018857844904,106.01191906933813,-18.2195332276294,96.92842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.81131040374076 
 01/01  07:00:00,2.7666666666666675,1.0,1.9803277961165051,0.003983667993894308,87.58333333333333,102609.16666666667,1.8166666666666667,77.16666666666667,-19.30464429043082,235.41666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.0,0.0,12763.464570097052,1.2875192449712067,113.58133697020061,-6.563980660211203,81.92842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.81131040374076 
 01/01  08:00:00,3.1833333333333336,1.0,2.21826828177621,0.00398385609876148,85.08333333333333,102647.5,2.308333333333333,68.0,-19.102811234780063,236.16666666666666,26.305555555555554,48.833333333333336,0.0,0.0,6.552227432570891,18.0,13.0,16.0,0.0,0.0,13185.707905020654,1.286058722616993,121.96742288531277,4.398759423521333,66.92842991967915,0.0,0.0,3180.2547170790444,362.8903474202484,2720.694842804702,100.54122597558558,27.07574152123557,1.0708596586219632,0.15405686740420654,0.0,1.0,14.81131040374076 
 01/01  09:00:00,4.416666666666667,1.175,3.052177211616969,0.004089751662487007,80.08333333333333,102671.66666666667,2.0166666666666666,68.0,-17.946458387685585,240.5,109.33333333333333,353.75,0.0,0.0,40.43357664432988,18.0,13.0,16.0,0.5833333333333334,0.0,14699.875975456287,1.2804304870040324,131.69315153996425,14.319163894564204,51.92842991967914,0.0,0.0,13783.863276969081,7424.707270140261,27896.087427801293,126.4775988704872,76.31402845624895,1.9957588655573637,0.31906518071860496,0.0,1.0,14.81131040374076 
 01/01  10:00:00,6.575,2.058333333333333,4.56126410771583,0.004350664719902209,73.33333333333333,102691.66666666667,1.1333333333333333,80.83333333333333,-15.765854543598465,248.83333333333334,69.66666666666667,772.4166666666666,0.0,0.0,73.96741979534295,18.0,13.0,16.0,1.0,0.5833333333333334,17540.887201693087,1.2702762217143764,143.25652432002065,22.70091850315276,36.92842991967914,0.0,0.0,10573.365449089035,28494.49643992104,73143.10893943797,151.9886049641749,94.41837939760113,5.260173282522529,0.1301781826174315,0.0,1.0,14.81131040374076 
