Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,-2.875,-5.691666666666667,-3.903284995702285,0.002442681754251991,79.66666666666667,98233.33333333333,0.4666666666666666,294.6666666666667,-19.126076092187628,236.16666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,4.75,1.75,3207.2458451953607,1.2614544584875234,39.177917748713035,-68.80979508867185,165.51842991967916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.981489559894941 
 01/01  02:00:00,-1.9416666666666667,-4.3999999999999995,-2.8765899970560045,0.002726339529063797,82.41666666666667,98246.66666666667,1.2666666666666666,234.58333333333334,-16.542140378112332,245.83333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,5.416666666666667,3.0,4857.506442150528,1.256705162969041,64.06078935533613,-59.81382427422859,150.51842991967916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.981489559894941 
 01/01  03:00:00,-1.9000000000000001,-4.691666666666666,-2.922360486403696,0.002681563589821197,80.83333333333333,98303.33333333333,2.0083333333333333,225.0,-17.52707764620313,242.08333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,4.416666666666667,2.4166666666666665,4787.762348320359,1.257326991783871,79.0092748094159,-48.96701072652713,135.51842991967916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.981489559894941 
 01/01  04:00:00,-1.8416666666666668,-4.8999999999999995,-2.9121789368900255,0.0026655686832398463,80.0,98349.16666666667,3.058333333333333,225.0,-19.014320036536745,236.5,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,4.0,2.5833333333333335,4806.7215744214955,1.2576749444251751,89.83649177597363,-37.58521905381562,120.51842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.981489559894941 
 01/01  05:00:00,-1.5666666666666667,-5.191666666666666,-2.8142695777195175,0.0026261135469666445,77.08333333333333,98399.16666666667,4.008333333333334,225.0,-18.590460318973967,238.08333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,5.166666666666667,4.166666666666667,4985.849812752737,1.257119736229856,99.0280337510261,-26.179386156189818,105.51842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.981489559894941 
 01/01  06:00:00,-1.4583333333333333,-5.691666666666667,-2.8940730716275085,0.002537379157680275,73.83333333333333,98431.66666666667,3.3666666666666667,225.0,-18.122427788882177,239.83333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,4.25,3.8333333333333335,4873.5639749201055,1.257212026133103,107.75936278689011,-15.047281730628745,90.51842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.981489559894941 
 01/01  07:00:00,-1.3833333333333337,-5.8999999999999995,-2.9044325760613297,0.002503256968975662,72.41666666666667,98463.33333333333,1.941666666666667,225.0,-19.75794457468659,233.75,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,3.0,3.0,4864.029756612257,1.257338110662847,116.74037454354136,-4.453568265925714,75.51842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.981489559894941 
 01/01  08:00:00,-1.1833333333333333,-5.8999999999999995,-2.8443509920012904,0.002468862080748198,70.25,98462.5,1.6916666666666667,238.41666666666666,-19.982122006607828,232.91666666666666,33.416666666666664,1.3333333333333333,0.0,0.0,6.720864527312881,18.0,13.0,16.0,3.5833333333333335,3.5833333333333335,4979.982442336267,1.2564720967337746,126.51189172803959,5.294816721996193,60.518429919679136,0.0,0.0,3726.8935992483434,2.064475552711118,13.456605617687188,111.30920245581437,3.650520737530696,1.0068252257324735,0.22732473090027916,0.0,1.0,8.981489559894941 
 01/01  09:00:00,-0.6916666666666668,-5.8999999999999995,-2.573081024545396,0.0024629965068637843,67.25,98409.16666666667,3.183333333333333,234.58333333333334,-20.68847651685005,230.33333333333334,87.91666666666667,108.49999999999999,0.0,0.0,23.564339571087803,18.0,13.0,16.0,1.6666666666666667,1.6666666666666667,5461.628953156815,1.2535379482229583,137.5306490518258,13.80268031222752,45.51842991967914,0.0,0.0,10401.680030039364,2477.375895977466,8942.343194117626,117.47949514473305,58.92824350991168,1.3375656304791192,0.2518387993393511,0.0,1.0,8.981489559894941 
 01/01  10:00:00,0.4750000000000001,-6.191666666666667,-1.9162920824552356,0.002460380381989672,61.333333333333336,98380.0,3.75,225.0,-20.961213200211137,229.33333333333334,113.91666666666667,586.7499999999999,0.0,0.0,64.46710099014167,18.0,13.0,16.0,2.3333333333333335,2.3333333333333335,6632.723709805959,1.2478305937288057,150.11680712952116,20.56575776358243,30.518429919679146,0.0,0.0,15436.010511455612,18848.529543137935,52984.06540046038,135.5117672991982,89.99305372018773,2.816718102873003,0.22449950382794628,0.0,1.0,8.981489559894941 
