Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,-1.2583333333333333,-2.625,-1.7808333309086928,0.003077034128466344,90.25,101206.66666666667,2.5083333333333333,116.25,-13.257444417495387,258.8333333333333,0.0,0.0,1.1574074074074073e-7,0.00041666666666666664,0.0,18.0,13.0,16.0,6.666666666666667,4.25,6424.148582740924,1.290610829964395,34.1691597535446,-66.5863669012069,165.86842991967913,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.550900219764666 
 01/01  02:00:00,-2.3583333333333334,-3.7083333333333335,-2.856786683965152,0.0027857129000807505,90.16666666666667,101599.16666666667,2.8000000000000003,122.16666666666667,-16.673107514235188,245.33333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,5.583333333333333,3.5833333333333335,4584.939911478356,1.3014640707415182,59.185640407217306,-58.622291269541506,150.86842991967913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.550900219764666 
 01/01  03:00:00,-2.4583333333333335,-3.5,-2.882466921382275,0.0028085625576387296,91.58333333333333,101505.83333333333,2.9166666666666665,113.0,-14.737568853823442,252.83333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,6.583333333333333,4.0,4540.979719878939,1.3007012531666302,75.35918282607173,-48.55715707383333,135.86842991967913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.550900219764666 
 01/01  04:00:00,-2.5,-3.5,-2.8434372886330905,0.002851441420417046,93.16666666666667,101360.83333333333,3.525,113.0,-12.653198068722219,261.0833333333333,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,7.583333333333333,4.0,4605.932188406597,1.2989540726872455,87.27258041981777,-37.770854192591834,120.86842991967914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.550900219764666 
 01/01  05:00:00,-2.5,-3.2666666666666675,-2.772140549194251,0.0028988737824687245,94.58333333333333,101225.83333333333,3.141666666666667,113.0,-11.78311986673316,264.5833333333333,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,8.583333333333334,4.583333333333333,4724.33724398253,1.2971255466289617,97.32539252550019,-26.864451435263163,105.86842991967912,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.550900219764666 
 01/01  06:00:00,-2.3250000000000006,-3.391666666666667,-2.697943975596274,0.0028848160169064004,92.66666666666667,101121.66666666667,3.766666666666667,113.0,-10.96444306662815,267.9166666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,9.0,5.0,4866.028192968873,1.2949827841717585,106.74282006178605,-16.18584504809447,90.86842991967914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.550900219764666 
 01/01  07:00:00,-2.025,-3.0749999999999997,-2.399096652712379,0.0029633916931737906,92.75,101062.5,5.066666666666666,113.0,-10.172328133098992,271.1666666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,9.583333333333334,5.0,5365.3162719172915,1.2926304623072127,116.26809085397649,-6.02492662666021,75.86842991967914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.550900219764666 
 01/01  08:00:00,-1.9000000000000001,-2.6999999999999997,-2.211421712268569,0.0030351322179215817,94.0,101055.83333333333,5.633333333333333,113.0,-9.408225493365904,274.3333333333333,11.777777777777777,0.0,1.6203703703703703e-7,0.0005833333333333333,2.3555555555555556,18.0,13.0,16.0,8.833333333333334,4.416666666666667,5670.767466919441,1.2918010465425809,126.44433296102697,3.303410020137001,60.86842991967914,0.3333333333333333,1.0,1373.8105877034575,0.0,0.0,97.32877476340774,0.0,0.8333317285154395,0.09875901309686581,0.0,1.0,8.550900219764666 
 01/01  09:00:00,-1.6666666666666667,-2.466666666666667,-1.9509971900116272,0.00311540621406082,94.58333333333333,101030.83333333333,5.041666666666667,99.58333333333333,-10.41774008854181,270.1666666666667,42.0,0.0,2.7777777777777776e-7,0.001,8.4,18.0,13.0,16.0,6.25,4.583333333333333,6107.066753918843,1.2902061196477326,137.70155371209285,11.414359604847418,45.86842991967914,1.0,1.0,4887.286805777171,0.0,0.0,116.33199330004383,17.93620562694389,0.9999993327216575,0.1471598108298894,0.0,1.0,8.550900219764666 
 01/01  10:00:00,-1.2666666666666666,-1.8333333333333333,-1.5031282880862522,0.0032586272237164816,95.58333333333333,100940.0,2.9250000000000003,77.16666666666667,-13.324506532132196,258.4166666666667,75.83333333333333,0.0,2.7777777777777776e-7,0.001,15.166666666666666,18.0,13.0,16.0,5.0,4.416666666666667,6869.169704055535,1.286854953790356,150.31792911645758,17.838000692394186,30.86842991967914,1.0,1.0,8802.057202772763,0.0,0.0,116.1857409013784,46.14761960572042,0.9999995602706925,0.17365382301080468,0.0,1.0,8.550900219764666 
