Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,6.033333333333334,-1.4750000000000003,2.9331475675356935,0.0034575833679208814,59.333333333333336,100298.33333333333,2.0916666666666672,264.6666666666667,-17.662367111208457,241.58333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.0,0.0,14748.44163665173,1.2448576330186727,43.43451810037963,-73.28298264689273,167.43842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.543053881843141 
 01/01  02:00:00,4.7,-0.9249999999999999,2.3667038880927547,0.003577106338263575,67.16666666666667,100357.5,1.9416666666666667,293.0,-18.878862105720486,237.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.0,0.0,13700.129736206227,1.2513159878005584,69.74668654611597,-63.05142708039787,152.43842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.543053881843141 
 01/01  03:00:00,4.7,-0.975,2.3421913365383045,0.003559223493248295,66.83333333333333,100358.33333333333,1.9916666666666665,279.5833333333333,-18.878862105720486,237.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.0,0.0,13655.24957021443,1.2513621527856273,83.13299675348078,-51.197124130671206,137.43842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.543053881843141 
 01/01  04:00:00,4.466666666666667,-0.9249999999999999,2.1975588859635624,0.003551671069644656,67.75,100291.66666666667,1.5250000000000001,243.75,-19.035502050272072,236.41666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.0,0.0,13400.288489471057,1.2515971185963422,92.41487258153613,-39.01018040677807,122.43842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.543053881843141 
 01/01  05:00:00,4.533333333333333,-1.7333333333333334,2.0058655313987948,0.0033890379710528698,64.33333333333333,100226.66666666667,2.216666666666667,212.16666666666666,-19.147506049585473,236.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.0,0.0,13059.595823396152,1.2508109936256566,100.30341888989797,-26.88474167309454,107.43842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.543053881843141 
 01/01  06:00:00,4.991666666666666,-2.6333333333333333,1.8980187717392951,0.0031272273779473,57.5,100198.33333333333,3.033333333333333,215.83333333333334,-19.30464429043082,235.41666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.0,0.0,12865.836322346388,1.2489198098922552,107.9161598082631,-15.049314878873654,92.43842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.543053881843141 
 01/01  07:00:00,5.491666666666667,-3.033333333333333,1.9999704645424117,0.002998516120665366,53.25,100195.83333333333,2.5583333333333336,212.16666666666666,-19.259727782638365,235.58333333333334,3.4166666666666665,6.166666666666667,0.0,0.0,0.700901032722419,18.0,13.0,16.0,0.0,0.0,13047.961366901383,1.2469043453989823,115.91513105472853,-3.725330983673919,77.43842991967914,0.0,0.0,392.7776527098211,1.449697814809175,101.77545725625691,19.159885498040055,2.750688033952889,0.22773358091590953,0.06791579866398949,0.0,1.0,14.543053881843141 
 01/01  08:00:00,6.691666666666666,-2.966666666666667,2.7703927705858202,0.0030743383482875336,50.25,100211.66666666667,3.091666666666667,215.83333333333334,-18.522534232473788,238.33333333333334,44.75,150.83333333333334,0.0,0.0,13.474927786910131,18.0,13.0,16.0,0.0,0.0,14451.078348325575,1.241606486647619,124.83757178484808,6.807512352189398,62.43842991967913,0.0,0.0,5681.266001842018,1433.2210356241887,9103.805157479446,124.89590805861097,52.550554540997645,1.7500080641678408,0.2624706606180269,0.0,1.0,14.543053881843141 
 01/01  09:00:00,8.683333333333334,-2.1,4.106555747550675,0.003270846585680453,46.666666666666664,100225.83333333333,3.7416666666666667,225.0,-16.84908630110581,244.66666666666666,76.41666666666667,572.0,0.0,0.0,47.89867707755199,18.0,13.0,16.0,0.0,0.0,16958.41808184444,1.2326215721308382,135.1942599096076,16.161126269075798,47.43842991967913,0.0,0.0,11093.870030584905,13913.745065001147,48400.15480981729,145.1290317984942,83.69119690292017,3.354959564734845,0.196962790300138,0.0,1.0,14.543053881843141 
 01/01  10:00:00,11.0,-0.9,5.712115566860009,0.0035934116496443777,43.833333333333336,100206.66666666667,3.2916666666666665,198.75,-14.334547317570383,254.41666666666666,63.833333333333336,806.4166666666666,0.0,0.0,78.01902234577527,18.0,13.0,16.0,0.0,0.0,20113.775883890725,1.2217097683160023,147.4226740712164,23.800250353020456,32.43842991967913,0.0,0.0,9709.859679731684,31324.16745738526,77343.63792614687,152.12830160082316,95.8474901700086,5.8795412219253125,0.11273319336794463,0.0,1.0,14.543053881843141 
 01/01  11:00:00,12.875,0.4166666666666667,7.055735230188797,0.00394082979726414,42.416666666666664,100102.5,5.158333333333333,206.25,-11.72420453879898,264.8333333333333,71.08333333333333,856.25,0.0,0.0,97.39376314321548,18.0,13.0,16.0,0.0,0.0,22887.48183948659,1.2117622401243995,161.6584011094243,29.05747606405514,17.438429919679134,0.0,0.0,10565.418376270369,40980.87575761883,84361.73709682189,148.657530167014,98.52199151967488,6.3494499904251684,0.10381263630895994,0.0,1.0,14.543053881843141 
 01/01  12:00:00,13.616666666666667,1.7000000000000004,7.793194257845879,0.004273995423492179,43.75,99970.0,6.175000000000001,225.0,-9.850516335342576,272.5,76.33333333333333,863.8333333333334,0.0,0.0,104.97928322936933,18.0,13.0,16.0,0.0,0.0,24479.774553658848,1.2063827916005792,177.38178819645637,31.28351687999557,2.4384299196791326,0.0,0.0,11230.62872062696,44558.35654078771,85809.1414893117,147.1274633041737,99.33533192466689,6.337282169753287,0.10429664867393412,0.0,1.0,14.543053881843141 
 01/01  13:00:00,14.049999999999999,1.675,8.008508496323087,0.004290054700812896,42.666666666666664,99873.33333333333,6.208333333333333,225.0,-8.968366276383383,276.1666666666667,74.75,852.75,0.0,0.0,100.59164602867513,18.0,13.0,16.0,0.0,0.0,24959.199019874042,1.2033671891628301,193.34428699932394,30.139506879229284,-12.561570080320868,0.0,0.0,11070.405163066325,42462.067648902594,84559.09418359911,148.11914702141686,99.15999757186664,6.21693426391852,0.10561642238628129,0.0,1.0,14.543053881843141 
 01/01  14:00:00,14.475,1.4749999999999999,8.146011659454064,0.004240708597819985,41.0,99816.66666666667,6.383333333333333,225.0,-8.630140159647832,277.5833333333333,68.66666666666667,810.5,0.0,0.0,84.39150046254889,18.0,13.0,16.0,0.0,0.0,25264.93084501161,1.201001609966277,208.16039002187827,25.80501736569879,-27.561570080320873,0.0,0.0,10394.585925394405,34442.59215856896,78966.18761393639,151.38729347408616,97.39742452559149,5.797839884712501,0.11210158386004399,0.0,1.0,14.543053881843141 
 01/01  15:00:00,14.191666666666668,1.0166666666666666,7.8554887988148145,0.004103616499531457,40.416666666666664,99829.16666666667,6.3,225.0,-8.669854907190143,277.4166666666667,70.16666666666667,651.3333333333334,0.0,0.0,56.78911928670201,18.0,13.0,16.0,0.0,0.0,24631.543692955922,1.2026003641099416,221.05125550409343,18.863220917766125,-42.56157008032087,0.0,0.0,10615.593413576833,19364.721907087867,58714.48613292162,151.36385799284838,89.57411884949641,4.160530207576196,0.15588370004168742,0.0,1.0,14.543053881843141 
 01/01  16:00:00,13.316666666666668,0.19166666666666665,7.190942228451383,0.0038887475510450777,40.583333333333336,99879.16666666667,6.241666666666667,225.0,-9.328144968549205,274.6666666666667,66.41666666666667,273.9166666666667,0.0,0.0,23.690829911689878,18.0,13.0,16.0,0.0,0.0,23202.933879787524,1.2072927754509222,231.97655012903672,10.00069406246766,-57.56157008032087,0.0,0.0,8485.443312396803,3587.6535097302367,18203.29109191082,127.26203822108187,62.43367467079807,2.070204263968504,0.26634571208047547,0.0,1.0,14.543053881843141 
 01/01  17:00:00,12.083333333333334,-0.7416666666666667,6.270356622969182,0.003620265926581267,41.0,99952.5,5.908333333333334,225.0,-10.578226608218964,269.5,6.749999999999997,23.83333333333333,0.0,0.0,1.6531859962235151,18.0,13.0,16.0,0.0,0.0,21277.275592258466,1.2139257024707952,241.3103706939714,-0.19789947452519333,-72.56157008032085,0.0,0.0,868.3078086405714,45.09187624830765,675.8456583306778,43.14564785965083,8.721999449087058,0.7221995752192486,0.06540882792875301,0.0,1.0,14.543053881843141 
